"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.73767430345951,0.661,0.261,0,"Secretory","CXCL8"
0,5.4339583920232,0.716,0.208,0,"Secretory","CLU"
0,4.06425786636837,0.61,0.228,0,"Secretory","CYP26A1"
0,3.39823635434006,0.721,0.237,0,"Secretory","TGM2"
0,3.28707289307369,0.72,0.247,0,"Secretory","WFDC2"
0,3.19052525672461,0.658,0.261,0,"Secretory","CEACAM6"
0,2.94253909492824,0.704,0.198,0,"Secretory","NR4A1"
0,2.65373997536359,0.682,0.253,0,"Secretory","FOS"
0,2.63996055097853,0.731,0.252,0,"Secretory","AGR2"
0,2.5689022847938,0.671,0.196,0,"Secretory","DUSP23"
0,2.5209663725933,0.563,0.234,0,"Secretory","CXCL2"
0,2.0898734385989,0.659,0.312,0,"Secretory","ALDH1A3"
0,2.05597089039343,0.757,0.23,0,"Secretory","LY6E"
0,2.04621283144358,0.539,0.185,0,"Secretory","CYP2F1"
0,2.02504228245674,0.516,0.201,0,"Secretory","CAPN13"
0,1.86515202025548,0.642,0.276,0,"Secretory","CP"
0,1.79627452331681,0.629,0.237,0,"Secretory","TFCP2L1"
0,1.77617745728119,0.631,0.234,0,"Secretory","CD55"
0,1.65407021333686,0.782,0.32,0,"Secretory","TPT1"
0,1.65333667247876,0.6,0.275,0,"Secretory","XBP1"
0,1.59235875666159,0.606,0.236,0,"Secretory","ZG16B"
0,1.58520934227728,0.769,0.299,0,"Secretory","MGST1"
0,1.54394393592987,0.614,0.28,0,"Secretory","FOSB"
0,1.52902272729351,0.634,0.265,0,"Secretory","DUSP5"
0,1.52224269035395,0.651,0.254,0,"Secretory","PIM3"
0,1.49348501203234,0.618,0.255,0,"Secretory","STEAP4"
0,1.47080643516301,0.666,0.231,0,"Secretory","VTCN1"
0,1.45739327294172,0.668,0.299,0,"Secretory","MUC1"
0,1.36782332922356,0.578,0.232,0,"Secretory","FOLR1"
0,1.28709969000019,0.699,0.309,0,"Secretory","SCNN1A"
0,1.28648795298187,0.587,0.275,0,"Secretory","FUT2"
0,1.27414569450504,0.632,0.316,0,"Secretory","NCOA7"
0,1.24878861017464,0.606,0.322,0,"Secretory","FAM107B"
0,1.24040880990804,0.585,0.279,0,"Secretory","MAFF"
0,1.23434490064729,0.621,0.316,0,"Secretory","ATF3"
0,1.22249663385792,0.571,0.242,0,"Secretory","CYP4X1"
0,1.10243238552926,0.638,0.293,0,"Secretory","IDH1"
0,1.09706051534711,0.589,0.271,0,"Secretory","DTX4"
0,1.09490129249815,0.602,0.229,0,"Secretory","ABCC4"
0,1.09115164246511,0.551,0.259,0,"Secretory","CCNO"
0,1.06837674780547,0.662,0.333,0,"Secretory","RPL3"
0,1.05688123394216,0.536,0.235,0,"Secretory","TOX3"
0,1.03100478639333,0.551,0.246,0,"Secretory","AR"
