"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AGR2","10551",2.59817999186204e-06,0.751032240209125,0.307,0.263,0.00779453997558611
"2","AK7","122481",0.00161578209408462,-1.43090529025348,0.032,0.13,1
"3","BASP1","10409",0.188121265627992,-0.767305327586365,0.156,0.183,1
"4","EPAS1","2034",0.00602349447493422,0.618216464713385,0.226,0.243,1
"5","EPHX1","2052",0.252153286557232,-0.548672804377831,0.081,0.116,1
"6","IVL","3713",9.88820289725979e-10,1.00967887884017,0.265,0.255,2.96646086917794e-06
"7","MUC4","4585",0.000842285641454371,1.31595437936768,0.147,0.159,1
"8","NCOA7","135112",0.00108466377557811,0.669582571477372,0.104,0.108,1
"9","NME9","347736",8.43505907376255e-05,-0.685390397689271,0.051,0.119,0.253051772212876
"10","SLC4A4","8671",1.68148907508842e-16,0.83218104030866,0.081,0.111,5.04446722526525e-13
"11","SPA17","53340",0.00816709228615023,-0.571155215363585,0.119,0.139,1
"12","TXN","7295",2.53578420829744e-06,0.610407555375697,0.23,0.216,0.00760735262489233
