"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","APOBEC1","339",2.01655838116084e-06,-0.561886395704108,0.273,0.651,0.0622491406680539
"2","CCN2","1490",0.000601512689059975,-0.501281544176664,0.545,0.726,1
"3","EGR1","1958",6.1269404304011e-21,-0.752741840273792,0.841,0.988,1.89132524146052e-16
"4","EGR3","1960",9.05648729482095e-14,-0.923284694181845,0.295,0.838,2.79564706303828e-09
"5","ERRFI1","54206",7.23563338728369e-11,-0.589621153389114,0.636,0.91,2.2335676703206e-06
"6","FOS","2353",1.54044892093786e-20,-0.614392820858764,0.909,0.997,4.75521177404308e-16
"7","FOSB","2354",1.13652349891905e-08,-0.513938730860126,0.659,0.894,0.000350833438881323
"8","IER3","8870",2.16722163429279e-06,-0.520413272508764,0.591,0.791,0.066899964628984
"9","JUN","3725",1.64163751693443e-21,-0.556506884211375,0.955,1,5.0675708510249e-17
"10","JUNB","3726",4.93547364536817e-14,-0.509452153912399,0.886,0.975,1.5235313595887e-09
"11","KRT15","3866",0.000730488684106965,-0.506257267330183,0.477,0.717,1
"12","KRT5","3852",0.0138804291439676,-0.592776883596611,0.432,0.542,1
"13","NR4A1","3164",9.22799309053298e-09,-0.633125767831316,0.591,0.826,0.000284858918711663
"14","RAP2B","5912",8.57157628920576e-08,-0.525620344489375,0.182,0.586,0.00264595988471493
"15","RCAN1","1827",1.74399164472509e-07,-0.57677797886912,0.5,0.732,0.00538352780810189
"16","RPL29","6159",0.000146258638267121,-0.501412122267693,0.568,0.741,1
"17","SDC4","6385",4.5960479676432e-05,-0.511062781877374,0.455,0.685,1
"18","SFN","2810",8.28199115833324e-09,-0.597379407887306,0.5,0.872,0.000255656785066589
"19","TRIB1","10221",8.25447079202296e-11,-0.552499971746003,0.568,0.875,2.54807258878957e-06
