"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AGPAT2","10555",3.80328336694831e-09,-0.709795835134772,0.2,0.841,0.000117403554254328
"2","ANKRD66","100287718",0.000132259355340699,-0.506873352232187,0.233,0.617,1
"3","BAG6","7917",1.05551056683155e-07,-0.573442623232632,0.133,0.682,0.00325825556875231
"4","BTG2","7832",3.16659759382138e-05,-0.531149411858991,0.333,0.785,0.977497011236723
"5","CCN2","1490",0.000608811837917007,-0.565178111642145,0.4,0.726,1
"6","CDHR4","389118",1.55417796371064e-06,-0.701216221585834,0.2,0.698,0.0479759195617839
"7","CFAP45","25790",1.1845300771373e-05,-0.602728650915946,0.2,0.692,0.365652589511512
"8","DDX58","23586",0.031185775738452,0.516861067494083,0.433,0.358,1
"9","DNAH12","201625",5.82545848384939e-05,-0.508133067006167,0.167,0.62,1
"10","DNM2","1785",3.95793785457481e-08,-0.559945605027665,0.033,0.598,0.0012217758363287
"11","EGR3","1960",1.8418768158368e-07,-0.758785505956487,0.267,0.838,0.0056856895428066
"12","ENSA","2029",6.86364232249344e-08,-0.611496714998562,0.367,0.891,0.0021187377485305
"13","FAM107A","11170",2.15701289156626e-05,-0.524809139102387,0.267,0.757,0.66584830949759
"14","FBXO9","26268",1.19831902578727e-07,-0.599698584352855,0.4,0.9,0.00369909100070273
"15","FUS","2521",4.08859182883857e-07,-0.533182308742474,0.4,0.847,0.0126210741164418
"16","GPRC5A","9052",0.0188041325872448,0.509234626158865,0.4,0.274,1
"17","IFIT3","3437",2.34946335670621e-11,0.50466262149783,0.233,0.012,7.25255843581639e-07
"18","ISG15","9636",6.76431778349632e-06,0.503395397370735,0.3,0.072,0.208807725658748
"19","JMJD1C","221037",8.58236699559543e-07,-0.520244977374725,0.167,0.704,0.0264929086787035
"20","LYPLA2","11313",3.08852427477534e-07,-0.548574061383281,0.1,0.645,0.00953396558380399
"21","RBM3","5935",1.10266716407283e-06,-0.570697906301537,0.467,0.903,0.0340382326877642
"22","RSAD2","91543",0.00886449857413819,0.587595377065819,0.2,0.075,1
"23","SERPINB1","1992",2.8081663727225e-06,-0.579991500230271,0.3,0.835,0.0866852877595709
"24","SLC11A2","4891",4.42386359973542e-07,-0.578596400205661,0.167,0.679,0.0136560245460233
"25","TRIM28","10155",5.45530108754951e-07,-0.526191127590877,0.333,0.807,0.0168399689271566
"26","TUFT1","7286",7.64168950695775e-07,-0.57118110645818,0.467,0.875,0.0235891313390279
"27","UBALD2","283991",4.58546531137013e-07,-0.543231387097971,0.167,0.707,0.0141548728696685
