"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ACO2","50",5.49793287841596e-07,-0.587965833492028,0.148,0.754,0.0169715690023822
"2","ACTB","60",2.61197973423986e-12,-0.715794362864194,0.852,1,8.06292024162503e-08
"3","ACTG1","71",2.41869697587387e-08,-0.611234519147286,0.778,0.997,0.000746627569482505
"4","ACVR1","90",2.35417372681867e-06,-0.523558909211992,0.074,0.548,0.0726709887731655
"5","AK4","205",1.40226496590074e-06,-0.586325685261233,0.519,0.907,0.0432865172323899
"6","AK7","122481",0.000564530873660065,-0.507930575428488,0.667,0.717,1
"7","ALDH3B1","221",1.62498600755916e-06,0.564511552936833,0.593,0.24,0.0501616930673438
"8","ALDOA","226",6.10117347345562e-10,-0.661713121894533,0.667,0.978,1.88337123952101e-05
"9","ANKRD66","100287718",4.68263526312407e-06,-0.671692605830811,0.185,0.617,0.144548267937377
"10","ANP32B","10541",7.55199145734193e-06,-0.579083550944871,0.259,0.766,0.233122424296688
"11","ANXA7","310",4.14201375585542e-06,-0.514394180190046,0.259,0.822,0.127859822629501
"12","APH1B","83464",7.71736993273077e-07,-0.574647384589418,0.148,0.751,0.0238227492453466
"13","APLP2","334",1.09778008238524e-13,-1.03666288366683,0.222,0.919,3.38873733631501e-09
"14","APP","351",3.47833971807106e-07,-0.60083859087024,0.481,0.913,0.0107372868757135
"15","AQP3","360",3.94047997373041e-08,-0.519336169943336,0.778,0.978,0.00121638676309084
"16","ARF1","375",1.04698233035996e-06,-0.539605657622764,0.519,0.916,0.0323192975558816
"17","ARGLU1","55082",1.88301959911431e-06,-0.568272225839617,0.333,0.832,0.0581269320050597
"18","ARHGDIA","396",3.06141416137886e-06,-0.552173401802666,0.259,0.804,0.094502793747604
"19","ARL6IP1","23204",4.15446653818624e-08,-0.782089907106311,0.37,0.96,0.00128244227567271
"20","ARRDC3","57561",1.23036970351212e-05,0.574644769993241,0.741,0.604,0.379802823777157
"21","ARRDC4","91947",9.45619232249475e-07,0.599188790870039,0.593,0.24,0.0291903200803091
"22","ATF7IP2","80063",1.35079977574628e-11,0.671001211788229,0.519,0.09,4.16978382775119e-07
"23","ATL3","25923",3.5419271071019e-07,-0.560752919909872,0.111,0.67,0.0109335747869129
"24","ATP1B1","481",3.8211363865054e-09,-0.788387210325055,0.259,0.813,0.000117954659115035
"25","ATP1B3","483",2.59786200063918e-07,-0.707072412868359,0.037,0.583,0.00801934020977309
"26","ATP5F1A","498",4.7604104353743e-08,-0.619491383673521,0.444,0.91,0.00146949109729569
"27","ATP5F1B","506",1.89735869699573e-09,-0.627259156377379,0.593,0.956,5.85695656175613e-05
"28","ATP5F1E","514",2.07794348920716e-09,-0.528488084248536,0.778,0.969,6.41440375683359e-05
"29","ATP5MC3","518",1.71913197618587e-07,-0.638570065461876,0.407,0.875,0.00530678849728815
"30","ATP5ME","521",2.128551535675e-07,-0.606675959930517,0.481,0.928,0.00657062573547515
"31","ATP5PB","515",1.33699038875094e-06,-0.532057355650956,0.481,0.882,0.0412715563103529
"32","AUTS2","26053",1.23454241650542e-05,-0.526076376788214,0.333,0.773,0.381090898551057
"33","B2M","567",8.50928905918671e-11,-0.872803231048312,0.444,0.972,2.62673243968034e-06
"34","B3GALT5","10317",1.04089938019497e-06,-0.568541259064696,0.259,0.813,0.0321315229672386
"35","BAG3","9531",5.83776057171089e-06,0.609171222855657,0.815,0.76,0.180205831088144
"36","BAIAP3","8938",0.00152192093960548,-0.51803452688893,0.63,0.71,1
"37","BAMBI","25805",8.57298615736247e-08,0.759271593538373,0.556,0.193,0.00264639509691622
"38","BBOF1","80127",3.29358715148527e-05,-0.614011914675268,0.296,0.751,1
"39","BCAM","4059",8.34798133890758e-07,-0.656464033860866,0.111,0.636,0.0257693835950738
"40","BCAS4","55653",3.43847657250106e-05,-0.509485492120641,0.185,0.564,1
"41","BCLAF1","9774",1.2935210549519e-06,-0.523754189487824,0.593,0.963,0.0399297014453102
"42","BNIP3L","665",1.45048390697513e-06,-0.597134418314214,0.333,0.872,0.0447749877244152
"43","BPIFA1","51297",1.04173419428869e-09,-0.760750515405983,0.778,0.994,3.21572928434974e-05
"44","BRD3","8019",7.10318059806071e-07,-0.551100612142177,0.074,0.664,0.0219268081881536
"45","BSG","682",9.0870964089884e-09,-0.641105526065555,0.593,0.969,0.000280509579049063
"46","BTF3","689",8.37555423983258e-07,-0.586648900140398,0.444,0.903,0.0258544983829392
"47","BTG1","694",1.17175792906686e-05,-0.567074871693756,0.407,0.763,0.361709955123649
"48","BTG2","7832",1.73111565848637e-08,-0.801676527707069,0.222,0.785,0.000534378092618158
"49","BZW1","9689",4.65997668141128e-11,-0.756211742666684,0.444,0.963,1.43848820178485e-06
"50","C1QBP","708",5.01905155202949e-07,-0.624829409268749,0.037,0.573,0.0154933102359598
"51","CALM2","805",1.17789221050228e-10,-0.881485075134402,0.556,0.972,3.63603546459949e-06
