"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCC4","10257",4.94177293978183e-05,0.606908129420713,0.181,0.097,0.148253188193455
"2","ACSL4","2182",0.00353627072252006,0.541011517174967,0.163,0.084,1
"3","AGR2","10551",0.754103800728991,3.49298419805448,0.158,0.084,1
"4","ALAS1","211",9.16792294357339e-06,0.536517732175114,0.159,0.131,0.0275037688307202
"5","AQP5","362",0.000286054248507431,2.48388881695801,0.132,0.07,0.858162745522293
"6","ATF3","467",7.15361969075376e-05,1.07117338422708,0.231,0.114,0.214608590722613
"7","BCAR3","8412",6.19900703239309e-13,0.622257132759437,0.214,0.128,1.85970210971793e-09
"8","BCL10","8915",1.07892821764885e-13,0.517482890117178,0.393,0.273,3.23678465294655e-10
"9","BHLHE40","8553",2.7347432906812e-09,0.525951546534885,0.278,0.191,8.2042298720436e-06
"10","BPIFA1","51297",0.808022272692308,1.29939947575442,0.236,0.141,1
"11","CALD1","800",0.0224960183086299,1.19586146881896,0.133,0.065,1
"12","CCN1","3491",3.16437330292127e-11,2.81512317734869,0.222,0.178,9.4931199087638e-08
"13","CGNL1","84952",2.07978218906167e-06,1.14432687654615,0.157,0.063,0.00623934656718501
"14","CXCL8","3576",8.28136007014511e-12,1.13652287294869,0.106,0.084,2.48440802104353e-08
"15","ECE1","1889",0.000118439450532947,0.918326859140253,0.155,0.075,0.35531835159884
"16","EMP1","2012",0.00419564486859068,0.56479898033312,0.185,0.104,1
"17","EPCAM","4072",4.08898530143746e-06,0.500268808363287,0.211,0.129,0.0122669559043124
"18","FILIP1L","11259",1.28046774282503e-10,0.611779186594845,0.244,0.145,3.8414032284751e-07
"19","FUCA1","2517",0.0100994203507881,0.63852135808611,0.141,0.085,1
"20","HSD17B2","3294",0.100740697587626,0.955528761070024,0.202,0.075,1
"21","IL1R1","3554",2.06811691984684e-05,0.746321261297785,0.212,0.134,0.0620435075954052
"22","ITGA2","3673",2.30599944079415e-05,0.706195037637416,0.169,0.118,0.0691799832238244
"23","LGI2","55203",0.0629033644304091,0.598051588383793,0.153,0.092,1
"24","LIF","3976",4.62629463580455e-09,0.877869051495894,0.125,0.078,1.38788839074136e-05
"25","LURAP1L","286343",0.0213234828179051,0.528532722935672,0.281,0.142,1
"26","MAP1B","4131",2.45479659171432e-05,0.565851144939776,0.253,0.154,0.0736438977514297
"27","MUC1","4582",1.27955249841813e-07,3.65307586040969,0.173,0.063,0.00038386574952544
"28","NFE2L2","4780",1.09679914248471e-05,2.46082299477008,0.171,0.094,0.0329039742745413
"29","NPC2","10577",4.81234284557228e-15,0.538437876668272,0.309,0.169,1.44370285367168e-11
"30","NR4A1","3164",0.201958675909165,0.691171150888004,0.258,0.205,1
"31","NR4A2","4929",3.46268742874596e-09,0.688206080703655,0.165,0.101,1.03880622862379e-05
"32","PCDH17","27253",0.00536696496275473,0.659559126688959,0.187,0.109,1
"33","PDLIM1","9124",0.000519973246306293,1.00586803336667,0.156,0.103,1
"34","PTGS2","5743",6.35117041022083e-09,1.22554549581714,0.155,0.09,1.90535112306625e-05
"35","RCAN1","1827",1.12409334403352e-05,4.48009870414183,0.172,0.07,0.0337228003210057
"36","SDC4","6385",3.12166177419401e-09,0.962604373792191,0.164,0.092,9.36498532258203e-06
"37","SLC4A4","8671",0.527219234501367,1.07540688420129,0.162,0.084,1
"38","SLC4A7","9497",8.79741835256196e-06,0.512932562158661,0.263,0.167,0.0263922550576859
"39","SLC5A5","6528",0.0565611052304311,0.721633989895685,0.199,0.103,1
"40","SORBS2","8470",7.18910983065603e-05,1.10274231171312,0.23,0.11,0.215673294919681
"41","SRXN1","140809",1.88675223583141e-17,0.742406075448464,0.278,0.196,5.66025670749422e-14
"42","STC1","6781",6.32344906532214e-15,1.4957537954695,0.19,0.13,1.89703471959664e-11
"43","SYNE2","23224",1.01180946688741e-16,0.769646246912979,0.307,0.183,3.03542840066223e-13
"44","TPM4","7171",3.38577255930504e-07,0.726826071773848,0.198,0.132,0.00101573176779151
"45","TRIB1","10221",1.07260840589504e-12,0.716351497876111,0.27,0.17,3.21782521768511e-09
"46","VPS13D","55187",1.75795536658287e-06,0.590875797019456,0.194,0.148,0.00527386609974862
