"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ACTB","60",0.00294956024354204,-0.520573968424079,0.081,0.161,1
"2","AGRN","375790",4.61663209469728e-06,-1.32882042664618,0.069,0.126,0.0138498962840918
"3","ALAS1","211",2.24077050887912e-05,-2.02049390990856,0.088,0.131,0.0672231152663737
"4","BCAR3","8412",0.292644396986496,-0.505722263547499,0.104,0.128,1
"5","BHLHE40","8553",0.00830376977525036,-0.504512112367823,0.158,0.191,1
"6","BPIFA1","51297",0.478568190704431,-1.23783981428843,0.088,0.141,1
"7","CAPN2","824",0.0032159527331403,-0.519319789097837,0.096,0.161,1
"8","CCND1","595",0.00725875477495269,-0.731567878999617,0.035,0.113,1
"9","CDC42EP3","10602",0.0025851871732568,-0.67076877392177,0.096,0.153,1
"10","CTSH","1512",1.92237589894899e-05,-0.589183888687984,0.046,0.118,0.0576712769684697
"11","DUSP5","1847",0.552491811555312,-0.593629262106032,0.088,0.14,1
"12","EMP1","2012",0.00116934328320046,-1.10924921035709,0.046,0.104,1
"13","EPCAM","4072",0.0453524357168951,-0.526019825219258,0.058,0.129,1
"14","EPDR1","54749",0.000841831974089056,-0.535640906607127,0.138,0.199,1
"15","ERRFI1","54206",0.120393650729918,-0.536910401429469,0.169,0.224,1
"16","F3","2152",0.0139857407867941,-0.797355753390493,0.069,0.113,1
"17","FILIP1L","11259",0.177238432021829,-0.51995221477252,0.069,0.145,1
"18","GMNN","51053",9.3377244791748e-07,-0.533166829776027,0.058,0.208,0.00280131734375244
"19","GPX1","2876",5.33022042455106e-05,-1.71508980280456,0.073,0.18,0.159906612736532
"20","HDAC7","51564",0.000661676059871007,-0.517667844172647,0.158,0.236,1
"21","IL1R1","3554",3.61752912580451e-07,-2.02333330220785,0.058,0.134,0.00108525873774135
"22","IL6","3569",9.45460943326333e-06,-1.35662655874301,0.065,0.129,0.02836382829979
"23","ITGA2","3673",0.0901649628424788,-0.857217423044677,0.069,0.118,1
"24","KRT8","3856",1.97776224754686e-05,-3.14599989149821,0.05,0.124,0.0593328674264059
"25","MAN2B1","4125",0.000650924254112928,-1.11693584362525,0.081,0.128,1
"26","MAP1B","4131",0.872046284917727,-0.500320000196042,0.131,0.154,1
"27","MDFIC","29969",0.000582092177151693,-0.561595907214818,0.138,0.212,1
"28","MEIS1","4211",0.000198469273403977,-0.63538927830737,0.104,0.137,0.595407820211932
"29","NIPAL1","152519",0.000125767570085746,-0.769738333978207,0.062,0.117,0.377302710257239
"30","NOX4","50507",0.000442697464743139,-0.522781244336567,0.05,0.109,1
"31","PADI1","29943",0.523596199260781,-0.50729391318365,0.062,0.125,1
"32","PCDH17","27253",1.33463606701247e-09,-1.36370218997186,0.065,0.109,4.00390820103741e-06
"33","PLK2","10769",0.00242336339866867,-0.867712889919579,0.123,0.167,1
"34","PORCN","64840",0.112168533745462,-0.736199181906534,0.062,0.102,1
"35","PRR15","222171",2.0363631787459e-05,-0.86051072737747,0.081,0.155,0.0610908953623771
"36","RERG","85004",5.71190325853302e-06,-0.576360438776415,0.065,0.118,0.017135709775599
"37","RPL27A","6157",0.000640335113004803,-0.596549983347752,0.112,0.215,1
"38","RPS12","6206",0.00506823690101215,-0.644403599672592,0.15,0.223,1
"39","RPS19","6223",0.000808584418089166,-0.501844996504073,0.158,0.278,1
"40","S100A10","6281",0.00673443429207205,-0.529478548314844,0.123,0.189,1
"41","S100A11","6282",0.00452032268700691,-0.773922970948278,0.096,0.133,1
"42","SFRP1","6422",0.067282111378034,-0.652486524696852,0.142,0.208,1
"43","SLC16A2","6567",0.0101488528088704,-0.525785581082069,0.046,0.141,1
"44","SLC26A2","1836",1.01869099617359e-07,-0.812137585096117,0.081,0.126,0.000305607298852077
"45","SLC5A5","6528",0.609263484716418,-0.954218713445249,0.058,0.103,1
"46","SORBS2","8470",0.00263643446823123,-1.31870250863223,0.077,0.11,1
"47","SPRED1","161742",0.00101375137258399,-0.663337835458547,0.081,0.117,1
"48","STC1","6781",0.0258116164701767,-4.76317251481546,0.077,0.13,1
"49","SYNE2","23224",0.021320972263386,-0.617490477828995,0.123,0.183,1
"50","TGFBI","7045",0.120571754315467,-0.526553812631454,0.046,0.127,1
"51","TM4SF1","4071",0.0376461237543184,-0.560737061185294,0.069,0.12,1
"52","TMSB4X","7114",0.00119954426141868,-0.521503657731169,0.123,0.202,1
"53","TPM4","7171",2.70517260823175e-05,-1.73543068063166,0.088,0.132,0.0811551782469524
"54","TPT1","7178",0.00011498152857986,-0.510181459002307,0.173,0.286,0.34494458573958
"55","TSC22D1","8848",1.53468400418361e-05,-1.54570616117737,0.092,0.199,0.0460405201255084
"56","TXN","7295",0.0296436133632457,-0.867758521580917,0.077,0.151,1
"57","VCL","7414",0.000160976652426425,-0.809110699955295,0.062,0.157,0.482929957279275
"58","VPS13D","55187",0.00588312333884784,-1.69430392097378,0.062,0.148,1
