"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ACTB","60",0.289400295230108,-0.586000964329712,0.273,0.516,1
"2","ACTN1","87",0.0315810210200019,0.666522648909935,0.455,0.279,1
"3","ADAMTS1","9510",0.269075281831004,0.65775501077743,0.182,0.017,1
"4","ADGB","79747",0.577529510653236,1.10981310495619,0.364,0.087,1
"5","ADGRE5","976",0.881783648000464,0.776827978232595,0.455,0.178,1
"6","ADIRF","10974",0.897080706720164,-2.02505519018974,0.273,0.454,1
"7","AGBL2","79841",0.00710863074341729,-1.60679936730712,0.273,0.084,1
"8","AGBL3","340351",0.0080197994716606,-0.515615933634886,0.273,0.113,1
"9","AK1","203",0.0001225824680902,-1.0642456383121,0.091,0.12,0.367747404270601
"10","AK9","221264",0.216345415955693,0.675399880308831,0.364,0.094,1
"11","AKR7A2","8574",0.36151110496232,-0.686788013371032,0.182,0.358,1
"12","ALDH1A1","216",0.893600532220194,-1.32208285152947,0.273,0.318,1
"13","ALDH3A1","218",0.705808880539566,1.0451709933136,0.364,0.119,1
"14","AMER2","219287",1.13820308462446e-05,0.779906135700721,0.091,0.122,0.0341460925387338
"15","ANKH","56172",0.754754895115856,-1.00258035946444,0.364,0.394,1
"16","ANKRD26","22852",0.00162202700395206,-1.54322926128289,0.091,0.142,1
"17","ANKRD45","339416",0.00639306179385651,-2.53280102243859,0.182,0.149,1
"18","ANKUB1","389161",0.407163292788795,0.606833260901941,0.455,0.022,1
"19","ANOS1","3730",0.0102133377314745,0.595579251785666,0.727,0.304,1
"20","ANXA1","301",0.41770033890223,-0.516669669198764,0.636,0.6,1
"21","APLP1","333",0.077835793661412,0.873151991561842,0.182,0.046,1
"22","APOH","350",0.0125161740599406,-0.534043132813334,0.091,0.111,1
"23","ARHGAP39","80728",0.15942404938738,-0.651589247178077,0.364,0.202,1
"24","ARL2BP","23568",0.398258971707971,0.897793956653137,0.364,0.29,1
"25","ARL3","403",0.880395102635027,-0.737131635638852,0.273,0.351,1
"26","ARRDC3","57561",0.767491923694003,-0.558666195060667,0.273,0.409,1
"27","ARSL","415",0.0681371024840963,0.53703730887547,0.455,0.153,1
"28","ASF1B","55723",0.0118491416637326,0.687911977061532,0.636,0.455,1
"29","ATP1B1","481",0.0175938568456922,0.728941947301047,0.727,0.369,1
"30","ATP2C2","9914",0.000569342728433487,-1.73167036649824,0.182,0.086,1
"31","AZGP1","563",0.0523493084233346,0.524654803990054,0.455,0.356,1
"32","B3GNT4","79369",0.0672112860723721,-0.633012665484908,0.273,0.069,1
"33","B9D1","27077",0.167397891188572,-1.06412684591239,0.364,0.187,1
"34","BAG2","9532",0.253025445128835,-0.963782346156081,0.091,0.492,1
"35","BAZ2B","29994",0.570934189865615,-0.660872287322303,0.182,0.392,1
"36","BCL6","604",0.637181236209882,-0.616197917294938,0.273,0.357,1
"37","BDNF","627",0.00233017298723602,0.552577487712519,0.455,0.268,1
"38","BICC1","80114",0.00348490951705606,0.695551087595532,0.364,0.277,1
"39","BICDL1","92558",0.740754444343918,1.0703881732636,0.455,0.061,1
"40","BIRC3","330",0.656778238140796,-0.691999873078219,0.182,0.356,1
"41","BMP3","651",0.0102913920645975,1.22031518476536,0.273,0.092,1
"42","BPIFA1","51297",0.0638627557316387,2.08251940989494,0.364,0.13,1
"43","BST1","683",0.143377947861609,-0.580166218530956,0.182,0.288,1
"44","BTBD6","90135",0.000275148844521644,0.632634291481361,0.182,0.008,0.825446533564933
"45","BUB1B","701",0.000675888860644899,0.734411039582343,0.818,0.453,1
"46","C1GALT1","56913",0.0760725950078512,0.506036661353525,0.727,0.419,1
"47","C4BPA","722",1.14373500630609e-06,1.14667529567232,0.545,0.043,0.00343120501891826
"48","CACNG4","27092",0.196447141118325,0.871998312072825,0.364,0.035,1
"49","CALD1","800",0.00953422330162871,0.826763829748406,0.818,0.328,1
"50","CAMK4","814",0.191314953628373,1.00013033681629,0.364,0.068,1
"51","CAPSL","133690",0.147760257564832,0.851244756164823,0.273,0.185,1
"52","CAV1","857",0.625293270328917,-0.546338031679442,0.455,0.436,1
"53","CAVIN1","284119",0.0324263815839699,0.61150336652635,0.455,0.362,1
"54","CBY1","25776",0.0493254066565412,-1.57568031891229,0.091,0.21,1
