"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.06081599840752e-182,0.255526705585454,0.746,0.164,3.18244799522256e-179,"Llama Cluster 1","PLAU"
6.21487348254993e-177,0.418700206521844,0.69,0.148,1.86446204476498e-173,"Llama Cluster 1","ANKRD1"
1.11513354080997e-168,0.299752797726342,0.764,0.181,3.3454006224299e-165,"Llama Cluster 1","CEMIP"
4.10265838895743e-167,0.269508307704646,0.727,0.16,1.23079751668723e-163,"Llama Cluster 1","STAC"
5.64636544858346e-165,0.342534333990782,0.747,0.171,1.69390963457504e-161,"Llama Cluster 1","LOC116285916"
1.82527549246485e-153,0.409995652750098,0.646,0.155,5.47582647739454e-150,"Llama Cluster 1","KLK10"
3.68320806930071e-148,0.294761295447194,0.622,0.138,1.10496242079021e-144,"Llama Cluster 1","DHRS9"
5.19913088853669e-143,0.377948520087585,0.644,0.173,1.55973926656101e-139,"Llama Cluster 1","MMP13"
1.43090402047787e-142,0.314010297920059,0.725,0.176,4.29271206143361e-139,"Llama Cluster 1","CRLF1"
2.91912798427881e-142,0.297921614658475,0.705,0.186,8.75738395283642e-139,"Llama Cluster 1","FST"
5.01854651324834e-140,1.24533439255831,0.792,0.302,1.5055639539745e-136,"Llama Cluster 1","KEF68-p07"
8.87258587808535e-139,0.544572568525103,0.712,0.208,2.6617757634256e-135,"Llama Cluster 1","COL10A1"
8.424519591689e-136,0.329192659231421,0.673,0.196,2.5273558775067e-132,"Llama Cluster 1","ABCG2"
2.18218193690147e-131,0.396931973788293,0.673,0.205,6.5465458107044e-128,"Llama Cluster 1","ADAMTSL1"
8.14884015532683e-131,0.271479017207187,0.659,0.183,2.44465204659805e-127,"Llama Cluster 1","TCF7"
9.96950457533375e-127,0.285847324398042,0.614,0.185,2.99085137260012e-123,"Llama Cluster 1","OSR2"
1.73177384680464e-126,0.270677771548193,0.681,0.186,5.19532154041392e-123,"Llama Cluster 1","TP63"
4.73213719758401e-126,0.287324262342612,0.629,0.199,1.4196411592752e-122,"Llama Cluster 1","LOXL2"
2.17410921041741e-124,0.478590392668446,0.736,0.214,6.52232763125224e-121,"Llama Cluster 1","DLC1"
2.58991308835818e-124,0.765414795931484,0.724,0.222,7.76973926507454e-121,"Llama Cluster 1","SERPINE1"
1.98587888296281e-121,0.254903627560867,0.702,0.195,5.95763664888842e-118,"Llama Cluster 1","FAT3"
1.18072333117322e-120,0.309793436678649,0.68,0.201,3.54216999351966e-117,"Llama Cluster 1","PDPN"
3.32559188353786e-120,1.06278426322217,0.908,0.404,9.97677565061359e-117,"Llama Cluster 1","S100A2"
3.76659962074581e-120,0.833304878730345,0.695,0.228,1.12997988622374e-116,"Llama Cluster 1","MUC21"
2.55856103475968e-118,0.773452301236371,0.707,0.229,7.67568310427905e-115,"Llama Cluster 1","IL1RL1"
2.90958856549244e-118,0.717763140293217,0.72,0.242,8.72876569647733e-115,"Llama Cluster 1","LOC116284500"
1.8627543275362e-117,0.284697532435618,0.615,0.198,5.58826298260859e-114,"Llama Cluster 1","EDN1"
1.39647542202283e-115,1.08287235814031,0.807,0.394,4.1894262660685e-112,"Llama Cluster 1","KEF68-p10"
6.81217180740747e-115,0.382104380590759,0.703,0.227,2.04365154222224e-111,"Llama Cluster 1","FLRT3"
1.08079740606568e-114,0.285866169457283,0.668,0.2,3.24239221819704e-111,"Llama Cluster 1","LRAT"
6.70722858643388e-112,0.783879422632904,0.768,0.276,2.01216857593016e-108,"Llama Cluster 1","LOC102542655"
1.27439180563343e-111,0.522589066170359,0.686,0.218,3.8231754169003e-108,"Llama Cluster 1","FSTL3"
1.80109629028566e-111,0.491603918240777,0.703,0.224,5.40328887085697e-108,"Llama Cluster 1","SAMD4A"
4.86613453503198e-111,0.402885533229485,0.544,0.216,1.45984036050959e-107,"Llama Cluster 1","SCNN1G"
7.36038696996734e-111,1.22083093444181,0.903,0.434,2.2081160909902e-107,"Llama Cluster 1","TMSB10"
