"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ATP1B1","481",4.84629491546861e-116,-0.535313757003218,0.574,0.924,1.496002777456e-111
"2","CCN1","3491",1.032218351957e-195,-0.759084999992285,0.666,0.961,3.18635483065607e-191
"3","CCN2","1490",1.11624086589996e-170,-0.875026624176178,0.544,0.917,3.4457239289466e-166
"4","COL21A1","81578",3.50722381967148e-160,-0.663348537609787,0.164,0.766,1.08264492089439e-155
"5","DST","667",7.67353490701189e-125,-0.507174827598665,0.672,0.932,2.3687434904455e-120
"6","DUSP6","1848",7.64007868396642e-174,-0.621554490529941,0.682,0.965,2.35841588895359e-169
"7","EGR3","1960",9.96983565901394e-143,-0.686373145420083,0.173,0.728,3.07758856958101e-138
"8","ERRFI1","54206",2.22821394280782e-214,-0.670890073535917,0.752,0.982,6.87827362005345e-210
"9","GFRA1","2674",1.54169502486862e-196,-0.774119818215671,0.214,0.854,4.75905837226695e-192
"10","HPSE","10855",1.50098416671945e-127,-0.622148062656792,0.474,0.878,4.63338802424627e-123
"11","NR4A1","3164",7.14812338400131e-87,-0.567225534516909,0.263,0.688,2.20655420740737e-82
"12","OST4","100128731",5.01309693026016e-203,0.529273453107594,0.945,0.844,1.54749289140201e-198
"13","RBM3","5935",3.32110976594214e-307,-0.777113615653815,0.677,0.993,1.02519337364868e-302
"14","S100A12","6283",1.45531961792924e-143,0.864000980059497,0.773,0.336,4.49242612858576e-139
"15","TPM1","7168",3.06681010434564e-140,-0.547625307687929,0.77,0.961,9.46693611110456e-136
"16","UPK2","7379",4.41757018271747e-97,0.543298270528044,0.66,0.348,1.36365973970305e-92
