"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCA1","19",0.00188222634367387,-0.634556459219941,0.111,0.753,1
"2","ACAA2","10449",0.000765765665215988,-0.61840199133198,0.111,0.803,1
"3","ADCY6","112",0.00105187263833041,-0.528668807327811,0,0.614,1
"4","ADGRF1","266977",4.57345640347624e-06,0.59348277962483,0.333,0.039,0.141178025718908
"5","ADM","133",0.000484593027536981,-0.805284870009315,0.111,0.797,1
"6","AFF4","27125",0.000666033643079756,0.532382269767288,0.889,0.757,1
"7","AGAP1","116987",0.00183406835210588,-0.543492409875124,0.111,0.733,1
"8","AHCY","191",0.0031007298688727,-0.507227043739835,0.111,0.747,1
"9","AHCYL1","10768",1.16893134805835e-05,-0.83294191999034,0,0.845,0.360837417832131
"10","ALAS1","211",0.00332538277088522,-0.655009872771136,0.222,0.935,1
"11","AMD1","262",0.00819358129340808,-0.625033874249466,0.333,0.981,1
"12","ANKRD11","29123",0.000651892791124642,-0.606724881924777,0.111,0.806,1
"13","ANKRD22","118932",0.00323207829218891,0.527451408497193,0.444,0.149,1
"14","ANP32B","10541",6.72785068902165e-05,-0.659554645542955,0.444,0.951,1
"15","ANXA2","302",0.00515983727080842,-0.518281444332441,0.667,0.995,1
"16","AP1S1","1174",0.000679114663205878,-0.557512651755657,0,0.641,1
"17","AP2M1","1173",0.00183516394479108,-0.536489427274021,0.333,0.87,1
"18","APLP2","334",0.00449143513010413,-0.563288490540138,0.444,0.972,1
"19","ARF1","375",0.000859387437071198,-0.639418645326532,0.333,0.943,1
"20","ARHGEF12","23365",0.000348575401500532,-0.653789494269808,0.222,0.883,1
"21","ARID1B","57492",0.000412100814414696,-0.588543359896962,0,0.67,1
"22","ARRDC4","91947",0.0155953310855253,0.615350094063781,0.444,0.205,1
"23","ASPH","444",0.0022251488539755,-0.537654762677166,0.111,0.736,1
"24","ATN1","1822",0.00110773615398351,-0.516599332018664,0,0.611,1
