"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABHD2","11057",3.15388976028897e-06,0.566243186348244,0.714,0.451,0.0973574230103603
"2","ACSM1","116285",6.47676529970532e-07,0.531353095689495,0.476,0.124,0.0199931268036604
"3","AGR2","10551",2.3728335047751e-06,0.56952928652063,0.857,0.772,0.0732469974589027
"4","AKAP13","11214",7.8906051760614e-06,-0.58861449111022,0.19,0.824,0.243575091179839
"5","ARHGDIB","397",3.99023953292429e-05,-0.564459763559334,0.429,0.908,1
"6","ATP1B1","481",2.2363778426683e-08,-0.866212894803787,0.238,0.936,0.000690347476253277
"7","BCAM","4059",1.46153722769321e-05,-0.534828900238705,0,0.526,0.451161926816617
"8","BPIFA1","51297",9.49168382892535e-12,-0.944783649747343,0.905,1,2.92998788115097e-07
"9","BTG2","7832",1.49298963996433e-06,-0.718924191832365,0.333,0.893,0.046087097196059
"10","C1GALT1","56913",0.000543495417932171,0.52667857054016,0.714,0.618,1
"11","CCN1","3491",3.08234236461759e-05,-0.652804584074905,0.476,0.884,0.951488264533803
"12","CCN2","1490",0.000983732733459211,-0.641792371414207,0.19,0.618,1
"13","COL12A1","1303",6.53571700032047e-05,-0.6093719404059,0.095,0.569,1
"14","COL21A1","81578",8.05090779608421e-10,-0.986690215408436,0,0.792,2.48523472757324e-05
"15","CROT","54677",1.72576157888855e-06,0.509972266253959,0.857,0.806,0.0532725341787108
"16","DEFB1","1672",2.29515007074858e-06,-0.797367045962632,0.238,0.818,0.070848987533938
"17","DSC2","1824",7.87653714559071e-06,0.632728786289085,0.762,0.532,0.24314082514724
"18","DUOX2","50506",7.69414841253321e-17,0.940290308490657,0.476,0.038,2.37510667346488e-12
"19","EEF1D","1936",3.42739730377442e-05,-0.548655169379828,0.333,0.902,1
"20","EGR3","1960",1.06566876239187e-06,-0.816689359922135,0.143,0.702,0.0328961290262747
"21","EHF","26298",6.00401398961132e-07,-0.502780748323776,0.762,0.997,0.0185337907845312
"22","EIF5A","1984",1.05795820889403e-06,-0.615801753405313,0.429,0.965,0.0326581119503498
"23","FABP5","2171",1.40715130636075e-06,0.818610907558171,0.571,0.214,0.0434373536760499
"24","FBLN7","129804",2.81546201547345e-07,-0.677037285241609,0.048,0.717,0.00869104969556499
"25","FCGBP","8857",0.00105829654787016,0.507913975694525,0.667,0.512,1
"26","FOXQ1","94234",1.01854972476375e-07,0.516953981508631,0.952,0.821,0.00314416114537321
"27","FRS2","10818",2.0433558096356e-05,-0.547862773397908,0.286,0.824,0.630763504876413
"28","GCNT1","2650",1.45988090956131e-05,-0.599282769864148,0.19,0.792,0.450650637972481
"29","GFRA1","2674",3.404146435702e-10,-0.991238842981553,0.143,0.91,1.05082596323685e-05
"30","GMNN","51053",3.52088777135331e-05,-0.508576575237907,0.143,0.72,1
"31","GPNMB","10457",7.95415934044462e-08,0.864521830619885,0.762,0.338,0.00245536944680185
"32","GPRC5A","9052",0.000142034171468487,0.557404305098881,0.762,0.454,1
"33","GRHL3","57822",0.000230239413500695,0.501858523188393,0.714,0.575,1
"34","GSN","2934",0.000236789890593545,0.503243337299699,0.714,0.659,1
"35","HDLBP","3069",1.04081004877102e-07,-0.712009628647318,0.238,0.934,0.00321287653955126
"36","HNRNPM","4670",1.41439065857234e-07,-0.517281780521871,0.667,0.988,0.00436608252394695
"37","HOPX","84525",0.000234363943808894,0.528684172145466,0.476,0.194,1
"38","HPSE","10855",7.76104114997491e-06,-0.647270413804615,0.381,0.91,0.239575579258576
"39","IFFO2","126917",1.08487219865027e-07,-0.772053994017498,0.143,0.795,0.0033488919900135
"40","IL1R1","3554",2.18187989621825e-09,-0.578203068880026,0.762,0.983,6.73524505163612e-05
"41","IL1R2","7850",0.000330965262996296,-0.680951733998168,0.048,0.471,1
"42","JUN","3725",9.1737058504545e-13,-0.538735692096355,0.952,1,2.8318312589768e-08
"43","KIF21A","55605",6.67419178659908e-07,0.675847150864096,0.81,0.616,0.0206025626260527
"44","KRT13","3860",0.00713448873421484,0.5943655582572,0.286,0.11,1
"45","KRT15","3866",6.95877325472451e-07,-0.822458228499874,0.476,0.931,0.0214810371600091
"46","LARP1","23367",1.17371330250649e-05,-0.504901406788483,0.476,0.939,0.362313559350728
"47","LGALS3","3958",2.7498052049327e-11,0.623482128226832,1,0.98,8.48837368710674e-07
"48","MDH1","4190",0.000403011881995606,-0.509718187058647,0.476,0.974,1
"49","MPST","4357",1.98917217267917e-05,-0.506235315681693,0.524,0.96,0.614037557984334
"50","MUC4","4585",3.44395393354707e-07,0.515346130226268,1,0.882,0.0106311413974664
"51","MYBPH","4608",6.95438288049141e-06,0.518879859405343,0.381,0.09,0.214674845137889
"52","MYC","4609",4.58252896106764e-07,-0.756086615481474,0.19,0.827,0.0141458086499197
"53","NACC1","112939",8.3889034527302e-07,-0.559252673167594,0.048,0.645,0.0258957060682328
"54","NFE2L1","4779",1.38029570743433e-05,-0.549232363786024,0.286,0.884,0.426083481927903
"55","NME2","4831",1.37553513125093e-07,-0.745366688841305,0.238,0.913,0.00424613939665851
"56","NR4A1","3164",1.24186010340448e-05,-0.696719312755317,0.143,0.705,0.383349795319929
"57","PABPC4","8761",1.46436559701959e-05,-0.503073639396943,0.524,0.957,0.452035016143978
"58","PLEKHF2","79666",2.60291620591212e-05,0.518019464470376,0.667,0.39,0.803494203603013
"59","PRR5L","79899",4.35304708920699e-07,-0.642671675030663,0.143,0.792,0.0134374210596731
"60","PTPRZ1","5803",2.8950328237941e-07,0.612728087102002,0.857,0.783,0.00893667682377001
"61","RAB38","23682",4.7820019797482e-06,0.542313037372381,0.667,0.309,0.147615619112847
"62","RACK1","10399",3.83658764567464e-07,-0.501795522705948,0.762,0.994,0.011843162403433
"63","RAD23A","5886",6.10594706457411e-07,-0.589304687908245,0.095,0.72,0.0188484479936338
"64","RBM3","5935",5.65594176864676e-11,-0.756281605296389,0.571,0.986,1.74593266456357e-06
"65","RHOV","171177",9.02230022725036e-06,-0.530769887242192,0.476,0.91,0.278509385714991
"66","RHPN2","85415",0.000275344735115549,0.504598422388788,0.571,0.298,1
"67","RPS3","6188",1.12653631588442e-08,-0.612841062166838,0.667,0.977,0.000347750495350362
"68","RPS9","6203",3.83345426822321e-07,-0.546690391408378,0.667,0.977,0.0118334899805782
"69","S100A12","6283",8.03014474792307e-07,0.875619628736987,0.667,0.277,0.0247882538223637
"70","S100A8","6279",2.87336061500444e-05,0.690623819671044,0.524,0.197,0.886977688245721
"71","SCGB1A1","7356",2.58956489273234e-06,-0.974687016568899,0.381,0.919,0.0799372786737547
"72","SDCBP2","27111",6.7761670887233e-10,0.981521968375042,0.81,0.361,2.091735018618e-05
"73","SERPINB1","1992",2.46857500957457e-06,-0.559071790288764,0.619,0.968,0.0762024419705575
"74","SFRP1","6422",8.2227937081878e-06,-0.548411363335552,0.095,0.659,0.253829418978049
"75","SLC11A2","4891",4.61429282584261e-06,-0.612401074617285,0.143,0.688,0.142438605240936
"76","SLC4A7","9497",1.68955305599738e-05,-0.565594224757109,0.19,0.754,0.521548132855831
"77","SLC5A1","6523",2.40982586820426e-08,0.654403529154668,0.571,0.156,0.000743889147255972
"78","SPINK1","6690",0.000859329981457715,-0.582835696723552,0.19,0.645,1
"79","SRSF11","9295",2.30700224438651e-05,-0.529631648197843,0.381,0.913,0.712148522819672
"80","SSR4","6748",9.12346697342923e-05,-0.520292800642903,0.429,0.948,1
"81","STC1","6781",0.0001718519469341,-0.513736205376942,0.81,0.974,1
"82","TGM3","7053",0.00270748900039378,-0.511418809924478,0.048,0.382,1
"83","TM7SF2","7108",4.61974885714362e-06,-0.609579949968556,0.238,0.809,0.142607027471167
"84","TMEM164","84187",2.03006861059248e-06,0.534315286618129,0.857,0.691,0.0626661879403794
"85","UPK2","7379",0.000352565474417728,0.545315541285773,0.667,0.512,1
"86","WARS1","7453",2.00532274634151e-06,-0.670462405092472,0.381,0.919,0.0619023078568161
"87","WDR83OS","51398",3.60985004823522e-05,-0.527674013976477,0.333,0.916,1
"88","WLS","79971",3.22031147581549e-05,-0.552498184524631,0.286,0.835,0.994077949469483
"89","ZC3H18","124245",7.21828038852496e-06,-0.503938993346869,0.048,0.618,0.222821097313377
"90","ZNF185","7739",7.3267757462095e-06,0.647240095241604,0.571,0.246,0.226170240509741
"91","ZSWIM6","57688",5.75261239588475e-05,-0.520080801701365,0.333,0.896,1
