"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","BPIFA1","51297",1.14628252693698e-11,0.55440958022885,0.13,0.13,3.43884758081093e-08
"2","CXCL8","3576",1.6469609279377e-27,-0.526159485936135,0.309,0.318,4.9408827838131e-24
"3","DMBT1","1755",4.12969722202598e-25,1.14381248277706,0.189,0.198,1.23890916660779e-21
"4","FN1","2335",4.3849379979238e-13,2.08856834624403,0.347,0.313,1.31548139937714e-09
"5","LGI2","55203",3.73266473705367e-35,1.11537404653589,0.236,0.197,1.1197994211161e-31
"6","LOXL4","84171",4.18013615609845e-24,1.07919468396361,0.285,0.254,1.25404084682954e-20
"7","PMEPA1","56937",9.40308700197714e-18,0.773493411445651,0.409,0.312,2.82092610059314e-14
"8","S100A12","6283",3.88926037894212e-07,0.525770581685083,0.326,0.22,0.00116677811368263
"9","SPA17","53340",0.00945305901215512,-0.897647954737477,0.075,0.102,1
"10","TGFB2","7042",3.46832785342962e-23,0.540647754645967,0.332,0.265,1.04049835602889e-19
"11","TNFRSF1B","7133",6.21343836149348e-23,0.524191871949857,0.409,0.28,1.86403150844804e-19
