"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ADAM9","8754",0.00159182676706264,0.665111867487935,0.533,0.148,1
"2","ADNP","23394",0.0406735348913902,-0.557931571913742,0.133,0.444,1
"3","AFG3L2","10939",0.0187312392183265,-0.605495969906255,0,0.296,1
"4","AGAP1","116987",0.010977548308153,0.564567614173461,0.533,0.185,1
"5","ALDH2","217",0.0166326484564558,-0.57592302259629,0.267,0.556,1
"6","ALG6","29929",0.0148715603768052,0.604268103652198,0.333,0.093,1
"7","ALOXE3","59344",0.0581448861433832,-0.515822796482317,0.067,0.296,1
"8","AMD1","262",0.000270114999380292,-0.760266816343911,0.467,0.833,1
"9","ANO8","57719",0.00121010549546938,0.540463118426621,0.267,0.019,1
"10","AP1G1","164",0.00166933440365223,0.713101523471587,0.667,0.204,1
"11","ARID1B","57492",0.0386073551147317,-0.536272435696451,0,0.241,1
"12","ATXN3","4287",0.00589952553680055,0.502986210840627,0.267,0.037,1
"13","ATXN7","6314",0.0353425244886577,-0.606341498678874,0.133,0.426,1
"14","B2M","567",0.0309849056746102,0.522616222765193,0.333,0.111,1
"15","BCO1","53630",0.0145883534177649,-0.743212513487515,0.067,0.444,1
"16","CAPRIN1","4076",0.02277068737534,-0.614060426335924,0.067,0.37,1
"17","CAPS","828",0.000195951308777928,0.851386300875199,0.6,0.185,1
"18","CCDC117","150275",0.000919072535794815,0.534085068904678,0.2,0,1
"19","CCN2","1490",0.0553619870048861,-0.529081777247639,0.267,0.537,1
"20","CD151","977",0.00968424928968674,0.587005108765167,0.467,0.167,1
"21","CELF1","10658",0.051918319283082,-0.550928815892063,0.133,0.426,1
"22","CHD7","55636",0.0408558136882204,-0.529357326854678,0.133,0.407,1
"23","CHI3L1","1116",0.00252920237924956,0.690512889248487,0.533,0.167,1
"24","CIR1","9541",0.0224973483058465,-0.595166499282079,0.133,0.426,1
"25","CLDND1","56650",0.00490914961578977,0.524082462258915,0.333,0.056,1
"26","CLK1","1195",0.0359790715721567,-0.570763246942992,0.2,0.5,1
"27","CLMN","79789",0.0418933156621784,-0.557986847676903,0.2,0.481,1
"28","CLTC","1213",0.058637535031012,-0.552893906320347,0.133,0.37,1
"29","CNOT1","23019",0.00464103972791972,0.613865690706462,0.6,0.222,1
"30","COASY","80347",0.00574107916431166,0.567414369715736,0.4,0.093,1
"31","COL21A1","81578",0.0207236282893726,-0.690924794161292,0.067,0.37,1
"32","COMMD2","51122",0.027129085963644,-0.580044648865646,0.2,0.5,1
"33","CPM","1368",0.0199803867575653,0.624301247824216,0.467,0.204,1
"34","CRAMP1","57585",0.00210782270277314,0.592798734418473,0.333,0.056,1
"35","CTDSP2","10106",0.0304766450436437,-0.533092829984973,0,0.259,1
"36","DEFB1","1672",0.00867803785070083,-0.7787180638835,0,0.352,1
"37","DENND2C","163259",0.034719908504748,0.516678496609399,0.333,0.111,1
"38","DENND6B","414918",0.0255336429843639,-0.608770948647034,0.133,0.407,1
"39","DHX38","9785",0.027850097052117,0.526981353237282,0.533,0.204,1
"40","DLG1","1739",0.017939139835309,0.507717137734051,0.4,0.13,1
"41","DNAJA4","55466",0.00362265196255607,0.579007155308975,0.467,0.13,1
"42","DSC2","1824",0.0145553752014577,0.568994045781948,0.267,0.056,1
"43","EGR1","1958",0.000592471607028303,-0.519412154933665,0.6,0.889,1
"44","EGR2","1959",0.0487060360765069,-0.53105553006274,0,0.222,1
"45","EGR3","1960",0.00014177682348557,-1.00722392491322,0.267,0.759,1
"46","EI24","9538",0.000962663295875337,0.555897390925419,0.267,0.019,1
"47","EIF1","10209",0.000485756419338482,0.696761307095143,0.867,0.407,1
"48","EIF3A","8661",0.0150679287891091,0.579351846266582,0.8,0.352,1
"49","EIF4A1","1973",0.0192937837052833,0.520532642433631,0.6,0.222,1
"50","EIF5B","9669",0.0279456229823453,-0.510875324880708,0.333,0.685,1
"51","ELMO3","79767",0.00084260571741366,0.628319295742217,0.4,0.074,1
"52","ENTPD5","957",0.0187312392183265,-0.640146246795137,0,0.296,1
"53","EPHA1","2041",0.0124846588558842,0.50181867742119,0.333,0.074,1
"54","ETNK1","55500",0.00166286620608447,-0.801586460042798,0.2,0.611,1
"55","FAM76A","199870",0.000210714544182715,0.611255800436186,0.333,0.019,1
"56","FBXO32","114907",0.000130838850392565,0.661798580440596,0.333,0.019,1
"57","FBXW7","55294",0.00818022293107813,0.600751254796334,0.6,0.259,1
