"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCA1","19",0.000421157149332685,-0.667616223882184,0.289,0.648,1
"2","ACTN4","81",0.000120980288724635,0.567125712501242,0.684,0.407,1
"3","ALOXE3","59344",0.00631794290558824,-0.502292971909578,0.053,0.296,1
"4","AMD1","262",1.66971439123906e-06,-0.700993118459863,0.474,0.833,0.0515424135431585
"5","ANGPTL4","51129",0.00634377441854032,-0.601796709272131,0.079,0.296,1
"6","ASH1L","55870",0.00603121905751304,-0.567428878459847,0.184,0.444,1
"7","ATF7IP","55729",0.00632171588576391,0.520908698461002,0.421,0.185,1
"8","ATG14","22863",0.00418219888930899,-0.567418296481456,0.053,0.278,1
"9","ATP6V0A4","50617",0.000900911115009333,0.591147026582253,0.553,0.259,1
"10","ATP8B1","5205",0.00292342773248189,0.535089644377624,0.5,0.241,1
"11","BPIFA1","51297",1.05898321667965e-08,-0.610730223247544,0.763,0.981,0.000326897529156841
"12","BRD3","8019",0.00813882641277508,-0.530439423191754,0.184,0.426,1
"13","BZW1","9689",0.00497363075754544,-0.530506422869554,0.105,0.389,1
"14","CCNG2","901",0.000423362014257987,0.504128750609274,0.263,0.019,1
"15","CD63","967",0.00292258550200275,0.527289921923889,0.605,0.296,1
"16","CDKN2B","1030",0.000605245964832028,0.578292689389641,0.368,0.074,1
"17","CHD4","1108",0.0063301632595022,-0.527897933118069,0.237,0.5,1
"18","CHIC2","26511",0.0103240278420223,-0.548339048773176,0.079,0.278,1
"19","CIR1","9541",0.00244055504218805,-0.569474573428977,0.105,0.426,1
"20","COL21A1","81578",0.00466966413388965,-0.622739084960586,0.132,0.37,1
"21","CTSB","1508",0.000206250160864358,0.592746140585823,0.316,0.037,1
"22","DENND2C","163259",0.00592541096605463,0.521375567191933,0.342,0.111,1
"23","EGR1","1958",3.12855269747014e-05,-0.526549951559227,0.579,0.889,0.965752932182057
"24","EGR3","1960",2.15832060917619e-07,-0.944476846488855,0.316,0.759,0.00666251988846597
