"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCC4","10257",0.132414154533896,-0.632472392925055,0.818,0.773,1
"2","ABHD14A","25864",0.640694598281076,-0.978745830810762,0.091,0.243,1
"3","ABRACL","58527",0.0116572478479006,0.758522556883573,0.364,0.197,1
"4","ACSL4","2182",0.0655282142689739,-0.890382036418131,0.364,0.628,1
"5","ACSS3","79611",0.712126647926939,-1.20249495797156,0.091,0.201,1
"6","ADAM8","101",0.0936376711409317,1.61066565695465,0.273,0.155,1
"7","ADM","133",0.00870445709922337,0.505006164114208,1,0.533,1
"8","ADRB2","154",0.833185940573838,-1.07603535264749,0.182,0.148,1
"9","AGBL2","79841",0.262507635639485,6.12223701843621,0.091,0.151,1
"10","AGR2","10551",0.563308834984184,-0.611125770565324,0.636,0.586,1
"11","AHCTF1","25909",0.142218048138776,0.574251911492208,0.455,0.306,1
"12","AHI1","54806",0.370946338135631,2.07082175853965,0.182,0.188,1
"13","AKAP14","158798",0.67727850455282,-0.661386203090045,0.182,0.066,1
"14","AKAP9","10142",0.586279764542933,-2.91779790615934,0,0.243,1
"15","ALCAM","214",0.0743668993256954,-0.61960603616526,0.818,0.849,1
"16","ALDH1A3","220",0.00254680620807971,0.548963713863534,0.727,0.503,1
"17","ALDH3A1","218",0.127291779402744,1.95925153091901,0.091,0.138,1
"18","ANTXR2","118429",0.00442915993997233,0.567163966604199,0.818,0.599,1
"19","AQP3","360",0.052868450384995,0.772674188201229,0.364,0.22,1
"20","ARL3","403",0.538553130273324,-0.778820894409731,0.182,0.145,1
"21","ARL6","84100",0.0516423070872537,1.48620187219815,0.455,0.112,1
"22","ARMH4","145407",0.027177850774855,1.45580072437482,0.091,0.118,1
"23","ATF3","467",0.184824365807787,-0.745735750494657,0.545,0.648,1
"24","ATP13A3","79572",0.18819530326329,0.909736574765831,0.364,0.227,1
"25","ATP1B1","481",0.332625320178477,-0.663644660895673,0.273,0.487,1
"26","ATP2C2","9914",0.907445908095603,-1.29734322809751,0.182,0.178,1
"27","ATP5IF1","93974",0.0942990425554434,2.24280765582398,0.091,0.115,1
"28","AVIL","10677",0.814824749485164,0.95254799117269,0.273,0.082,1
"29","B3GALT1","8708",0.0020578635194461,1.1367810721687,0.182,0.026,1
"30","BAAT","570",0.0390130539595575,0.647215912799883,0.455,0.01,1
"31","BAG3","9531",0.301665884945078,-0.579632140315789,0.182,0.309,1
"32","BCL6","604",0.79396495449862,-0.558366347186015,0.273,0.418,1
"33","BHLHE40","8553",0.00727239579708062,-1.03490699999711,0.182,0.635,1
"34","BPIFA1","51297",0.679745944875822,-3.92210033553282,0.091,0.247,1
"35","BSCL2","26580",0.182602028192122,1.66319502837918,0.273,0.171,1
"36","BTBD6","90135",0.00104840364868197,-0.582992007445092,0.182,0.003,1
"37","BTC","685",0.455409163930222,-1.14002970915909,0.091,0.372,1
"38","BTG3","10950",0.888778615711302,0.582723309443029,0.182,0.171,1
"39","C1S","716",0.0206995576256441,0.729304213593824,0.455,0.053,1
"40","C2CD2L","9854",0.353199654377463,0.811750086952239,0.364,0.059,1
"41","C2CD3","26005",0.191611385672097,1.33220214325463,0.364,0.234,1
"42","CACNA2D1","781",0.427424927592495,-0.542960921673869,0.364,0.23,1
"43","CACNG4","27092",0.309620969077708,1.80906259605756,0.273,0.056,1
"44","CALCB","797",0.00415589583633544,0.823470417683076,0.909,0.635,1
"45","CALM2","805",0.322634438877962,-2.62606976215572,0.182,0.145,1
"46","CALR","811",0.374560987487626,-0.541970860410758,0.455,0.612,1
"47","CCDC103","388389",0.516531548050808,1.57333298829591,0.273,0.059,1
"48","CCDC113","29070",0.329273055012031,0.997758766412797,0.182,0.036,1
"49","CCDC13","152206",0.0371357569189122,1.5589955340933,0.455,0.095,1
"50","CCDC138","165055",0.0253574795233155,1.42837189774861,0.455,0.184,1
"51","CCDC160","347475",0.191611385672097,1.51163692511401,0.455,0.095,1
"52","CCDC65","85478",0.358466398329336,1.79868855917603,0.364,0.036,1
"53","CCDC69","26112",0.0884796945369182,2.91000755419736,0.273,0.161,1
"54","CCDC81","60494",0.0949641535003636,0.672741455935853,0.182,0.059,1
"55","CCDC88C","440193",0.931520597843424,-0.763952695158481,0.182,0.24,1
"56","CCDC91","55297",0.0199706137039993,2.2305173419652,0.091,0.115,1
"57","CCDC92","80212",0.102531050615876,1.16507521765495,0.364,0.135,1
"58","CCN1","3491",0.400468888449208,-0.750171016394001,0.636,0.602,1
"59","CCN2","1490",0.655229903634516,-0.501086495736126,0.909,0.566,1
"60","CCN3","4856",0.00433631378805676,0.595176053041304,0.364,0.234,1
"61","CCPG1","9236",0.220594015067941,-0.78435333480952,0.182,0.546,1
"62","CD59","966",0.322634438877962,0.787729392753491,0.182,0.227,1
"63","CD9","928",0.324285851746266,1.11746762022957,0.545,0.296,1
"64","CDA","978",0.140395226465634,0.771809155556587,0.182,0.102,1
"65","CDC14A","8556",0.84371973644518,2.34406964341061,0.182,0.178,1
"66","CDKL2","8999",0.354949772629095,-0.500071077734367,0.182,0.22,1
"67","CDKL4","344387",0.600267585117038,2.88091331941066,0.364,0.069,1
"68","CEP152","22995",0.0727397869068865,0.600131235189433,0.455,0.003,1
"69","CEP192","55125",0.0222273028168233,1.03451628636125,0.364,0.158,1
"70","CEP290","80184",0.289223735470062,2.1676231287211,0.364,0.204,1
"71","CEP41","95681",0.158453127708419,1.51425075765064,0.364,0.135,1
"72","CFAP46","54777",0.0327759956475265,4.33885908861662,0.273,0.174,1
"73","CFI","3426",0.272687423464961,0.845833912311945,0.364,0.28,1
"74","CFP","5199",0.142218048138776,-0.711484778576469,0.091,0.174,1
"75","CHRNB4","1143",0.15160584621988,1.49626234786006,0.273,0.01,1
"76","CIB1","10519",0.80437744120939,-0.756216681064164,0.091,0.217,1
"77","CITED2","10370",0.0847635177804167,1.31730954851611,0.364,0.217,1
"78","CLDN3","1365",0.135034509556631,0.694249435507262,0.182,0.132,1
"79","CLGN","1047",0.00497277915001927,0.930776001502004,0.273,0.086,1
"80","CLU","1191",0.158453127708419,-0.962450931665748,0.455,0.628,1
"81","CMTM7","112616",0.319348098486046,-1.11600516422757,0.182,0.145,1
"82","CNDP1","84735",0.0437089865225016,-0.609658173266306,0.273,0.336,1
"83","CNTRL","11064",0.669897024407535,-0.733387548736581,0.273,0.22,1
"84","COLEC10","10584",0.783589058702686,0.500621341841548,0.455,0.424,1
"85","CPEB4","80315",0.162469605035385,-0.603353662876997,0.455,0.592,1
"86","CPLANE1","65250",0.431360257361794,-3.227008292983,0.091,0.286,1
"87","CPNE3","8895",0.19740585695695,-0.737295475575143,0.091,0.207,1
"88","CPT1A","1374",0.22571513539191,0.695987906692919,0.364,0.296,1
"89","CRELD2","79174",0.722198611443184,-1.31481855645625,0.091,0.299,1
"90","CROCC2","728763",0.124789081675098,0.70076165563345,0.182,0.082,1
"91","CUEDC2","79004",0.026712493080925,1.74155243215425,0.364,0.22,1
"92","CXCL17","284340",0.851638577914135,-0.76148257951407,0.182,0.388,1
"93","CXXC4","80319",0.000237989189731946,3.45337041641678,0.455,0.171,0.713967569195838
"94","DAPP1","27071",0.000267887953218522,0.751783105713946,0.455,0.007,0.803663859655565
"95","DEGS1","8560",0.781001007586769,-0.683993162243933,0.182,0.299,1
"96","DENND2A","27147",0.747586654318048,0.585740559855102,0.182,0.059,1
"97","DEUP1","159989",0.742486071128006,0.608447493620141,0.182,0.059,1
"98","DGKG","1608",0.00149265202244569,2.90677479814172,0.273,0.066,1
"99","DHCR24","1718",0.595588218922961,-0.633110549949553,0.364,0.447,1
"100","DIXDC1","85458",0.224426979278728,2.41518986063185,0.273,0.151,1
"101","DMBT1","1755",0.471852260768114,-1.72626681735966,0.273,0.349,1
"102","DNAAF2","55172",0.912789284811889,0.690675768381503,0.182,0.141,1
"103","DNAAF3","352909",0.0238521762224524,6.91624441293954,0.182,0.109,1
"104","DNAH1","25981",0.00300548861659808,1.48809845889111,0.364,0.099,1
"105","DNAH2","146754",0.0068443175446448,2.46287783619248,0.455,0.184,1
"106","DNAJB1","3337",0.463590013942556,-0.74237154169555,0.182,0.359,1
"107","DNAJB13","374407",0.529688291811161,1.40859148793816,0.273,0.062,1
"108","DNER","92737",0.123963429865504,1.78320825915678,0.455,0.115,1
"109","DPY19L2","283417",0.717156481900394,0.800658097029941,0.364,0.007,1
"110","DRC1","92749",0.0353359271745352,3.18893997159923,0.273,0.089,1
"111","DSC1","1823",0.0700929552440104,0.617698982305837,0.273,0.01,1
"112","DST","667",0.353199654377463,-0.626397904444442,0.364,0.572,1
"113","DTX3","196403",0.0129448225590418,1.30042973038507,0.364,0.155,1
"114","DUSP1","1843",0.531897528677159,-0.743019142027006,0.545,0.424,1
"115","DUSP14","11072",0.387382884334143,-0.930113263830392,0.182,0.309,1
"116","DUSP2","1844",0.825305091385265,1.52842910637661,0.182,0.003,1
"117","DYNC2LI1","51626",0.092980025699933,1.01094631451738,0.273,0.115,1
"118","DYRK3","8444",0.258226238236561,0.830523963611648,0.364,0.164,1
"119","ECE1","1889",0.228307263374166,-0.609462025158625,0.727,0.786,1
"120","EEF1B2","1933",0.016805844264866,0.529094710911103,0.636,0.207,1
"121","EEF2K","29904",0.139490580232734,0.504444972190644,0.636,0.276,1
"122","EFCAB10","100130771",0.0344642822664009,1.46302597728221,0.182,0.151,1
"123","EFCAB7","84455",0.00960456923692712,1.76979218077183,0.364,0.099,1
"124","EFHD2","79180",0.0963056481659061,0.735865307492401,0.364,0.273,1
"125","EFNA1","1942",0.0626233052560469,-0.750101321720296,0.273,0.359,1
"126","EGR3","1960",0.0185796806487616,1.59877542299967,0.545,0.211,1
"127","EID3","493861",0.540780909446555,-0.501393594568158,0.273,0.428,1
"128","ENPP3","5169",0.0319587475809651,-1.09190678629026,0.182,0.109,1
"129","EPAS1","2034",0.640694598281076,-0.757218404882811,0.545,0.523,1
"130","EPB41L4B","54566",0.67727850455282,0.882801634252319,0.273,0.062,1
"131","EPHX1","2052",0.189328968786279,2.21571378699884,0.364,0.296,1
"132","EYA3","2140",0.220594059369851,0.502460267206482,0.182,0.257,1
"133","FADS1","3992",0.157460853701867,0.721161421202925,0.273,0.207,1
"134","FAM107B","83641",0.327605160473984,1.40955543098853,0.455,0.184,1
"135","FAM118A","55007",0.469779143836291,-0.501907484404376,0.091,0.115,1
"136","FAM161A","84140",0.275644892752822,1.54691031249311,0.364,0.211,1
"137","FAM47E","100129583",0.851638577914135,5.49801071808128,0.273,0.039,1
"138","FAM53B","9679",0.259647958445552,0.542430468350689,0.091,0.178,1
"139","FASN","2194",0.415745151430799,-0.615510772406598,0.273,0.428,1
"140","FBXO16","157574",0.00151008497621951,2.51974822985187,0.364,0.109,1
"141","FBXO9","26268",0.902106716625387,0.756685027447946,0.273,0.197,1
"142","FBXW9","84261",0.271216859262219,5.78669412094135,0.273,0.138,1
"143","FCGBP","8857",0.269751737450978,-0.846500129277935,0.364,0.322,1
"144","FGFBP1","9982",0.00144145959598586,0.624734166189868,0.364,0.079,1
"145","FGL1","2267",0.118302684426711,0.649968800315711,0.364,0.234,1
"146","FMO4","2329",0.907445908095603,-0.716712601597962,0.364,0.391,1
"147","FN1","2335",0.875481883201287,-0.59048600819652,1,0.681,1
"148","FOS","2353",0.182602028192122,0.564249848611375,0.364,0.329,1
"149","FOXP2","93986",0.998655614408233,-0.599578017458164,0.273,0.293,1
"150","FSIP1","161835",0.883455951139914,0.799184217687663,0.364,0.115,1
"151","GABBR2","9568",0.467711070610231,0.639448198103285,0.364,0.066,1
"152","GALNT6","11226",0.545250241266605,-0.511866484854777,0.455,0.464,1
"153","GAS8","2622",0.977148561204132,1.07490507017681,0.364,0.109,1
"154","GINS3","64785",0.0122276958992594,0.683441998059891,0.727,0.007,1
"155","GOLGB1","2804",0.32098852100973,-1.29038029885352,0.091,0.395,1
"156","GON7","84520",0.0983462750474324,1.02033153616749,0.364,0.148,1
"157","GPR135","64582",0.411894172470989,1.50427916031767,0.273,0.072,1
"158","GPR173","54328",0.223144085913669,0.615941366333745,0.273,0.023,1
"159","GPR37","2861",0.253993497677455,0.634890467719687,0.182,0.003,1
"160","GPRC5C","55890",0.00181576586042624,0.99031470376906,0.273,0.181,1
"161","GPX2","2877",0.103957043683137,2.27297516427213,0.091,0.181,1
"162","GPX4","2879",0.529688291811161,-0.679443743131599,0.091,0.118,1
"163","GSDMA","284110",0.122324920859569,-0.723874630552548,0.091,0.148,1
"164","HERC5","51191",0.000729347966349022,0.643826760724313,0.455,0.036,1
"165","HKDC1","80201",0.551988431837858,0.553068638628065,0.182,0.026,1
"166","HOPX","84525",0.000442917504837133,1.40553243998687,0.364,0.125,1
"167","HYDIN","54768",0.543013285084145,1.53148153543475,0.273,0.171,1
"168","ID1","3397",0.0891116383658223,0.745975731081198,0.455,0.25,1
"169","ID2","3398",0.000108700244459385,1.08740468884137,0.727,0.188,0.326100733378155
"170","IER3","8870",0.467711070610231,-0.603462320350247,0.636,0.668,1
"171","IFT122","55764",0.261075089471708,0.775707386977341,0.364,0.184,1
"172","IFT27","11020",0.00828331539159115,3.27372025738607,0.273,0.092,1
"173","IFT52","51098",0.241585921996583,1.12975326185431,0.182,0.128,1
"174","IFT74","80173",0.712126647926939,-0.521550530278404,0.273,0.214,1
"175","IKZF2","22807",0.694621899512774,-0.613165936938154,0.182,0.457,1
"176","IL17RB","55540",0.417678587316206,-1.38753537637431,0.182,0.086,1
"177","IL1R1","3554",0.830557086354532,-0.529174513819206,0.636,0.513,1
"178","IL4R","3566",0.998655614537271,-0.502373850816909,0.273,0.467,1
"179","INSIG1","3638",0.0260273640449515,0.501706104671901,0.636,0.306,1
"180","INTU","27152",0.455409163930222,0.775297703442303,0.364,0.105,1
"181","IRF9","10379",0.171786724443648,-0.595386476018165,0.091,0.102,1
"182","ITGB8","3696",0.952973746064713,-0.73034561168199,0.273,0.299,1
"183","ITPR1","3708",0.12898171321519,-0.567307344627059,0,0.27,1
"184","ITPR2","3709",0.567868133312234,2.78857968070464,0.091,0.204,1
"185","IVNS1ABP","10625",0.0291099132387483,0.62358343599233,0.727,0.25,1
"186","JADE1","79960",0.286167942029433,-1.23556032703778,0.091,0.181,1
"187","JMJD8","339123",0.144986284003208,0.595652051183654,0.455,0.266,1
"188","KATNAL1","84056",0.216808312439904,-1.04590602676444,0.091,0.105,1
"189","KATNAL2","83473",0.000448568556502952,0.915370229060644,0.273,0.049,1
"190","KATNB1","10300",0.15945012872979,1.02848681928255,0.182,0.109,1
"191","KCNJ2","3759",0.162469605035385,-0.938672202031976,0.182,0.128,1
"192","KCNMB1","3779",0.195072863839594,1.1731011401358,0.182,0.069,1
"193","KCNN3","3782",0.0541188281597705,1.20791440988543,0.455,0.286,1
"194","KIAA0586","9786",0.241585921996583,0.515922962827942,0.273,0.099,1
"195","KIAA1109","84162",0.732318957530086,-0.807317377194415,0.273,0.424,1
"196","KIAA2012","100652824",0.602613486175098,0.92400455369433,0.182,0.069,1
"197","KIF3A","11127",0.449327172392184,-0.852776181284839,0.091,0.181,1
"198","KLF2","10365",0.221866448304835,-0.65305088680143,0.182,0.273,1
"199","KLF6","1316",0.32098852100973,-0.657413244642419,0.545,0.559,1
"200","KLHL13","90293",0.249809288654785,0.641513116166746,0.364,0.194,1
"201","KLHL32","114792",0.228307263374166,1.57290562479438,0.182,0.122,1
"202","KRT23","25984",0.000110212714904599,0.92332372696305,0.364,0.016,0.330638144713798
"203","LEKR1","389170",0.640694598281076,0.648901369489749,0.182,0.062,1
"204","LGALS3BP","3959",0.0612112752256001,0.972116195747203,0.364,0.257,1
"205","LGALSL","29094",0.662547165427449,0.582566538944575,0.364,0.089,1
"206","LIFR","3977",0.0238521762224524,0.670757240582365,0.182,0.118,1
