"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AAK1","22848",0.00690338500517185,-0.519453807262853,0.125,0.75,1
"2","ABCA1","19",0.0288286610779387,0.505119976981822,0.875,0.55,1
"3","ABCD3","5825",0.00644066507273578,-0.593575256116008,0.5,1,1
"4","ABHD4","63874",0.0155792303699703,0.512721126229942,0.75,0.4,1
"5","ABHD5","51099",0.0180653835532027,0.545920222279616,0.75,0.4,1
"6","ABRACL","58527",0.00581030849834798,-0.68017503275542,0.125,0.85,1
"7","ACAT2","39",0.000769345902395258,-0.687629113244846,0,0.8,1
"8","ACSF2","80221",0.00179259818680342,-0.54158319859255,0.125,0.85,1
"9","ACSL1","2180",0.00122954921145665,-0.636977320500271,0.25,0.85,1
"10","ACTR8","93973",0.00610676943805764,0.638167876123988,0.625,0.15,1
"11","ADD3","120",0.0318567447694649,-0.566702904118665,0.375,0.95,1
"12","ADGB","79747",0.000967117220982161,0.761486715712758,0.5,0,1
"13","ADH5","128",0.00808500098335722,-0.595936786668862,0.125,0.75,1
"14","AHNAK","79026",0.0304420242907103,-0.644867566315502,0.5,1,1
"15","AHSA1","10598",0.0184150920502484,0.533955156626137,0.75,0.5,1
"16","AIMP1","9255",0.000325749923573305,-0.790575531508598,0.125,0.9,1
"17","AK7","122481",9.18069891974516e-05,1.42473801367472,0.75,0.05,1
"18","AKAP9","10142",0.00345399527203351,0.568604143938672,1,0.95,1
"19","ALDH16A1","126133",0.00255720370651436,-0.601409400134011,0,0.7,1
"20","ALDH1A1","216",0.000752304949921792,1.00509365017473,0.875,0.35,1
"21","ALPL","249",0.000967117220982161,0.880109113254261,0.5,0,1
"22","ALYREF","10189",0.0042313462283693,-0.586857786352138,0.125,0.75,1
"23","AMIGO2","347902",0.000769345902395258,-0.788197136536994,0,0.8,1
"24","AMOTL1","154810",0.00142836964648716,-0.739187964013799,0,0.75,1
"25","ANKRD11","29123",0.00806936516860282,-0.581582079296952,0.25,0.75,1
"26","ANKRD13A","88455",0.00679949207916691,-0.513520546687688,0.125,0.7,1
"27","ANKRD6","22881",0.00214904970492059,-0.599178614826459,0.125,0.8,1
"28","ANKRD66","100287718",0.00429947477159949,0.666079901676534,0.5,0.05,1
"29","ANLN","54443",0.0001983560575736,-1.27335725718548,0,0.9,1
"30","ANP32B","10541",0.0010309954700036,-0.624470409999213,0.75,0.95,1
"31","ANP32E","81611",0.000706438439110099,-0.767688556548042,0.125,0.9,1
"32","ARF5","381",0.00442466148289278,-0.521754130413613,0,0.65,1
"33","ARF6","382",0.00434763204145585,-0.559090433152944,0.625,0.95,1
"34","ARHGAP19","84986",0.00255720370651436,-0.616507980484716,0,0.7,1
"35","ARHGAP29","9411",0.00588590776785345,-0.586335967970544,0.125,0.8,1
"36","ARHGAP32","9743",0.00494888757035828,0.502064895740641,0.875,0.55,1
"37","ARHGAP39","80728",0.0176426946455826,0.56757494149255,0.625,0.25,1
"38","ARHGDIB","397",0.00680467121048314,-0.663260445207452,0.125,0.85,1
"39","ARHGEF12","23365",0.00690042208825676,-0.66008015292837,0.25,0.75,1
"40","ARHGEF39","84904",0.0035757442454038,-0.569327362887726,0.125,0.75,1
"41","ARID5B","84159",0.0120681287597743,-0.542193646626749,0,0.55,1
"42","ARL9","132946",0.000667185460517187,0.797907514927044,0.75,0.15,1
"43","ARMH1","339541",0.000967117220982161,0.669921752500055,0.5,0,1
"44","ARMH4","145407",0.000163896257914526,0.62650136672559,0.625,0,1
"45","ARPC4","10093",0.00303762537747583,-0.625721376921069,0.125,0.8,1
"46","ASPM","259266",0.0001983560575736,-1.30858446541649,0,0.9,1
"47","ATAD2","29028",0.00255720370651436,-0.613752388228317,0,0.7,1
"48","ATG4B","23192",0.00893691008674497,0.5277599892842,0.625,0.15,1
"49","ATP13A5","344905",0.006871107294512,0.664424471689022,0.5,0.05,1
"50","ATP1B1","481",0.0339509740867861,-0.500420718456634,0.5,0.9,1
"51","ATP5F1A","498",0.000645020536458442,-0.669228040107567,0.625,0.95,1
"52","ATP5MC2","517",0.000201213507579156,-0.761636615676745,0.625,0.95,1
"53","ATP5MC3","518",0.00189384118087001,-0.544677941657607,0.625,0.95,1
"54","ATP5ME","521",0.00434763204145585,-0.665136025195288,0.625,0.95,1
"55","ATP6V1C2","245973",0.0025632181654389,0.888173111682515,0.75,0.3,1
"56","AURKA","6790",0.00142836964648716,-0.929792926414355,0,0.75,1
"57","AUTS2","26053",0.000324250658452759,-0.857481655214164,0.5,0.95,1
"58","BAIAP3","8938",0.00187741533691224,1.21528208573607,0.625,0.1,1
"59","BANF1","8815",0.0379324275677369,-0.577743919203515,0.375,0.9,1
"60","BARX2","8538",0.00255720370651436,-0.576203142215542,0,0.7,1
"61","BASP1","10409",9.18069891974516e-05,1.23989807555093,0.75,0.05,1
"62","BBOF1","80127",0.114983515582738,0.574066081006191,0.625,0.45,1
"63","BCAM","4059",0.00676279541036157,-0.723052996999899,0.375,0.95,1
"64","BCL10","8915",0.00309290132707467,-0.768386376266825,0.25,0.9,1
"65","BIRC5","332",0.000769345902395258,-0.894304280306492,0,0.8,1
"66","BLVRB","645",0.0279987703557337,-0.545705922628296,0.375,0.95,1
"67","BRD2","6046",0.00343626189203727,0.51830995269804,1,0.85,1
"68","BRD3","8019",0.00805744463531539,-0.573181152904134,0.25,0.9,1
"69","BRD3OS","266655",0.070504909297544,0.538134503012651,0.5,0.25,1
"70","BRPF3","27154",0.00273587723436301,0.545028156342792,0.75,0.2,1
"71","BTF3","689",0.0285421383181212,-0.506222462301584,0.625,0.95,1
"72","BTF3L4","91408",0.00142836964648716,-0.589137536523799,0,0.75,1
"73","BTG1","694",0.00369965404483516,-0.652011442034242,0.625,0.95,1
"74","BTG2","7832",0.0214763493794624,-0.599188492888406,0.625,0.85,1
"75","BUB1","699",0.00442466148289278,-0.620390591477122,0,0.65,1
"76","BUB1B","701",0.00142836964648716,-0.848766902188948,0,0.75,1
"77","BUB3","9184",0.0218176860333417,-0.599966491143311,0.125,0.6,1
"78","C1QBP","708",0.000769345902395258,-0.726703392677039,0,0.8,1
"79","CALML4","91860",0.0297851952843687,0.505770222901704,0.5,0.15,1
"80","CAMK4","814",0.000967117220982161,0.549304286287284,0.5,0,1
"81","CAPN10","11132",0.00296076897600225,0.59974303514745,0.75,0.25,1
"82","CAPS","828",1.08279908760643e-05,1.2758684280466,0.875,0.05,0.33424925035323
"83","CAPSL","133690",0.00521732459907935,0.545841078908054,0.375,0,1
"84","CAV1","857",0.00741608138856432,-0.558156467479672,0,0.6,1
"85","CAV2","858",0.00142836964648716,-0.696868761810807,0,0.75,1
"86","CAVIN1","284119",0.00794938842793885,-0.622744619315733,0.125,0.85,1
"87","CAVIN3","112464",0.000769345902395258,-0.68866377673723,0,0.8,1
"88","CBX3","11335",0.000534455336905449,-0.780057673377086,0.625,0.95,1
"89","CBX4","8535",0.000665934707696624,0.678998284683577,0.875,0.4,1
"90","CBX5","23468",0.00639464585933593,-0.64682433133176,0.375,0.85,1
"91","CCDC146","57639",0.000163896257914526,0.738317683924382,0.625,0,1
"92","CCDC17","149483",0.070504909297544,0.525686713820216,0.5,0.25,1
"93","CCDC170","80129",0.000163896257914526,0.804374016658882,0.625,0,1
"94","CCDC180","100499483",0.000967117220982161,0.672862134836578,0.5,0,1
"95","CCDC181","57821",0.0213146177542319,0.525421682812325,0.5,0.1,1
"96","CCDC187","399693",0.0251042517234003,0.570175823413001,0.5,0.15,1
"97","CCDC68","80323",0.000398692359897107,-0.753942042175688,0,0.85,1
"98","CCDC78","124093",0.00187741533691224,0.667518700089889,0.625,0.1,1
"99","CCDC81","60494",0.000163896257914526,0.784381601146907,0.625,0,1
"100","CCL20","6364",0.044572239042819,-0.738236931978604,0,0.4,1
"101","CCN2","1490",0.0096514222482663,-1.0238517412801,0.5,0.85,1
"102","CCNA2","890",0.00130172826404436,-0.707730978924057,0.25,0.9,1
"103","CCNB1","891",0.000398692359897107,-1.10301499625054,0,0.85,1
"104","CCNB2","9133",0.000769345902395258,-0.83151431241615,0,0.8,1
"105","CCNF","899",0.00741608138856432,-0.786862796820996,0,0.6,1
"106","CCNI","10983",0.00691099912732625,-0.596348320637423,0.25,0.9,1
"107","CD59","966",0.00336108718120892,0.556967266691203,0.875,0.65,1
"108","CD74","972",0.0101979405477773,1.02623299308318,0.75,0.5,1
"109","CD82","3732",0.00303762537747583,-0.561947591700594,0.125,0.8,1
"110","CD99","4267",0.000233961197886276,-0.721098695447278,0.375,0.95,1
"111","CDC20","991",0.000751825885439354,-0.857829885546731,0.25,0.9,1
"112","CDC25B","994",0.00142836964648716,-0.874247825369442,0,0.75,1
"113","CDCA2","157313",0.00442466148289278,-0.539004553886483,0,0.65,1
"114","CDCA3","83461",0.000398692359897107,-0.888321191606279,0,0.85,1
"115","CDCA7L","55536",0.00214904970492059,-0.633862699993445,0.125,0.8,1
"116","CDCA8","55143",0.0120681287597743,-0.543903051535582,0,0.55,1
"117","CDH3","1001",0.00410525692215712,-0.690325498123345,0.125,0.9,1
"118","CDHR4","389118",0.000163896257914526,0.838979092532164,0.625,0,1
"119","CDK1","983",0.0001983560575736,-1.18070566169381,0,0.9,1
"120","CENPA","1058",0.00142836964648716,-0.843598181914996,0,0.75,1
"121","CENPB","1059",0.0171685509775504,-0.512949071759874,0.375,0.9,1
"122","CENPC","1060",0.0257816064873362,-0.526645685984776,0.25,0.75,1
"123","CENPE","1062",0.0001983560575736,-1.28956586407604,0,0.9,1
"124","CENPF","1063",0.0001983560575736,-1.65134310571382,0,0.9,1
"125","CENPH","64946",0.000398692359897107,-0.933406974118499,0,0.85,1
"126","CENPK","64105",0.00255720370651436,-0.537094536468834,0,0.7,1
"127","CENPN","55839",0.00142836964648716,-0.735117582325459,0,0.75,1
"128","CENPW","387103",0.0120681287597743,-0.544554310500998,0,0.55,1
"129","CEP126","57562",9.18069891974516e-05,0.951602604840421,0.75,0.05,1
"130","CEP44","80817",0.00255720370651436,-0.514565594837537,0,0.7,1
"131","CERS6","253782",0.0120681287597743,-0.53569490180196,0,0.55,1
"132","CETN2","1069",0.00028651682795084,0.99692378304042,1,0.6,1
"133","CFAP126","257177",0.0240930073527376,0.501190288538616,0.375,0.05,1
"134","CFAP20","29105",0.042426950169326,0.523833179146393,0.625,0.35,1
"135","CFAP43","80217",0.000245779360462229,0.727602285897043,0.75,0.1,1
"136","CFAP44","55779",0.0485689171889948,0.500301385407433,0.5,0.15,1
"137","CFAP45","25790",0.00501980660170958,0.736723155853838,0.625,0.15,1
"138","CFAP46","54777",0.000672835386523568,0.781159339462485,0.625,0.05,1
"139","CFAP53","220136",0.000672835386523568,1.06781324080104,0.625,0.05,1
"140","CFAP65","255101",0.000967117220982161,0.614652962350211,0.5,0,1
"141","CFAP69","79846",0.000967117220982161,0.521557339278652,0.5,0,1
"142","CFDP1","10428",0.00579068045540283,-0.507507062346947,0.625,0.85,1
"143","CFL1","1072",0.00147191827032534,-0.711462980774726,0.625,1,1
"144","CKAP2","26586",0.000851899068954665,-1.22254664187569,0.25,0.85,1
"145","CKAP2L","150468",0.00442466148289278,-0.772927556799889,0,0.65,1
"146","CKB","1152",0.00187741533691224,0.883849211151063,0.625,0.1,1
"147","CKS1B","1163",0.000769345902395258,-0.911689571478733,0,0.8,1
"148","CKS2","1164",0.00588590776785345,-0.650170710213505,0.25,0.75,1
"149","CLDN1","9076",0.00135974714502958,-0.90412794449899,0.25,0.95,1
"150","CLDN2","9075",0.000967117220982161,0.582510658342079,0.5,0,1
"151","CLEC2B","9976",0.00303762537747583,-0.612860270995986,0.125,0.8,1
"152","CLPX","10845",0.00142836964648716,-0.567668756801374,0,0.75,1
"153","CMC1","152100",0.0001983560575736,-0.772598941392053,0,0.9,1
"154","CMC2","56942",0.00213658546834963,-0.777073205467802,0.125,0.85,1
"155","CMTM7","112616",0.000163896257914526,0.564775407958533,0.625,0,1
"156","CNOT1","23019",0.000302611755750251,-0.789458920333437,0.25,0.95,1
"157","CNTRL","11064",0.00679949207916691,-0.591309887170034,0.125,0.7,1
"158","COL12A1","1303",0.000398692359897107,-1.03399897101323,0,0.85,1
"159","COL17A1","1308",0.000895332338997436,-0.954514987253302,0.375,0.95,1
"160","COL4A5","1287",0.000769345902395258,-0.55504254063422,0,0.8,1
"161","CPT1A","1374",0.00203437209562288,-0.610178048803724,0.5,0.95,1
"162","CRIP2","1397",0.00214904970492059,-0.725600600881974,0.125,0.8,1
"163","CRLF1","9244",9.45462718387448e-05,-1.09606258638392,0,0.95,1
"164","CRY2","1408",0.0114933861955858,0.530070494480829,0.75,0.4,1
"165","CSPP1","79848",0.0197096824828009,0.536547397124757,0.875,0.7,1
"166","CST6","1474",0.00866181288698258,0.612901204240879,0.75,0.35,1
"167","CTXN1","404217",0.000672835386523568,0.750659424388464,0.625,0.05,1
"168","CXCL8","3576",0.0120681287597743,-0.862468004449228,0,0.55,1
"169","CYFIP2","26999",0.00396176807804116,-0.677485961082781,0.375,1,1
"170","CYTH1","9267",0.00901713880148579,0.519185877944291,0.875,0.6,1
"171","DBF4","10926",0.00255720370651436,-0.613127421365948,0,0.7,1
"172","DBNL","28988",0.00214904970492059,-0.598151908043722,0.125,0.8,1
"173","DCDC2B","149069",0.00521732459907935,0.623751655630212,0.375,0,1
"174","DCK","1633",0.00442466148289278,-0.560432846176769,0,0.65,1
"175","DDX39A","10212",0.00522103852029796,-0.505453683372058,0.375,0.9,1
"176","DDX54","79039",0.00255720370651436,-0.506557186029733,0,0.7,1
"177","DEFB1","1672",0.0279987703557337,-0.600171099844409,0.375,0.95,1
"178","DEK","7913",0.0073018591777727,-0.647089494525814,0.5,0.9,1
"179","DENND2C","163259",0.00255826802160316,-0.647434061281434,0.125,0.8,1
"180","DENND6B","414918",0.0176426946455826,0.575377232831734,0.625,0.25,1
"181","DEPDC1","55635",0.00442466148289278,-0.779987050695978,0,0.65,1
"182","DGKA","1606",0.0035757442454038,-0.506329650450927,0.125,0.75,1
"183","DHCR7","1717",0.000172775522497177,-0.86089058471929,0.125,0.95,1
"184","DIAPH3","81624",0.00142836964648716,-0.581461285683697,0,0.75,1
"185","DICER1","23405",0.00774210347907767,-0.532063007523654,0.25,0.85,1
"186","DLGAP5","9787",0.0001983560575736,-1.01154940969406,0,0.9,1
"187","DLK2","65989",0.00142836964648716,-0.729025713895605,0,0.75,1
"188","DNAAF1","123872",0.000163896257914526,0.524735758520256,0.625,0,1
"189","DNAH11","8701",0.000967117220982161,0.570126077080818,0.5,0,1
"190","DNAH5","1767",0.000672835386523568,0.76054164504701,0.625,0.05,1
"191","DNAI2","64446",0.000967117220982161,0.672239931553396,0.5,0,1
"192","DNAJB13","374407",0.000163896257914526,0.797525387919814,0.625,0,1
"193","DNAJC7","7266",0.00171174324984292,-0.611184307255602,0.5,0.95,1
"194","DNMT1","1786",0.000398692359897107,-0.759301770555964,0,0.85,1
"195","DPCD","25911",0.070504909297544,0.619852177113463,0.5,0.25,1
"196","DSP","1832",0.00817368961220494,-0.505115911902733,0.875,0.95,1
"197","DTYMK","1841",0.0109516871902288,-0.533028628492293,0.25,0.75,1
"198","DUSP14","11072",0.00233715449040347,0.643889633214175,0.875,0.35,1
"199","DUSP6","1848",0.00068460348543857,-1.0842669407164,0.125,0.95,1
"200","DUT","1854",0.000788475743387147,-1.03348758506478,0.375,0.9,1
"201","DYNLRB2","83657",0.00411085884359289,0.994591391597365,0.625,0.15,1
"202","DZIP1L","199221",0.00429947477159949,0.689203307192379,0.5,0.05,1
"203","ECT2","1894",0.0001983560575736,-1.01906213135875,0,0.9,1
"204","EEF1B2","1933",0.0102134699292101,-0.507118856848413,0.75,1,1
"205","EEF1D","1936",0.00610996180161467,-0.612516095892915,0.5,0.85,1
"206","EEF1G","1937",0.000245831847984571,-1.12751165529404,0.625,0.95,1
"207","EEF2","1938",0.000865386556711556,-0.576796769605444,0.875,1,1
"208","EEF2K","29904",0.00142836964648716,-0.774082473271438,0,0.75,1
"209","EFR3A","23167",0.00579068045540283,-0.507348706845024,0.375,0.95,1
"210","EGR1","1958",0.000185619021451403,-0.935754551649754,0.875,1,1
"211","EGR2","1959",0.0120681287597743,-0.504933422934523,0,0.55,1
"212","EHD2","30846",0.0001983560575736,-0.886175638288084,0,0.9,1
"213","EIF1AX","1964",0.0179484210040411,-0.539243977066022,0.375,0.85,1
