"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ACSL1","2180",0.000204537618041483,-0.883182675390777,0,0.708,1
"2","ADD1","118",0.00151968982704783,-0.661198725900024,0.222,0.752,1
"3","ADD3","120",0.00241520031866193,-0.719108883627244,0.333,0.816,1
"4","ADGB","79747",1.70639002696067e-75,0.580804556767597,0.556,0.005,5.2674553742249e-71
"5","ADGRV1","84059",0.00966492363537624,-0.529564015711594,0.444,0.786,1
"6","ADM","133",0.000616983324220819,-0.875583456447615,0.222,0.824,1
"7","ADORA2B","136",0.00089220102879417,-0.707208598003523,0.333,0.771,1
"8","AGBL3","340351",1.04588460263424e-18,0.783649732838271,0.667,0.045,3.22854117987164e-14
"9","AK7","122481",2.830170455895e-17,1.32121524605377,0.667,0.052,8.73645318030228e-13
"10","AK9","221264",8.35407825531587e-77,0.843176823790246,0.667,0.008,2.57882041663346e-72
"11","ALDH2","217",0.0037570439363487,-0.524215677059859,0.667,0.933,1
"12","ALDH3B1","221",0.00124964105001831,0.506914142495298,0.444,0.125,1
"13","ALKBH7","84266",0.0370725326097647,0.504332967071977,0.444,0.211,1
"14","ALOXE3","59344",0.013034887981916,-0.517232296604626,0.111,0.55,1
"15","ALPL","249",1.58129984636242e-35,0.774513511813379,0.556,0.014,4.88131449573616e-31
"16","ANGPTL4","51129",0.00082907336247952,-0.935657194903817,0.111,0.691,1
"17","ANKRD45","339416",2.61612947258655e-06,0.734021347260205,0.667,0.166,0.0807573006892742
"18","ANKRD66","100287718",1.02781706908557e-59,0.904780150031079,0.667,0.011,3.17276851056025e-55
"19","APOBEC1","339",0.00244045535175097,-0.683745342118668,0.556,0.933,1
"20","APP","351",5.5107701199008e-05,-0.691810157142737,0.667,0.979,1
"21","ARHGEF12","23365",0.0054450968720339,-0.571166637481683,0.222,0.653,1
"22","ARL2BP","23568",0.0271715965635102,0.504133871216828,0.444,0.228,1
"23","ARL9","132946",0.00713451789623974,0.512931157079912,0.667,0.322,1
"24","ARMC3","219681",1.79989919458061e-81,0.618253780327734,0.556,0.004,5.55610882375089e-77
"25","ARMH1","339541",2.08802009340322e-31,0.75342254143196,0.667,0.025,6.44550922632639e-27
"26","ARMH4","145407",8.39578220940124e-07,0.515711591950311,0.556,0.09,0.0259169401022007
"27","ASAH1","427",0.00142947999741753,-0.600217520942994,0.444,0.798,1
"28","ATF3","467",7.06613314013314e-06,-0.88751837094901,0.556,0.972,0.21812446390277
"29","ATP13A4","84239",0.00171700528256281,-0.717667902880122,0,0.582,1
"30","ATP13A5","344905",0.0001432103987956,-0.877495438868819,0.333,0.938,1
"31","ATP1B1","481",0.000763846884869121,-0.552320648721884,0.778,0.945,1
"32","ATP2B1","490",0.000635426254472323,-0.721808769357777,0.222,0.76,1
"33","ATP5F1D","513",0.00327941498389851,0.573852542744954,0.889,0.46,1
"34","ATP6V1E1","529",0.00066257399691973,0.524082581035276,0.889,0.7,1
"35","ATP8B1","5205",0.00516551634830107,-0.598010961038257,0.111,0.7,1
"36","AZGP1","563",0.0010357095556772,-0.938223334122818,0,0.615,1
"37","B4GALNT2","124872",0.0127412853168069,-0.525593683656468,0.111,0.547,1
"38","BAIAP3","8938",9.78929030882183e-12,1.24834247876724,0.667,0.082,3.02185602543021e-07
"39","BASP1","10409",1.08759127189864e-15,1.25992739393352,0.667,0.058,3.35728549722392e-11
"40","BBOF1","80127",7.61429621052529e-06,0.945488209384953,0.667,0.192,0.235045709722705
"41","BCL10","8915",0.000103939333539958,-0.743587163139164,0.556,0.88,1
"42","BHLHE40","8553",5.99885995299406e-05,-0.70303555428566,0.778,0.961,1
"43","BNIPL","149428",9.71340440628681e-15,0.537497977302945,0.444,0.025,2.99843080617668e-10
"44","BPIFA1","51297",3.75896488543884e-05,-0.729571499844651,1,0.999,1
"45","BPNT1","10380",0.00350995299146855,-0.655610593269669,0.111,0.693,1
"46","BRD3OS","266655",4.6061924582245e-12,1.00860569662756,0.667,0.079,1.42188554992932e-07
"47","BRPF3","27154",0.00549171748692711,0.563044155295374,0.444,0.158,1
"48","BTG1","694",0.00256943271693935,-0.729972890154888,0.111,0.618,1
"49","BTG2","7832",0.001444682244381,-0.729867140476436,0.333,0.739,1
"50","BTG3","10950",0.000450072208126052,0.575000644555325,0.667,0.263,1
"51","C1GALT1","56913",0.000494384128931524,-0.788477600349455,0.111,0.723,1
"52","CALM1","801",6.03226894993985e-05,0.728914265584526,0.889,0.771,1
"53","CALM2","805",0.00178651818344422,0.564820981979132,0.778,0.693,1
"54","CAMK2D","817",0.0145643827439369,-0.503558404805209,0.222,0.597,1
"55","CAMK2N1","55450",5.89714209454352e-13,0.580724113317814,0.444,0.029,1.82038879316464e-08
"56","CAMKK2","10645",0.0518572298554639,0.502225754792318,0.444,0.227,1
"57","CAPS","828",0.000742031373279667,0.91536423944884,0.667,0.339,1
"58","CAPS2","84698",2.52793826202464e-08,0.55490349736005,0.444,0.049,0.000780349262104385
"59","CAPSL","133690",4.1345166242651e-06,0.762587508885259,0.556,0.117,0.127628393674439
"60","CBY1","25776",1.03568446604268e-06,0.680019680690773,0.667,0.153,0.0319705437822715
"61","CC2D1B","200014",0.00118125023592343,0.651363439218508,0.778,0.468,1
"62","CCDC115","84317",1.61074916091396e-05,0.67154767489619,0.667,0.184,0.49722215848253
"63","CCDC146","57639",1.31298738871056e-68,0.790186669403719,0.667,0.009,4.05306077021064e-64
