"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AGR2","10551",4.1502211758231e-79,0.533152546741607,0.848,0.668,1.28113177476483e-74
"2","ANGPTL4","51129",2.5925848944131e-86,-0.668320679774868,0.196,0.691,8.00305031056381e-82
"3","CCN2","1490",2.47745045498676e-56,-0.596590093078066,0.383,0.734,7.64764180949862e-52
"4","DEFB1","1672",2.00761632453798e-69,-0.589395367063804,0.334,0.763,6.19731083221628e-65
"5","EGR3","1960",3.03034188969681e-81,-0.620220635001939,0.355,0.797,9.35436237930507e-77
"6","HOPX","84525",6.81960746874691e-41,0.557346923749043,0.549,0.349,2.10514462952748e-36
"7","JUN","3725",2.49896364119953e-189,-0.547654965304568,0.827,0.996,7.71405086401884e-185
"8","SDCBP2","27111",6.97615956310286e-37,0.506729021702086,0.479,0.307,2.15347069553422e-32
"9","SERPINB1","1992",1.92671455562645e-95,-0.545130331499203,0.635,0.938,5.94757516176328e-91
"10","TGM3","7053",2.03250333907752e-63,-0.595940275943901,0.148,0.546,6.27413455739838e-59
"11","TM4SF1","4071",4.80977545412278e-103,-0.626358209025506,0.553,0.893,1.48472958493316e-98
"12","TXNIP","10628",2.04903097341861e-69,-0.545070530362813,0.263,0.728,6.3251537118459e-65
