"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCA1","19",1.26312169471026e-13,-0.687538180149552,0.46,0.938,3.89913035940109e-09
"2","ACIN1","22985",5.11851301868244e-09,-0.506965536637366,0.18,0.671,0.000158003378373708
"3","ALAS1","211",6.6452595086246e-12,-0.513285059134679,0.7,0.983,2.05132515771733e-07
"4","ALDH2","217",1.14796936360596e-13,-0.635694258267541,0.54,0.933,3.54366662851523e-09
"5","ANGPTL4","51129",4.24768715054521e-10,-0.701817615405801,0.2,0.691,1.3112185465018e-05
"6","APLP2","334",6.60742583560254e-12,-0.551651169914658,0.6,0.988,2.03964628119215e-07
"7","ARGLU1","55082",1.28063396843149e-08,-0.513035082601843,0.38,0.83,0.000395318899715117
"8","ATP13A5","344905",3.09027225818358e-09,-0.529712111408873,0.52,0.938,9.53936143378689e-05
"9","ATP1B1","481",2.71408537531524e-12,-0.667807716058107,0.42,0.945,8.37811014506061e-08
"10","ATP2C2","9914",3.349806429834e-09,-0.626548911581488,0.12,0.59,0.000103405174682546
"11","ATP6V1C2","245973",2.34653013935602e-11,-0.601201654977015,0.46,0.907,7.2435038871781e-07
"12","AUTS2","26053",4.62992249835498e-09,-0.57640958100331,0.28,0.784,0.00014292107760172
"13","BCO1","53630",8.68046130835386e-08,-0.534019035200673,0.16,0.639,0.00267957160127575
"14","BPIFA1","51297",2.31974946943332e-14,-0.617327593267204,0.94,0.999,7.1608346371937e-10
"15","BTG2","7832",3.51942478967138e-07,-0.512391650026718,0.3,0.739,0.0108641123832366
"16","BZW1","9689",2.60924606411553e-11,-0.631798673509477,0.46,0.909,8.05448167531822e-07
"17","CCN1","3491",5.43244178290787e-19,-0.873449516688349,0.46,0.955,1.67694045396583e-14
"18","CCN2","1490",4.32611363528709e-11,-0.876679487892713,0.22,0.734,1.33542801807677e-06
"19","CCS","9973",3.56795174875272e-09,-0.550951982449548,0.42,0.847,0.000110139102532248
"20","CFI","3426",6.21121729786141e-09,-0.535789464377193,0.44,0.897,0.000191734066767684
"21","CHD4","1108",7.29298538634437e-08,-0.503914451130716,0.36,0.816,0.00225127165891064
"22","CHI3L1","1116",5.79735149659146e-12,-0.761881494106862,0.3,0.825,1.78958443348282e-07
"23","CIRBP","1153",1.70028216027792e-08,-0.53966509927432,0.3,0.728,0.000524860100056192
"24","CLMN","79789",3.1492427216354e-09,-0.565251022390814,0.22,0.765,9.72139735741633e-05
"25","CLSTN1","22883",7.83016151694923e-11,-0.540194357478194,0.56,0.958,2.41709255866706e-06
"26","COL21A1","81578",1.15445927905458e-08,-0.567661488941674,0.04,0.493,0.00035637003485136
"27","DEFB1","1672",1.50407657487037e-09,-0.67363250930506,0.26,0.763,4.64293397896735e-05
"28","DNAJB1","3337",0.00107440612019132,0.521610671639966,0.56,0.553,1
"29","EGR1","1958",1.38611717671598e-12,-0.508174788284961,0.72,0.982,4.27880511280454e-08
"30","EGR2","1959",5.21812118174156e-08,-0.510723712050569,0.04,0.463,0.0016107818275918
