"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ANGPTL7","10218",3.28392882426893e-36,0.514859841288628,0.127,0.158,9.85178647280679e-33
"2","CES1","1066",0.00786686419079888,-1.70020606824304,0.102,0.161,1
"3","CFAP298","56683",0.0803985077993882,-0.622674818140631,0.114,0.133,1
"4","DYNLL1","8655",0.605035190615597,-0.541293961047642,0.083,0.113,1
"5","ENKUR","219670",0.0746005237944046,-0.617823523592545,0.125,0.104,1
"6","FN1","2335",0.0503003453804727,-1.78253956811368,0.261,0.292,1
"7","MUC21","394263",2.74586907784721e-19,0.829992161228116,0.147,0.134,8.23760723354163e-16
"8","PMEPA1","56937",0.000269622350945903,2.86293384813684,0.171,0.178,0.808867052837709
"9","PORCN","64840",1.35032284223943e-14,0.827099227439841,0.185,0.156,4.05096852671828e-11
"10","SORL1","6653",0.258425904637119,-0.515504822427058,0.132,0.146,1
"11","TGFBI","7045",1.61176524869623e-19,0.986160591048724,0.098,0.114,4.8352957460887e-16
"12","TIMP3","7078",1.98220530334538e-19,2.72149277682387,0.113,0.123,5.94661591003613e-16
"13","TPM1","7168",0.0170164826764705,1.12849810681732,0.187,0.209,1
