"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FXYD3",0,0.369397965682952,0.952,0.931,0
"LOC102519239",0,-0.980783541384938,0.389,0.938,0
"JUN",0,-0.439545220414635,0.921,0.996,0
"LOC116656929",0,-0.585358169944509,0.216,0.74,0
"S100A6",0,0.321102040904807,0.997,0.99,0
"EGR3",0,-0.741735662717261,0.225,0.766,0
"RBM3",0,-0.63940623166229,0.527,0.873,0
"KEG61-t15",0,-0.575221147851509,0.042,0.608,0
"mers-3UTR",0,1.72430285035928,0.982,0.001,0
"COL21A1",2.79088528104732e-302,-0.596283616206058,0.117,0.613,8.61518377406499e-298
"CCN1",2.38947241018692e-301,-0.584589996973688,0.669,0.93,7.37606238300599e-297
"ATP1B1",9.93518572105794e-288,-0.575580660330166,0.497,0.913,3.06689248023338e-283
"GFRA1",6.38046305005793e-286,-0.613942320725185,0.351,0.879,1.96958513892238e-281
"S100A2",1.09047304256732e-276,0.370130770896185,0.976,0.948,3.36618123510105e-272
"SERF2",1.44293870437916e-276,0.315070511113257,0.937,0.886,4.45420748654803e-272
"CCN2",3.16048307081321e-272,-0.791792470548525,0.376,0.785,9.75609519129331e-268
"HSPE1",2.72833799930796e-263,0.386701919647,0.876,0.807,8.42210657006374e-259
"NEK10",2.34448019628407e-246,-0.449467919396784,0.096,0.555,7.23717591790931e-242
"LOC102513132",4.73217111422662e-242,0.289344784818508,0.963,0.895,1.46077390125061e-237
"KEG61-t14",8.16329866120782e-240,-0.371943933510886,0.047,0.452,2.51992866372824e-235
"SLC4A7",9.78000026878424e-233,-0.495977740818305,0.277,0.753,3.01898828297101e-228
"HPSE",3.87920368754509e-232,-0.53982407351029,0.446,0.842,1.19747138630829e-227
"ATP5F1E",1.81983070458031e-231,0.26133423250904,0.943,0.907,5.61763540196895e-227
"ATF3",1.62366450235051e-224,-0.396306158989277,0.79,0.967,5.0120899523058e-220
"RBM25",1.81222093383675e-221,-0.454189641093557,0.452,0.872,5.59414480066065e-217
"LOC106730356",4.22742819108133e-216,0.40057394412077,0.801,0.727,1.3049648083049e-211
"NR4A1",1.53050255256735e-214,-0.590737770558343,0.357,0.767,4.72450832952015e-210
"LOC102506678",2.86679645108254e-214,0.573330716930314,0.861,0.698,8.84951396484669e-210
"KEG61-t02",5.04655534251946e-209,-0.387557322479352,0.101,0.508,1.55782116868233e-204
"LOC102520430",6.59180452722688e-209,0.277483874420548,0.941,0.921,2.03482413950967e-204
"LOC102524239",2.71333075700809e-207,-0.64405393900171,0.434,0.83,8.37578071380829e-203
"OST4",3.13932157160389e-207,0.447411201070205,0.735,0.653,9.69077175938404e-203
"LOC102509380",5.03104000316167e-204,0.705073785187845,0.464,0.134,1.55303173857598e-199
"S100A12",7.43090154244099e-201,0.700416994539457,0.514,0.195,2.29384499713611e-196
"LOC102514870",7.35787265686037e-196,0.254015637845173,0.91,0.87,2.27130171044623e-191
"EGR2",5.22920882187847e-194,-0.416301110264286,0.095,0.475,1.61420447122567e-189
"EIF4A2",3.92906323338629e-193,0.360093915762749,0.822,0.742,1.21286252951401e-188
"GOLGB1",5.39088142968047e-192,-0.359986929659369,0.837,0.976,1.66411118852806e-187
"TUFT1",7.15101834714651e-192,-0.471073635913213,0.511,0.877,2.20744785358066e-187
"LOC116657153",1.03556774807766e-186,0.295715045737172,0.845,0.802,3.19669408154092e-182
"LOC102516568",7.25379441336278e-186,0.58395522415323,0.52,0.194,2.23917379746096e-181
