"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"camel229E-ORF1ab",0,0.55039008613643,0.438,0,0
"camel229E-S",0,0.676737520330804,0.5,0,0
"camel229E-M",0,0.975197570429667,0.547,0.001,0
"camel229E-N",0,1.80166144861756,0.828,0,0
"camel229E-ORF8",0,1.6540720341528,0.828,0,0
"camel229E-3UTR",0,2.83141827110949,1,0,0
"IQCA1",9.14029470261038e-113,1.14101902421531,0.875,0.072,2.8215175717488e-108
"WDR66",8.65667956997034e-110,1.04919591563231,0.859,0.072,2.67223041645414e-105
"CEP126",1.37736476977406e-106,1.14010536481169,0.844,0.072,4.25178730781556e-102
"NME9",1.4912036700865e-104,1.20678846156968,0.844,0.073,4.60319660919001e-100
"ALPL",1.31022955617763e-100,1.07569605478991,0.766,0.064,4.04454761696472e-96
"SPAG6",1.43323549769257e-100,1.02428273641273,0.812,0.069,4.42425465782719e-96
"STMND1",6.92684534629581e-100,0.941600722907674,0.797,0.067,2.13824788994805e-95
"KIF19",1.10480517810519e-96,0.747653471503569,0.703,0.054,3.41042310429292e-92
"C33H11orf88",1.69382436507635e-96,1.09391137108355,0.859,0.082,5.22866643255418e-92
"AK9",3.38663330238336e-96,0.938823822418053,0.797,0.07,1.04541983411272e-91
"LOC106730365",4.9106430499023e-96,1.09532930969958,0.766,0.066,1.51586640307434e-91
"CCDC146",1.19863039913606e-94,0.926643675568725,0.781,0.069,3.7000521790931e-90
"VWA3A",2.53627211093519e-93,0.934323350303188,0.75,0.065,7.82921837924584e-89
"ADGB",4.17967367347206e-93,0.806313489027885,0.703,0.056,1.29022346626409e-88
"TEKT1",2.43092304900338e-92,0.90727619056864,0.766,0.067,7.50401635996852e-88
"LOC102520356",4.06755334913478e-92,1.22330692074183,0.828,0.084,1.25561304334442e-87
"ANKRD66",4.42080874547594e-92,0.927956241415041,0.766,0.07,1.36465945164097e-87
"LDLRAD1",1.19543158473889e-91,1.13757817611832,0.781,0.073,3.69017775893049e-87
"LOC102505959",2.27056909337832e-91,0.752332745639224,0.672,0.052,7.00901973434954e-87
"MORN5",2.33244747600601e-91,1.0588083406061,0.797,0.076,7.20003211368294e-87
"LRRC10B",4.14243086397098e-90,0.969310429667114,0.734,0.064,1.2787269833992e-85
"FAM216B",3.24561751416348e-88,0.871853059963899,0.75,0.066,1.00188967044712e-83
"C1H21orf58",6.91335491005694e-88,1.03447155589987,0.766,0.072,2.13408352718548e-83
"CCDC170",7.52184724429433e-88,0.887612929922687,0.734,0.065,2.32191902584122e-83
"LOC102518654",2.22943060148121e-87,0.987778176509767,0.75,0.069,6.88202932371234e-83
"AK7",1.35371097289702e-86,1.40582051199229,0.891,0.105,4.1787704022358e-82
"CFAP46",1.44441188623149e-86,1.05807463069298,0.766,0.075,4.45875505160798e-82
"LOC102512533",2.76015151774176e-86,1.05541973376936,0.797,0.079,8.52031172011703e-82
"LOC106728450",3.73295187868108e-86,0.611101623505221,0.594,0.042,1.15232491543006e-81
"FOXJ1",8.8307728111657e-86,1.21905158660923,0.828,0.089,2.72597125907874e-81
"CCDC180",1.47377301887526e-85,0.845546205222269,0.734,0.069,4.54938993196604e-81
"DNAH2",1.95352015111207e-85,0.591039368225942,0.625,0.047,6.03032135446784e-81
"DNAI2",2.51430514080447e-85,0.880781099643684,0.719,0.065,7.76140853914931e-81
"LOC102510742",1.89790647375918e-84,1.17676844420668,0.828,0.088,5.85864749384721e-80
"LOC102519927",2.30147916605482e-84,0.722180326562116,0.656,0.054,7.10443603769463e-80
"RSPH14",2.47775212454752e-84,0.732205105520089,0.656,0.054,7.64857303326573e-80
"SNTN",3.55722231015337e-84,1.11134351847235,0.812,0.085,1.09807895492124e-79
"CCDC39",5.14760892546981e-84,0.728397635732405,0.641,0.053,1.58901539920327e-79
"SPAG17",5.42710273583644e-83,0.737011171379474,0.656,0.055,1.67529234352535e-78
"WDR63",3.62616990533002e-82,0.897028019267269,0.719,0.067,1.11936238807633e-77
"SPEF1",3.46352862844807e-80,0.773006970147711,0.75,0.076,1.06915665231564e-75
"CFAP54",3.94592190814891e-80,0.90509617795365,0.719,0.069,1.21806663382649e-75
"CCDC81",1.5953666833849e-78,0.975132744003072,0.812,0.096,4.92473741494085e-74
"C12H12orf56",2.29226791982727e-78,0.735014421622574,0.672,0.06,7.0760018417148e-74
"ENKUR",3.74041862274013e-77,1.12439232389295,0.781,0.086,1.15462982465365e-72
"CLDN2",3.84263559965987e-77,0.583665009496604,0.562,0.042,1.186183183259e-72
"DZIP1L",3.88696755107844e-77,0.85212372082959,0.719,0.074,1.1998680133424e-72
"IQCK",3.93392689814783e-77,0.727578542403683,0.688,0.067,1.21436389418925e-72
"DNAH11",8.48235720132296e-77,0.850272169403416,0.719,0.073,2.61841884447638e-72
"CFAP65",1.39992715061222e-76,0.705914905128741,0.656,0.058,4.32143512122486e-72
"SPEF2",2.29957468588237e-76,0.65969086695955,0.609,0.051,7.09855709785028e-72
"C21H1orf189",2.19685774694691e-75,1.0718548243951,0.75,0.081,6.78148017905043e-71
"STK33",8.06660922789615e-75,0.64940886346602,0.609,0.052,2.49008160255926e-70
"SPATA18",5.62706734982386e-74,0.671481594509007,0.656,0.06,1.73701942021713e-69
"OSBPL6",8.03282296006809e-74,0.722485270667676,0.656,0.062,2.47965211954342e-69
"DNAH5",1.65248012432547e-73,0.902057105155106,0.766,0.087,5.10104089578029e-69
"CDHR4",2.01848268169436e-73,0.964238171197905,0.812,0.101,6.23085419012231e-69
"CFAP126",5.72365166034149e-73,0.803200598583954,0.672,0.066,1.76683403103082e-68
"ROPN1L",1.11833123772852e-72,0.938570767545245,0.719,0.079,3.45217669774417e-68
"LOC102521220",8.7705812159943e-72,0.894728519938911,0.703,0.074,2.70739071556528e-67
"CFAP300",1.95301789551171e-71,0.579457316139824,0.594,0.052,6.0287709416551e-67
"TPPP3",5.56648963745168e-71,1.28042422479559,0.797,0.101,1.71831968618496e-66
"DNALI1",5.68498721667496e-71,0.545877099896364,0.578,0.049,1.75489870391539e-66
"LCA5L",9.61403935454328e-71,0.582419048149138,0.547,0.044,2.96775780835397e-66
"CFAP53",1.50026016654146e-70,1.20297571581447,0.891,0.134,4.63115310809684e-66
"LOC102509604",4.02371431074362e-70,0.658193347633728,0.656,0.066,1.24208037058345e-65
"SMKR1",9.18859004322039e-70,0.616232899363911,0.625,0.058,2.8364258604417e-65
"CFAP45",1.0695185324485e-69,0.941858327220418,0.797,0.105,3.30149675781526e-65
"NAAA",2.89130078328047e-69,1.03271984164154,0.797,0.108,8.92515638790847e-65
"CCDC151",4.07556952008107e-67,0.642052546594266,0.625,0.062,1.25808755515382e-62
"FAM166B",8.20413977808578e-67,0.864974561496816,0.719,0.086,2.5325359080973e-62
"KLHL32",1.45995351981901e-66,0.819373275074488,0.75,0.098,4.50673052032931e-62
"LRRC18",2.79810923853794e-66,0.589045584562271,0.562,0.05,8.63748340844277e-62
"LOC102520375",6.42636949031717e-66,0.54699735811759,0.531,0.045,1.98375599796601e-61
"DNAAF1",1.56066203407764e-65,0.611560891094054,0.609,0.059,4.81760763299428e-61
"PIH1D2",4.74631198147578e-65,0.87797378457946,0.766,0.104,1.46513904556176e-60
"CFAP44",8.72163771354918e-65,0.860319867861773,0.766,0.103,2.6922823457955e-60
"MAPK15",1.00508054335135e-63,0.89940906431397,0.734,0.094,3.10258312927127e-59
"FHL1",1.96695059721421e-63,0.570848105533755,0.469,0.036,6.07177979854053e-59
"LOC102515925",5.23039822868303e-63,0.936448462047752,0.719,0.092,1.61457162921216e-58
"C13H1orf141",1.58949586663099e-62,0.57168693625227,0.516,0.044,4.90661479070319e-58
"DRC7",1.76637608522881e-62,0.636516076036616,0.516,0.046,5.45262633749283e-58
"ERICH3",9.51677321283986e-62,0.684225427685551,0.594,0.06,2.93773272307154e-57
"TUBA1A",1.35251067353768e-61,1.07060664413722,0.766,0.105,4.17506519814345e-57
"RIBC2",1.49650330056881e-61,0.674453869629718,0.625,0.068,4.61955603852587e-57
"DCDC2B",3.89409785592099e-61,0.693930603246972,0.594,0.061,1.20206906714425e-56
"SAXO2",5.53657872500075e-61,1.0544230985586,0.828,0.133,1.70908648662048e-56
"FHAD1",1.32725329118017e-60,0.772133530844364,0.641,0.073,4.09709818454408e-56
"DIXDC1",3.73970803154409e-60,0.545863157521663,0.594,0.062,1.15441047225735e-55
"ARMC3",8.42873028674849e-60,0.572770013646546,0.578,0.057,2.60186475221639e-55
"LOC102518911",1.93952635390341e-59,0.734921128230738,0.578,0.06,5.98712390186444e-55
"ARMH1",3.75760464875242e-59,0.700894537268029,0.656,0.078,1.15993497902338e-54
"SOAT2",5.62311631036389e-59,0.892962340462875,0.734,0.103,1.73579977384623e-54
"DTHD1",7.58794522704607e-59,0.5502704031075,0.531,0.05,2.34232281213685e-54
"C10H11orf97",2.65307856064345e-57,0.63525609651886,0.562,0.058,8.18978820885026e-53
"DYNLRB2",6.10609882961434e-57,1.21072188981858,0.844,0.153,1.88489164771365e-52
"C3H5orf49",9.64961738789696e-57,0.662903069897258,0.609,0.069,2.97874039146991e-52
"LOC116664812",1.11993161670435e-56,0.662310356019386,0.609,0.071,3.45711690760466e-52
"RAB36",1.47669546841105e-56,1.03146734657709,0.844,0.156,4.55841124143806e-52
"FANK1",1.11653058998077e-55,0.7783424451772,0.672,0.092,3.44661827821163e-51
"SPA17",1.38258130463608e-55,0.894226815018678,0.656,0.087,4.26789022928112e-51
"LOC102510758",1.82127065977111e-55,0.869379412170357,0.703,0.107,5.62208039964744e-51
"SPACA9",2.24558294925938e-55,0.505235076879295,0.5,0.047,6.93189000606878e-51
"DRC1",3.22707318013149e-55,0.510265953179554,0.5,0.048,9.9616521997479e-51
"DNAH9",9.69635808488962e-55,0.529131109461097,0.453,0.04,2.99316877722458e-50
"DNAJB13",1.55834013852156e-54,0.60914983832688,0.641,0.084,4.81044017360221e-50
"BAIAP3",1.36083093290555e-53,1.28270620550521,0.844,0.166,4.20074900678613e-49
"EFR3B",1.78443554337858e-53,0.524735507292946,0.547,0.058,5.50837407885534e-49
"UBXN11",1.86030085124849e-53,0.731783493508173,0.688,0.101,5.74256269771896e-49
"CDKL1",2.66661256554142e-53,0.516043950530779,0.516,0.053,8.23156632856982e-49
"DAW1",4.64761227089672e-53,0.526224683498614,0.484,0.046,1.43467143190311e-48
"BASP1",8.57018895568768e-53,1.10595235359563,0.828,0.163,2.64553162873123e-48
"ARMH4",8.96749741785078e-53,0.721136147874646,0.703,0.102,2.76817677791636e-48
"WDR31",4.11436702807243e-52,0.558076699309712,0.578,0.069,1.27006395789568e-47
"SPATA6",6.23948378688357e-52,0.792612641621355,0.766,0.133,1.92606625017309e-47
"NEK5",1.56388958788339e-51,0.504163729089384,0.531,0.057,4.82757076883722e-47
"CAPS2",2.55957053776738e-51,0.697644262815401,0.641,0.089,7.90113829303412e-47
"CFAP69",4.17183808091894e-51,0.672156956028986,0.672,0.096,1.28780469719887e-46
"DNAH6",1.46849886853562e-50,0.601314626760084,0.562,0.066,4.53310915728261e-46
"IQCG",1.37923109335728e-49,0.589986133509106,0.516,0.058,4.25754846208458e-45
"CCDC40",1.44177280926937e-49,0.549839442644177,0.5,0.054,4.45060848493363e-45
"HYDIN",1.45897967935034e-49,0.633506547954894,0.578,0.074,4.50372437218655e-45
"CD74",2.34290988903951e-49,1.45972698643461,0.906,0.236,7.23232853647606e-45
"CCDC78",2.71031103383949e-49,0.881997415451179,0.75,0.13,8.36645913035914e-45
"MGLL",3.4944465493519e-49,0.753762681955639,0.672,0.103,1.07870070531944e-44
"MORN2",3.68493743877495e-49,0.862545082710863,0.781,0.151,1.13750333797544e-44
"MLF1",8.10183547139916e-49,0.909478757097752,0.766,0.147,2.50095559166621e-44
"RPGRIP1L",2.70775315166599e-48,0.935339010004023,0.812,0.17,8.35856320387773e-44
"CASC1",2.73704201242158e-48,1.02592477367325,0.828,0.184,8.44897498814418e-44
"DRC3",3.91083486993067e-48,0.555967623387977,0.547,0.066,1.2072356159989e-43
"ZMYND10",4.05464038119459e-48,0.557808412641448,0.531,0.063,1.25162693927096e-43
"CFAP43",5.93308510379378e-48,0.843291382672652,0.75,0.135,1.8314840406901e-43
"CCDC181",6.66828436541255e-47,0.824121632818062,0.703,0.12,2.0584327007592e-42
"FBXO16",8.69535766750268e-47,0.562225461063531,0.5,0.059,2.6841699583814e-42
"CTXN1",2.8885814936795e-46,0.965026031768298,0.75,0.149,8.91676221283926e-42
"IFT57",8.57027465928891e-46,0.836800679193099,0.75,0.148,2.64555808457589e-41
"SYT5",9.10993909194422e-46,0.788533335976222,0.609,0.089,2.81214709829226e-41
"EFHC1",9.86027747965465e-46,0.678039384587718,0.719,0.128,3.04376905519459e-41
"IQUB",1.17619474333676e-45,0.633562921073392,0.609,0.089,3.63079555320624e-41
"PACRG",1.22261364124448e-45,0.84516040492395,0.719,0.134,3.7740860491576e-41
"LOC102512064",1.35618388450905e-45,1.23369725119404,0.812,0.174,4.18640403309098e-41
"CAPS",1.51332207084106e-45,1.13412311425361,0.906,0.246,4.67147390047927e-41
"PPIL6",1.94436197650074e-45,0.792580612430017,0.797,0.167,6.00205098526014e-41
"RFX2",3.09456526909113e-45,0.705078852858515,0.641,0.102,9.5526135291574e-41
"LOC102510789",9.87430773405651e-45,0.501674426959454,0.469,0.052,3.04810005442591e-40
"LRRIQ1",5.74840836573526e-44,1.41717618724669,0.938,0.314,1.77447617841882e-39
"C12H22orf23",8.58248704402985e-44,0.501420732735038,0.516,0.064,2.64932792562157e-39
"CKB",1.99265620971488e-43,0.96125919125871,0.766,0.169,6.15113045376887e-39
"DNAH7",2.78686304053596e-43,0.703012757380535,0.672,0.112,8.60276751983047e-39
"DNAH12",3.42046434314573e-43,0.679300725889553,0.656,0.107,1.05586313808565e-38
"MNS1",5.62695597710479e-43,0.770286499026779,0.672,0.125,1.73698504057248e-38
"RIIAD1",1.24001439679206e-42,0.609434656710687,0.594,0.093,3.82780044145741e-38
"LOC102521216",1.41721106006219e-41,0.590533949680644,0.578,0.087,4.37478882130597e-37
"CALML4",1.7474063831461e-41,0.542143047474359,0.531,0.076,5.3940687641337e-37
"CCDC17",4.24261342208708e-41,0.872412844498526,0.719,0.147,1.30965233726406e-36
"DNAH10",4.70224797815473e-41,0.533976183983374,0.547,0.077,1.45153692837658e-36
"CAPSL",6.03466962913928e-41,0.887577430455083,0.781,0.178,1.862842167819e-36
"LOC102516568",7.60305025701268e-41,0.996061534570511,0.797,0.194,2.34698558383724e-36
"BRD3OS",8.60024082781811e-41,0.90378830892466,0.734,0.163,2.65480834113917e-36
"LOC102505705",1.1235708027514e-40,0.523788558433776,0.516,0.071,3.46835071101331e-36
"MAP1A",1.55035450540082e-40,0.553737944354159,0.516,0.069,4.7857893227218e-36
