"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOC102519239",0,-0.976074841080723,0.392,0.938,0
"EGR3",0,-0.741875702280842,0.228,0.766,0
"RBM3",0,-0.63393158054599,0.536,0.873,0
"KEG61-t15",0,-0.579864158753863,0.04,0.608,0
"mers-3UTR",0,1.62063523273499,0.981,0.001,0
"LOC116656929",5.88114971061786e-290,-0.577870944959829,0.224,0.74,1.81545210417063e-285
"CCN1",2.33370475487516e-286,-0.576300337442061,0.678,0.93,7.20391320782413e-282
"COL21A1",8.49989465351724e-284,-0.591560228855549,0.121,0.613,2.62383248059424e-279
"GFRA1",1.32794135840066e-270,-0.607951823842854,0.355,0.879,4.099222179247e-266
"ATP1B1",5.5001588293283e-269,-0.562387388125224,0.51,0.913,1.69784402902535e-264
"CCN2",8.7794330526742e-256,-0.78089444441506,0.385,0.785,2.71012318903e-251
"LOC102506678",7.72136502404231e-242,0.610379011949881,0.879,0.698,2.38350816927162e-237
"SLC4A7",1.87439247260386e-227,-0.503008937774533,0.277,0.753,5.78606212368085e-223
"HPSE",4.11440603071117e-217,-0.529369885134231,0.459,0.842,1.27007599762023e-212
"LOC102509380",4.04770184857089e-213,0.724942451054328,0.479,0.134,1.24948508363535e-208
"S100A12",7.0160257270492e-213,0.725663080306014,0.532,0.195,2.16577698168282e-208
"LOC102524239",2.1545881787547e-206,-0.657665741129879,0.423,0.83,6.65099824899789e-202
"NR4A1",3.10187829440292e-206,-0.591621266740366,0.361,0.767,9.57518810699237e-202
"LOC102514448",3.86368525558923e-199,0.799650581730038,0.738,0.43,1.19268100154784e-194
"LOC102516568",6.10252790612458e-190,0.593005489420454,0.53,0.194,1.8837893393416e-185
"LOC102510441",1.59084730523247e-167,-0.56752839686819,0.616,0.911,4.91078654652211e-163
