"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mers-5UTR",0,0.978955799305045,0.417,0,0
"mers-orf1ab",0,1.38920419638939,0.622,0,0
"mers-M",0,0.882401930434167,0.404,0,0
"mers-N",0,1.00753448113843,0.436,0,0
"mers-3UTR",0,2.75792012503834,1,0.001,0
"mers-S",9.47241380094752e-290,0.817348048775898,0.378,0,2.92403941621449e-285
"mers-orf5",9.90760468856904e-216,0.537489690823724,0.282,0,3.05837849131438e-211
"HSPA6",1.64071488671252e-141,0.714017649894521,0.314,0.009,5.06472278379287e-137
"EGR1",1.53561390811496e-53,-0.616835095502197,0.705,0.989,4.74028657296008e-49
"ATP1B1",3.56772822185531e-44,-0.791067568218512,0.308,0.913,1.10132202480452e-39
"BPIFA1",6.00282797130734e-44,-0.695550549112083,0.865,0.998,1.85301296646286e-39
"DEFB1",9.40021253657761e-44,-0.914757591150382,0.205,0.819,2.90175160791614e-39
"LOC102519239",7.51383128927455e-43,-1.05383167238012,0.333,0.938,2.31944458068616e-38
"LOC116656929",5.1966816348804e-42,-0.703430874782383,0.096,0.74,1.60416365387123e-37
"RBM3",4.07168306667166e-39,-0.724717978847403,0.391,0.873,1.25688784585087e-34
"CCN1",8.13966427268302e-39,-0.715948159511693,0.526,0.93,2.51263296433452e-34
"RRAD",8.17425363387436e-38,0.52367385650873,0.25,0.037,2.52331035424068e-33
"RPL13A",1.16082266280197e-37,-0.762710060293035,0.506,0.874,3.58334347780339e-33
"CCN2",3.01814467901084e-37,-0.967253971252668,0.244,0.785,9.31671080963857e-33
"SULT1E1",3.39742792567835e-37,-0.733625053487456,0.519,0.911,1.04875202637765e-32
"GFRA1",2.20442955203623e-36,-0.707576104504462,0.295,0.879,6.80485358418064e-32
"BTG2",3.86475907152978e-36,-0.750706380666949,0.269,0.825,1.19301247779053e-31
"WLS",1.47759683921249e-35,-0.651821786081433,0.276,0.824,4.56119368296503e-31
"HPSE",7.45028858144875e-35,-0.707679464226771,0.256,0.842,2.29982958220741e-30
"CAPNS1",1.57401577133823e-34,-0.613298785859804,0.538,0.922,4.85882928454398e-30
"EGR3",4.57957140389711e-34,-0.739622357449588,0.179,0.766,1.413667896669e-29
"RPL13",7.93563397226309e-34,-0.765931677830031,0.487,0.872,2.44965085089789e-29
"COL21A1",1.24120426621144e-33,-0.669565862469597,0.058,0.613,3.83147344936809e-29
"P4HB",2.50141528597893e-33,-0.608571180762055,0.34,0.906,7.72161884628837e-29
"BZW1",1.45207027045315e-32,-0.619744426602851,0.449,0.936,4.48239571786183e-28
"LOC102508125",6.10819570805996e-32,-0.590247359838089,0.385,0.905,1.88553893312103e-27
"PRNP",1.99111556667576e-31,-0.627710181975054,0.218,0.757,6.1463746427714e-27
"NCL",8.13999315225162e-31,-0.543114404076279,0.583,0.946,2.51273448616855e-26
"EIF2S2",1.77289291944606e-30,-0.545807958937663,0.551,0.913,5.47274315303805e-26
"HNRNPA1",6.31623942514028e-30,-0.578900790260255,0.487,0.869,1.94975994814655e-25
"TMEM59L",7.48086347443234e-30,-0.537862419062186,0.083,0.626,2.30926774592252e-25
"RPL5",8.84249094852575e-30,-0.699860129854001,0.378,0.798,2.72958853090041e-25
"WARS1",8.86653002727439e-30,-0.629340491670923,0.365,0.883,2.73700915411933e-25
"LOC116661360",9.04077378595367e-30,-0.520621076535801,0.615,0.977,2.79079645998604e-25
"RSAD2",1.45349067517896e-29,0.511873994841049,0.224,0.037,4.48678036520992e-25
"EIF5A",1.90096654786476e-29,-0.585942080095328,0.385,0.848,5.86809363660372e-25
"SERPINB1",2.20896530474464e-29,-0.612032854840558,0.481,0.929,6.81885499921623e-25
"MPST",2.22701843439747e-29,-0.594933176981217,0.359,0.884,6.87458320514155e-25
"CLSTN1",2.86728365020882e-29,-0.552046730632118,0.506,0.953,8.8510178998296e-25
"KEG61-t15",2.99004571702201e-29,-0.506858096314569,0.077,0.608,9.22997212387525e-25
"RACK1",3.54743915254447e-29,-0.7177092303708,0.455,0.828,1.09505899199895e-24
"ATP5F1B",4.6760782314641e-29,-0.525261654298668,0.558,0.93,1.44345858927065e-24
"HMGB1",2.3521355266752e-28,-0.520790612890841,0.59,0.924,7.26080715729369e-24
"RPS5",2.41619915632378e-28,-0.637490693628286,0.564,0.87,7.45856517565589e-24
"CBX3",3.49853060973935e-28,-0.585502132446708,0.346,0.829,1.07996141392044e-23
"LOC106729250",5.97659966974978e-28,-0.537974027148478,0.474,0.935,1.84491655205506e-23
"TGM2",6.23383955732628e-28,-0.589825338794909,0.09,0.606,1.92432393295105e-23
