"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
0 -1.65261333421006 0.001 0.969 0
3.94460066409496e-158 0.334393721113122 0.894 0.699 1.11975379051664e-153
1.58229103595718e-144 0.375708840635529 0.864 0.571 4.49164956377164e-140
2.00619843950367e-114 -0.260073491608239 0 0.12 5.69499551021907e-110
1.22587243750035e-90 0.261178894761654 0.88 0.675 3.47988408833225e-86
8.44282354494427e-76 0.279977494462295 0.647 0.382 2.39666431970333e-71
6.63023065940167e-65 0.400646541984293 0.462 0.237 1.88212357728435e-60
7.09042890488528e-65 0.355513001297767 0.78 0.557 2.01276005322979e-60
9.71905300945271e-61 0.383548631207326 0.453 0.237 2.75894757779334e-56
3.11252107354132e-53 0.348331797060898 0.554 0.338 8.83551357146175e-49
4.79609601640263e-50 0.275082161484967 0.36 0.187 1.36146777617621e-45
3.38642723330078e-49 0.331077786770584 0.391 0.204 9.61305098717094e-45
7.60504904004347e-48 0.328267040008299 0.271 0.123 2.15884527099714e-43
7.22429626262882e-43 0.32476827209684 0.293 0.143 2.05076098007244e-38
1.73388497779138e-42 0.284179198461943 0.408 0.24 4.92197928645639e-38
1.21579328532905e-41 0.266780122879368 0.318 0.165 3.45127239906356e-37
9.78707032627166e-41 0.283181458459781 0.304 0.154 2.77825565351874e-36
1.2669266787176e-40 0.285929094757186 0.316 0.166 3.59642476287564e-36
1.20873543055537e-38 0.264679908974192 0.302 0.157 3.43123726671752e-34
7.43902870277824e-38 0.281193167742356 0.333 0.186 2.11171707785766e-33
7.83983193697658e-38 0.254815768374754 0.481 0.31 2.22549309194954e-33
2.17673143000899e-37 0.276659641259669 0.291 0.154 6.17908751036652e-33
8.7774329049427e-37 0.259746018849638 0.343 0.192 2.49164987872609e-32
1.07951652317033e-36 0.268235781179808 0.416 0.258 3.0644235543236e-32
2.25791224948628e-35 0.251672229833109 0.411 0.258 6.40953550261669e-31
2.74039119032786e-34 0.271934322998803 0.358 0.212 7.77914847198369e-30
4.07344865024388e-34 0.259576010327587 0.441 0.285 1.15632986834473e-29
8.25754792637011e-34 0.317504522665245 0.39 0.245 2.34407012985868e-29
1.30324114297693e-32 0.253085579145102 0.538 0.363 3.69951063256862e-28
3.80870083715573e-31 0.274317408648881 0.302 0.174 1.0811759066434e-26
3.97338053009889e-30 0.25298543731442 0.434 0.284 1.12792353107917e-25
