"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS27",0,-0.270581673691668,0.977,0.992,0
"ATP5ME",0,-0.345538628239396,0.88,0.967,0
"COX7C",0,-0.254467936162703,0.971,0.991,0
"RPS29",0,-0.311608128514005,0.954,0.985,0
"NDUFB1",0,-0.376662549952382,0.826,0.948,0
"RPL38",0,-0.257114120933575,0.941,0.978,0
"RPS21",0,-0.27025481999251,0.969,0.991,0
"ATP5F1E",0,-0.272980027896831,0.96,0.988,0
"RPS28",0,-0.255591526422609,0.972,0.992,0
"MT-ND1",0,0.284039739621219,0.998,0.998,0
"MT-ND4L",0,-0.319744554830175,0.985,0.995,0
"mers-3UTR",0,0.269407322076648,0.332,0.002,0
"POLR2L",3.11461544806424e-285,-0.317976382503724,0.876,0.958,6.23203405003173e-281
"COX6B1",8.56651172692315e-282,-0.250669942151849,0.933,0.974,1.71407333144005e-277
"ROMO1",1.03296510308251e-279,-0.359998448035151,0.77,0.936,2.0668598747578e-275
"RPS26",2.40234927253196e-275,-0.289094256855,0.889,0.964,4.8068606594092e-271
"H4C3",2.26078118659721e-272,-0.379084992059751,0.798,0.928,4.52359707626237e-268
"TOMM7",9.63153275557763e-272,-0.269998100120335,0.914,0.973,1.92717338906353e-267
"ATP5MK",2.90758292895821e-271,-0.298955229295181,0.875,0.964,5.81778268255249e-267
"MT-ND6",1.74450351347239e-268,0.379652151157298,0.957,0.925,3.49057708010691e-264
"TMEM258",3.40482806300537e-255,-0.303189159379501,0.849,0.957,6.81272047126744e-251
"UBL5",2.00459780350849e-246,-0.25216418497761,0.929,0.971,4.01099974504014e-242
"FXYD3",1.76810640175225e-241,-0.414103181479151,0.525,0.835,3.53780409926608e-237
"MIF",3.34145428289864e-220,-0.388429508969979,0.452,0.767,6.68591587465189e-216
"C4orf48",1.80936064933895e-216,-0.277407431877376,0.902,0.977,3.62034972326231e-212
"NDUFA3",2.0229882517524e-209,-0.325187083175521,0.714,0.904,4.04779719293137e-205
"EDF1",3.21459002582473e-206,-0.259475540046854,0.877,0.957,6.43207318267271e-202
"COPS9",3.29324478249617e-206,-0.285214488186885,0.819,0.932,6.58945348529658e-202
"ATP5MF",5.71881904253818e-205,-0.275699198587763,0.845,0.952,1.14427850222146e-200
"NDUFC1",2.18906421922143e-198,-0.260473183693174,0.868,0.95,4.38009859624016e-194
"ATP5MJ",4.66969310075363e-180,-0.256346801944161,0.844,0.946,9.34358892529794e-176
"SELENOW",1.74342321452853e-168,-0.265700063106557,0.912,0.975,3.48841550995013e-164
"SNRPG",5.94548837030254e-167,-0.252666826130692,0.843,0.938,1.18963276801384e-162
"ATOX1",1.30208480561847e-164,-0.267727169306838,0.786,0.92,2.60534148756199e-160
"PLCG2",7.42210945500398e-142,-0.286245341220897,0.637,0.841,1.48508988085175e-137
"ZFP36",1.70684917636716e-141,0.307556646450481,0.884,0.774,3.41523451699306e-137
"MT2A",2.06412762881268e-140,-0.430991893270717,0.691,0.901,4.1301129724913e-136
"TSTD1",1.17685862124742e-131,-0.263087136472234,0.879,0.952,2.35477641525396e-127
"AHR",4.07618108629861e-99,0.250029531808505,0.735,0.556,8.15603073557488e-95
"MT1X",9.97347989997915e-57,-0.284820140308319,0.514,0.686,1.99559359318683e-52
"AREG",2.39174232239708e-38,-0.267518322093465,0.469,0.601,4.78563721288431e-34
