"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AGR2","10551",0.00974625060433147,-0.926907831244054,0.154,0.263,1
"2","AK7","122481",0.016959359937885,-0.518936805710416,0.052,0.13,1
"3","BASP1","10409",0.946434699956471,-0.867924779216471,0.074,0.183,1
"4","CCN2","1490",0.0327989411355115,-0.605986219780537,0.538,0.549,1
"5","COL17A1","1308",5.24967974483545e-23,0.532658731978719,0.665,0.453,1.57490392345063e-19
"6","CRTAC1","55118",1.68306016686133e-21,0.526134775415734,0.662,0.308,5.04918050058398e-18
"7","EPAS1","2034",0.630162950887526,-1.82638780992717,0.197,0.243,1
"8","EPHX1","2052",0.117506419389133,-0.519797282451442,0.087,0.116,1
"9","F3","2152",0.0051756271739616,-0.646287346100446,0.448,0.518,1
"10","FABP5","2171",0.272266786921923,0.508539987605561,0.16,0.109,1
"11","FXYD3","5349",7.0408769937492e-10,0.520805618878525,0.306,0.266,2.11226309812476e-06
"12","MMP7","4316",0.0635520509049549,-0.852384348372674,0.352,0.474,1
"13","MUC4","4585",0.606850451276765,-4.99516532487848,0.132,0.159,1
"14","NFKBIA","4792",1.81362115997846e-09,0.506637240049869,0.398,0.258,5.44086347993537e-06
"15","NFKBIZ","64332",2.05815819925266e-09,0.526192391336165,0.215,0.158,6.17447459775799e-06
"16","S100A4","6275",8.86576242125922e-28,0.760188049161884,0.118,0.109,2.65972872637777e-24
"17","SLC44A4","80736",0.00310130373665504,-0.512870808926334,0.096,0.182,1
"18","SLC4A4","8671",7.21749014955519e-20,0.84033681442553,0.121,0.111,2.16524704486656e-16
"19","SORBS2","8470",4.40984244034111e-08,-0.510643838447786,0.502,0.641,0.000132295273210233
"20","SPA17","53340",0.0462521351424941,-0.655510323448885,0.078,0.139,1
