"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AADACL3","126767",0.0164185612094956,0.626515615269161,0.667,0.111,1
"2","ABCA5","23461",0.624123246842271,-0.898926155135208,0,0.211,1
"3","ABCB1","5243",0.140829711644743,-0.681900093898296,0.333,0.123,1
"4","ABCG1","9619",0.883548878385435,-0.955502448198836,0,0.268,1
"5","ACAT2","39",0.241287351236443,1.03484108267606,0.667,0.445,1
"6","ACER2","340485",0.0104093336636815,1.45377631843841,1,0.275,1
"7","ACSL1","2180",0.119250247114412,1.03280735818909,0.667,0.286,1
"8","ACSL4","2182",0.7614354837591,0.75194690154144,0.333,0.409,1
"9","ACSM3","6296",0.921506976432556,0.525506913805061,0.333,0.147,1
"10","ACSS3","79611",0.757380455331476,-0.629274306591964,0,0.108,1
"11","ACTB","60",0.603544977456478,-0.711766836285463,0.333,0.401,1
"12","ACTN1","87",0.354047210256831,-1.02084909237505,0.667,0.665,1
"13","ADAMTSL1","92949",0.0385227877276756,0.854099989744007,0.667,0.203,1
"14","ADAMTSL2","9719",0.189209648117935,-1.25336743676554,0.333,0.16,1
"15","ADGB","79747",0.153454503733154,1.15413871177316,0.667,0.128,1
"16","ADGRG2","10149",0.624123188135381,-0.645322632506628,0.333,0.127,1
"17","ADORA2B","136",0.898283480850995,-0.772302842095841,0,0.208,1
"18","AGER","177",0.35821143508491,-0.570974822240131,0.333,0.011,1
"19","AGR2","10551",0.320541497739079,0.613522169679044,0,0.263,1
"20","AHI1","54806",0.248855695850605,-0.545565689869225,0.333,0.294,1
"21","AIG1","51390",0.0353898776773056,1.06822094208058,0.667,0.31,1
"22","AK8","158067",0.733193893866389,0.545721866423295,0.333,0.073,1
"23","AKAP12","9590",0.0278252413941301,1.02371122028658,0.333,0.075,1
"24","AKR7A2","8574",0.0669171314274094,-2.41642821449368,0,0.397,1
"25","AMER2","219287",0.0487567454534489,-0.726111347921596,0,0.142,1
"26","AMOTL1","154810",0.968135470759647,-0.917505927981707,0,0.26,1
"27","ANGPTL7","10218",0.0987104649974624,0.800869317318556,1,0.45,1
"28","ANKEF1","63926",0.781806958062112,1.34581672725503,0.333,0.029,1
"29","ANKH","56172",0.258828183628516,0.638190866792698,0.667,0.397,1
"30","ANKRD45","339416",0.0677142125007774,-2.41059999920702,0,0.171,1
"31","ANKRD66","100287718",0.449452814899978,1.39490739170439,0.333,0.152,1
"32","ANKUB1","389161",0.295280300565167,1.04885299477888,0.333,0.033,1
"33","ANOS1","3730",0.114282555307809,0.850189206142503,1,0.562,1
"34","ANXA1","301",0.125039452629269,1.54187481079605,0.667,0.216,1
"35","AP1S2","8905",0.0810985509258128,0.92083410781928,1,0.417,1
