"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCA1","19",0.131503972964507,0.521814036488051,0.5,0.264,1
"2","ABCA5","23461",0.702125689514606,-0.727096932201324,0.167,0.211,1
"3","ABCB1","5243",0.166885896909626,-1.14853417421038,0,0.123,1
"4","ABCC4","10257",0.0836367654692996,0.671044390721424,0.833,0.555,1
"5","ABCG1","9619",0.0263861840204812,1.03281692170795,0.333,0.268,1
"6","ABHD14A","25864",0.728783287292903,-0.893481564409575,0,0.276,1
"7","ABL2","27",0.0126672599899814,1.36375225501209,1,0.423,1
"8","ACER2","340485",0.002867213846737,1.06965282803662,0.833,0.275,1
"9","ACSBG1","23205",0.0149805255653469,-0.694197834466247,0.167,0.048,1
"10","ACTB","60",0.303499782705644,-0.993820536186775,0.167,0.401,1
"11","ADAMTSL1","92949",0.204927363892206,-0.716603570768388,0.167,0.203,1
"12","ADGRE5","976",0.230147016672284,1.14780741186891,0.333,0.171,1
"13","ADGRG2","10149",0.527119378072228,-0.725146151983787,0.167,0.127,1
"14","ADM","133",0.796087481499331,-1.02363355653161,0.333,0.411,1
"15","AGR2","10551",0.082967346048606,1.41312877167854,0.5,0.263,1
"16","AHNAK","79026",0.283637929885132,0.65704906030943,0.333,0.29,1
"17","AK7","122481",0.608560458220499,1.72948388469853,0.333,0.13,1
"18","AK9","221264",0.345933635184313,1.91738655811392,0.5,0.105,1
"19","AKAP12","9590",0.00785186158296979,0.679456141292451,0.167,0.075,1
"20","ALAS1","211",0.483885602210678,0.517150473159193,0.5,0.379,1
"21","ALCAM","214",0.31784932407485,-0.51700913431489,0.5,0.71,1
"22","AMIGO2","347902",0.0485636301504353,0.969348980807206,0.667,0.386,1
"23","AMOTL1","154810",0.243553110258841,-1.38367601359454,0.167,0.26,1
"24","ANGPTL4","51129",0.00306688160019053,0.797766033067448,0.5,0.044,1
"25","ANKDD1B","728780",0.0275548499698453,0.925026072828616,0.167,0.017,1
"26","ANKRD1","27063",0.00128895414740013,1.04676695078235,0.5,0.134,1
"27","ANKRD26","22852",0.213100430558067,0.697011851093472,0.5,0.147,1
"28","ANKRD66","100287718",0.451636673164789,1.76530322316517,0.333,0.152,1
"29","ANOS1","3730",0.444887808076779,-1.00619328015764,0.333,0.562,1
"30","ANXA1","301",0.791739824589966,-2.58861801393998,0.167,0.216,1
"31","ANXA4","307",0.144990973576115,0.962806800621844,0.333,0.358,1
"32","APOBEC1","339",0.0991167860763603,1.19276616890584,0.5,0.346,1
"33","APP","351",0.086703468395998,-1.22644392891519,0.5,0.617,1
"34","AQP3","360",0.835486006375604,-0.889717499254892,0.333,0.366,1
"35","ARHGAP18","93663",0.760062847813525,1.01302474663012,0.333,0.146,1
"36","ARHGAP39","80728",0.191177207096659,0.582519928091223,0.333,0.211,1
