"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCC4","10257",7.36186441725153e-05,1.27595931744583,0.185,0.097,0.220855932517546
"2","ACTB","60",0.550642949478815,-0.595162589967644,0.074,0.161,1
"3","ADRB2","154",0.42119444066922,-0.632008161305118,0.296,0.33,1
"4","AGR2","10551",0.0145115442150143,4.56558364136593,0.148,0.084,1
"5","AGRN","375790",0.00148883942125739,0.750172302219027,0.111,0.126,1
"6","AHCTF1","25909",0.0871619076122501,-0.554886281904241,0.444,0.56,1
"7","AHI1","54806",0.01189538922281,-0.648057808545037,0.444,0.648,1
"8","AK1","203",0.0538929893029376,-0.756869978817754,0.222,0.368,1
"9","AK7","122481",0.0150069606947412,-0.544148391995677,0.778,0.908,1
"10","AK9","221264",0.015273643162087,-0.644821337515169,0.667,0.824,1
"11","AKAP14","158798",0.0456534605370043,-0.63374737825347,0.37,0.357,1
"12","ALAS1","211",0.0181159667901475,0.847110845438223,0.111,0.131,1
"13","AMER2","219287",0.496619409473997,-0.525753657172998,0.259,0.138,1
"14","ANKMY1","51281",0.0520134117530934,-0.963183634911525,0.259,0.293,1
"15","ANKRD66","100287718",0.0415321188791275,-0.500074445807579,0.778,0.838,1
"16","ANO8","57719",8.03762416417137e-14,0.567516025845925,0.481,0.002,2.41128724925141e-10
"17","ANOS1","3730",2.6197604429068e-07,0.807487642711846,0.407,0.093,0.000785928132872041
"18","AP1S2","8905",0.000483422121589887,0.560339577440254,0.259,0.228,1
"19","ATF3","467",0.0128315632582866,1.29835124612084,0.148,0.114,1
"20","ATP6V1B2","526",0.0466303303346719,-0.532669989365849,0.556,0.731,1
"21","AZGP1","563",0.00732022309809483,0.691454916742577,0.481,0.293,1
"22","B3GNT3","10331",0.0940990103568244,0.63268862241308,0.481,0.314,1
"23","B9D1","27077",0.0146404986912871,-0.678147676248958,0.63,0.766,1
"24","BASP1","10409",0.0324290902814266,-0.542843651031479,0.852,0.829,1
"25","BBOF1","80127",0.00530466118363629,-0.806589162757679,0.556,0.795,1
"26","BCAR3","8412",0.000245722777117862,0.586511789517995,0.074,0.128,0.737168331353585
"27","BHLHE40","8553",0.298337988904737,-1.01544844239414,0.074,0.191,1
"28","BICDL1","92558",0.141270197311182,-0.667003770630102,0.481,0.692,1
"29","BIRC3","330",0.248631498858047,-0.516189931019684,0.185,0.386,1
"30","BLVRA","644",0.183327440317976,-0.510386690533386,0.333,0.483,1
"31","BPIFA1","51297",0.0517823669751065,2.0954723716192,0.333,0.141,1
"32","BRD3OS","266655",0.023480213112108,-0.831604707564571,0.444,0.686,1
"33","BTC","685",0.0604846391890721,-0.685771062705775,0.259,0.487,1
"34","BTG3","10950",0.178951433005659,-0.517075150705987,0.519,0.654,1
"35","C7","730",4.14889602383071e-05,0.766060453158202,0.556,0.062,0.124466880714921
"36","CABCOCO1","219621",0.107054388114526,-0.765112344286956,0.37,0.541,1
"37","CACNG4","27092",0.460166835985469,-0.684651434586693,0.259,0.454,1
"38","CALD1","800",6.14778736371019e-05,2.33019436859166,0.148,0.065,0.184433620911306
"39","CALM1","801",0.00627595004202194,-0.699351411043949,0.63,0.839,1
"40","CALML4","91860",0.0579067808712936,-0.603224623526176,0.63,0.75,1
"41","CAPN2","824",0.0424991755792897,0.541978207584358,0.185,0.161,1
"42","CAPS2","84698",0.190796168558998,-0.515479051453955,0.704,0.69,1
"43","CAV2","858",0.000850334426796603,0.502481055752282,0.296,0.168,1
"44","CCDC110","256309",0.16069311190337,-0.673176550739248,0.407,0.267,1
"45","CCDC138","165055",0.0959963090831838,-0.722268387848189,0.333,0.505,1
"46","CCDC146","57639",0.0825448151851754,-0.631769368369325,0.556,0.741,1
"47","CCDC170","80129",0.104165441266012,-0.669928043064058,0.63,0.634,1
"48","CCDC180","100499483",0.119249692276579,-0.619795520415828,0.519,0.627,1
"49","CCDC181","57821",0.0226705995762777,-0.645279024636704,0.63,0.77,1
"50","CCDC190","339512",0.0492970736874424,-0.68025791726208,0.741,0.743,1
"51","CCDC30","728621",0.0586703709423196,-0.565009338014412,0.444,0.315,1
"52","CCDC65","85478",0.0397767605417618,-0.963672135078158,0.259,0.475,1
"53","CCDC81","60494",1.37676132304814e-06,0.672214334996771,0.704,0.271,0.00413028396914441
"54","CCND1","595",0.00222296560220776,0.870326286499452,0.148,0.113,1
"55","CCNL1","57018",0.000332248691436419,0.834308810297046,0.519,0.28,0.996746074309256
"56","CCP110","9738",0.316186593931135,-0.529287509086867,0.556,0.476,1
"57","CD14","929",0.1165487281112,-0.801129572779534,0.296,0.379,1
"58","CDC42EP3","10602",0.011639279366497,0.591856386889244,0.222,0.153,1
"59","CDKL2","8999",0.259263059796474,-0.518600181103224,0.222,0.308,1
"60","CDKL4","344387",0.0824319786573888,-0.590535965547827,0.481,0.563,1
"61","CDKN1A","1026",0.243948158005364,-0.634274728271563,0.407,0.507,1
"62","CEP104","9731",0.00528377601139519,-0.611000966374569,0.333,0.11,1
"63","CEP112","201134",0.0851747910748336,-0.582154757159254,0.296,0.324,1
"64","CEP126","57562",0.0143072997286075,-0.616594853994468,0.667,0.846,1
