"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCC4","10257",2.47811879446691e-05,1.04036793869866,0.133,0.097,0.0743435638340074
"2","ABRACL","58527",0.861180551606461,-0.58550761704686,0.111,0.197,1
"3","ACKR4","51554",0.579547339054001,-0.641313112572768,0.378,0.347,1
"4","ACSS3","79611",0.3484318959205,-0.604565098437461,0.311,0.49,1
"5","ACTB","60",0.00201115677595125,-1.2788172443788,0.089,0.161,1
"6","ADAM8","101",0.205410767746477,-0.705921257091421,0.267,0.5,1
"7","ADGRE5","976",0.0136965570294203,-0.635230792193154,0.444,0.659,1
"8","ADGRF1","266977",0.0668993385140939,-0.518879332340842,0.356,0.483,1
"9","ADIRF","10974",0.00299831066676362,0.557739209023909,0.156,0.149,1
"10","AGR2","10551",2.65273657389359e-06,4.85272429249375,0.133,0.084,0.00795820972168076
"11","AGRN","375790",0.0209903911030821,-2.20479169583706,0.022,0.126,1
"12","AK1","203",0.553316763783749,-0.705848288904431,0.2,0.368,1
"13","AK7","122481",9.35223081665686e-06,-0.879224636578477,0.711,0.908,0.0280566924499706
"14","AK8","158067",0.0274093631481942,-0.522870242557679,0.467,0.579,1
"15","ALAS1","211",0.0311145587940819,0.552666002555148,0.133,0.131,1
"16","ALDH1A1","216",0.00270596668798597,-1.21727552972208,0.422,0.619,1
"17","ANXA3","306",2.2196452248013e-06,0.53600511309948,0.333,0.184,0.00665893567440389
"18","ANXA4","307",0.000185104463999813,-0.69364213882732,0.6,0.738,0.555313391999439
"19","ARID5B","84159",2.45042461011573e-06,0.573435693428954,0.2,0.171,0.00735127383034719
"20","ARL3","403",0.00112664173057667,-0.537296723139628,0.422,0.674,1
"21","ARL6IP1","23204",0.000128012622276938,-0.748600681313397,0.511,0.758,0.384037866830814
"22","ARMC2","84071",0.0100666815632618,-0.567060995048336,0.378,0.589,1
"23","ASAH1","427",0.000165238545144582,-1.13499369007479,0.244,0.537,0.495715635433746
"24","ATAD5","79915",0.00289935311943905,-0.506922139359128,0.222,0.156,1
"25","ATF3","467",0.000427186056611585,1.58474780768773,0.244,0.114,1
"26","ATP1B1","481",4.61068377439927e-07,0.912477828888377,0.311,0.073,0.00138320513231978
"27","BAMBI","25805",0.000105604203266565,0.566406758033006,0.2,0.166,0.316812609799695
"28","C1GALT1","56913",0.345163495496482,-0.558253954650599,0.133,0.29,1
"29","C2CD3","26005",0.00565249606012126,-0.750025061294577,0.467,0.643,1
"30","CALD1","800",6.50789225373916e-05,1.746269978745,0.111,0.065,0.195236767612175
