"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCA5","23461",1.53523626874115e-05,-0.748543159555517,0.138,0.197,0.0460570880622346
"2","ABRACL","58527",0.000738879268496332,-1.13560561531426,0.138,0.526,1
"3","ACER2","340485",0.0174568274318844,-0.527655511711101,0.069,0.246,1
"4","ADGRG2","10149",0.0526860751637309,-0.738900501080795,0.069,0.132,1
"5","ADIRF","10974",0.509949088187477,-1.4089565876869,0.552,0.454,1
"6","ADORA2B","136",0.881556843363547,-0.692209351942543,0.069,0.326,1
"7","AGBL2","79841",1.96136554581392e-05,-0.5019992427099,0.207,0.084,0.0588409663744177
"8","AGRN","375790",2.37900570965843e-07,-2.77087696265118,0.138,0.503,0.00071370171289753
"9","AHCTF1","25909",0.00763175763298462,-0.512638282369717,0.276,0.399,1
"10","AHNAK","79026",0.114278917750431,-1.15166701638176,0.103,0.457,1
"11","AK9","221264",0.137085649801308,-0.898967815651428,0.207,0.094,1
"12","AKAP14","158798",1.72258564987869e-10,-0.633518646103469,0.103,0.063,5.16775694963607e-07
"13","AKNA","80709",4.43695168398958e-07,-0.5601044301261,0.138,0.059,0.00133108550519688
"14","AKR7A2","8574",0.000478469845269069,-0.857174089779008,0.241,0.358,1
"15","ALCAM","214",2.87492725314428e-08,-3.40501343027071,0.069,0.513,8.62478175943284e-05
"16","ALDH3A1","218",0.000683168497501653,-0.744025000731695,0.103,0.119,1
"17","AMIGO2","347902",0.83678121930371,-0.520489511636918,0.241,0.46,1
"18","ANKRD45","339416",0.0160340391786654,0.593786506350508,0.345,0.149,1
"19","ANKRD54","129138",2.79575683597195e-09,-0.953402390891916,0.103,0.084,8.38727050791586e-06
"20","ANKRD66","100287718",0.320997738396816,0.699866170336742,0.276,0.118,1
"21","ANOS1","3730",1.55786328618002e-05,0.782671110782376,0.793,0.304,0.0467358985854006
"22","AP1S2","8905",0.981976171619076,-0.618177900796258,0.172,0.459,1
"23","APOH","350",8.69799661307047e-07,-2.134805887304,0.172,0.111,0.00260939898392114
"24","AREG","374",3.13296121214773e-06,0.504928149044594,0.517,0.263,0.0093988836364432
"25","ARHGAP18","93663",0.00681823975512007,-3.39373334377618,0.172,0.161,1
"26","ARL6IP1","23204",0.0614493299040505,-0.828254616776618,0.103,0.307,1
"27","ARMC2","84071",4.38191817275039e-05,-1.15338597327722,0.207,0.046,0.131457545182512
"28","ARMC3","219681",0.23816099494192,0.605954420615084,0.276,0.096,1
"29","ARRDC4","91947",0.0107015954478165,-0.677406889028136,0.276,0.143,1
"30","ASAH1","427",9.02875517807539e-05,-1.23136145331432,0.207,0.388,0.270862655342262
"31","ATP13A3","79572",0.0061234875569159,-1.11158790434377,0.103,0.335,1
"32","ATP13A5","344905",3.27183260552688e-09,1.02960543800361,0.862,0.262,9.81549781658065e-06
"33","ATP5IF1","93974",0.0283473642623817,-0.628933951383407,0.207,0.345,1
"34","B3GNT4","79369",7.02245099538374e-06,-1.13863790508431,0.172,0.069,0.0210673529861512
"35","BAAT","570",0.0757135663774265,0.709459131933068,0.172,0.005,1
"36","BBOF1","80127",0.00393113089249881,-0.54357278773916,0.172,0.137,1
"37","BBS9","27241",1.17944129220373e-09,-1.04635384055119,0.103,0.041,3.53832387661119e-06
"38","BHLHE40","8553",0.000251341741981227,-1.66504958064587,0.103,0.45,0.75402522594368
"39","BIRC3","330",0.818758754112297,-0.681966857646097,0.207,0.356,1
"40","BPIFA1","51297",5.42921933849095e-05,0.857671838289553,0.241,0.13,0.162876580154729
