"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ADAM8","101",0.0319540941655464,0.552156682593853,0.267,0.155,1
"2","ADAMTS10","81794",0.210402334397769,-0.528264207864195,0.127,0.026,1
"3","ADGRE5","976",7.09199998520564e-07,3.95189702247139,0.291,0.211,0.00212759999556169
"4","AGBL2","79841",0.000169755223125358,5.74540293676249,0.206,0.151,0.509265669376074
"5","AGBL5","60509",0.693974503830139,0.763056894648441,0.164,0.059,1
"6","AGR2","10551",0.00794526497148275,-0.607103774052075,0.558,0.586,1
"7","AHI1","54806",0.000391891622216383,2.46847641591905,0.188,0.188,1
"8","AK1","203",0.0586248034884844,0.59911549469812,0.176,0.046,1
"9","AKAP9","10142",0.00067929854432357,1.48473366874692,0.309,0.243,1
"10","AKNA","80709",0.00809776826765491,2.07340365921468,0.236,0.141,1
"11","AKR7A2","8574",0.000123322410585885,0.555894567128496,0.303,0.247,0.369967231757656
"12","ALDH3A1","218",1.55769890301008e-09,4.48987031533271,0.17,0.138,4.67309670903023e-06
"13","ALKBH8","91801",1.14991343511187e-07,-0.987145286682659,0.115,0.003,0.000344974030533562
"14","ANKEF1","63926",0.0118222921565827,1.1051090223398,0.109,0.02,1
"15","ANKMY1","51281",8.69796213174877e-15,0.530801042914054,0.127,0.066,2.60938863952463e-11
"16","ANKRD54","129138",0.545887141440135,-1.1766516969897,0.164,0.072,1
"17","AP3M2","10947",0.0464941453859209,1.2707850740803,0.139,0.039,1
"18","APOH","350",0.000258976627084182,0.792611687782785,0.133,0.092,0.776929881252545
"19","AQP3","360",4.22102018524904e-07,0.580885137407141,0.315,0.22,0.00126630605557471
"20","AQP5","362",0.00226411231469613,-0.693160337448452,0.255,0.312,1
"21","ARHGAP39","80728",5.01584671958209e-05,0.670586116876194,0.291,0.247,0.150475401587463
"22","ARL3","403",0.0137709742204033,3.43762322175243,0.242,0.145,1
"23","ARL6","84100",0.00221613536537389,1.12431287552043,0.285,0.112,1
"24","ARMC9","80210",2.22740375858556e-07,0.520834039603504,0.309,0.145,0.000668221127575667
"25","ARMH4","145407",4.04614431087377e-05,1.27002395491759,0.097,0.118,0.121384329326213
"26","ATP13A3","79572",2.67248199927168e-05,1.21878302007201,0.418,0.227,0.0801744599781506
"27","ATP2C2","9914",3.26469426160324e-09,1.55070608688013,0.218,0.178,9.79408278480973e-06
"28","ATP5IF1","93974",8.87947114913231e-05,2.80044338258631,0.248,0.115,0.266384134473969
"29","AVIL","10677",0.00571772637362946,0.7104781238114,0.2,0.082,1
"30","AZGP1","563",0.482880566091069,-0.533231503478093,0.255,0.401,1
"31","B4GALNT4","338707",2.0395937498746e-07,0.609392370619474,0.176,0.132,0.000611878124962379
"32","BAZ2B","29994",0.00931789843045603,-0.532657957084507,0.4,0.546,1
"33","BCAR3","8412",0.212488402374357,-0.611284721568098,0.436,0.424,1
"34","BCAS1","8537",0.00115357580827901,-0.782253325035269,0.158,0.171,1
"35","BLVRA","644",0.87106201881985,0.740135230104414,0.261,0.079,1
"36","BMP3","651",9.53186903819633e-05,0.509740218920577,0.109,0.033,0.28595607114589
"37","BSCL2","26580",7.46070413051689e-06,1.8468384507131,0.255,0.171,0.0223821123915507
"38","C2CD3","26005",0.00034021200251326,1.1572755427915,0.248,0.234,1
"39","CALM2","805",3.10709120968055e-05,0.946148701384254,0.176,0.145,0.0932127362904165
"40","CAMK4","814",1.77894384874346e-10,0.880676859496072,0.17,0.059,5.33683154623037e-07
"41","CC2D2A","57545",3.72200256101322e-05,4.07243348576282,0.158,0.128,0.111660076830397
"42","CCDC103","388389",0.214852962426641,1.68967365327545,0.2,0.059,1
"43","CCDC157","550631",0.133054021780745,0.52803445835459,0.145,0.069,1
"44","CCDC30","728621",0.0760646514966969,0.721328462285871,0.133,0.036,1
"45","CCDC69","26112",0.035164574200753,1.10595401787805,0.188,0.161,1
"46","CCDC83","220047",0.0711264573786078,1.73122284692069,0.236,0.062,1
"47","CCDC91","55297",0.00409742797626548,2.16373536229681,0.224,0.115,1
"48","CCDC92","80212",0.00179812464177564,0.87757200712956,0.248,0.135,1
"49","CCN1","3491",0.0711264573786078,-0.554299493425915,0.624,0.602,1
"50","CCN3","4856",2.26929364367142e-22,0.542467482901598,0.345,0.234,6.80788093101427e-19
"51","CCS","9973",0.958179296872217,-0.545704854186387,0.315,0.355,1
"52","CD14","929",0.528477268638041,-0.597512975200614,0.182,0.135,1
"53","CD59","966",3.29401899523194e-07,1.56345808505611,0.376,0.227,0.000988205698569583
"54","CD9","928",1.88114886036769e-10,1.66136939745854,0.539,0.296,5.64344658110308e-07
"55","CDA","978",0.218568766753485,1.17855053959105,0.212,0.102,1
"56","CDC14A","8556",0.000146261677714194,2.6812843431484,0.218,0.178,0.438785033142582
"57","CDKL2","8999",0.984346630988116,-0.527805285536371,0.212,0.22,1
"58","CDKL4","344387",0.449709627926928,1.09873618000882,0.176,0.069,1
"59","CDKN1A","1026",2.46987684288784e-12,0.670060481793061,0.455,0.247,7.40963052866352e-09
"60","CEP290","80184",0.00384582297984588,1.30484611490585,0.248,0.204,1
"61","CEP41","95681",0.00105896293343123,0.995413183532043,0.212,0.135,1
"62","CFAP100","348807",3.1659179599211e-05,0.635273279874181,0.206,0.102,0.0949775387976331
"63","CFAP46","54777",7.84388713993627e-06,2.76037372282719,0.2,0.174,0.0235316614198088
"64","CFI","3426",5.20277711039315e-05,0.962970007440087,0.358,0.28,0.156083313311794
"65","CFP","5199",1.05839357179923e-09,0.737084540474278,0.248,0.174,3.17518071539769e-06
"66","CHST4","10164",2.34132596168523e-15,0.996946538410416,0.152,0.099,7.0239778850557e-12
"67","CIB1","10519",1.60640880219123e-07,1.02976122454501,0.303,0.217,0.000481922640657369
"68","CITED2","10370",0.0017764596117667,0.756603726352789,0.255,0.217,1
"69","CLGN","1047",1.84900071314265e-27,1.32327911295477,0.327,0.086,5.54700213942796e-24
"70","CNIH2","254263",7.66818290508514e-25,0.624261114403402,0.315,0.03,2.30045487152554e-21
"71","COQ10A","93058",0.0128150962054743,0.763539749592395,0.261,0.112,1
"72","CPT1A","1374",0.000138069477586054,0.569698753720158,0.352,0.296,0.414208432758162
"73","CRELD2","79174",2.71563496186289e-07,0.83358278758693,0.345,0.299,0.000814690488558867
"74","CRISPLD2","83716",0.000629694334650733,0.744149698070175,0.152,0.079,1
"75","CROCC2","728763",3.81364055634129e-14,1.10992009773057,0.158,0.082,1.14409216690239e-10
"76","CUEDC2","79004",0.000368188898844572,1.20411805930218,0.291,0.22,1
"77","CUZD1","50624",0.000160327683350174,-1.05881970731336,0.139,0.266,0.480983050050522
"78","CXXC4","80319",6.72708775517458e-08,2.15368089951534,0.176,0.171,0.000201812632655237
"79","CYTIP","9595",0.00466671536727515,1.23490337034067,0.273,0.105,1
"80","DEUP1","159989",0.0112599071835452,0.926001919994409,0.158,0.059,1
"81","DGKG","1608",7.48568254698068e-06,1.79864451070943,0.115,0.066,0.022457047640942
"82","DIXDC1","85458",1.55061598522947e-08,2.82320818250192,0.291,0.151,4.65184795568842e-05
"83","DMBT1","1755",0.466131262696193,-1.29704737518538,0.309,0.349,1
"84","DNAAF2","55172",1.17400365116303e-05,0.610171503303192,0.218,0.141,0.035220109534891
"85","DNAAF3","352909",1.4485684743699e-10,6.80243723733143,0.218,0.109,4.3457054231097e-07
"86","DNAH1","25981",1.53433922401508e-12,0.588907221538721,0.188,0.099,4.60301767204523e-09
"87","DNAH2","146754",2.86131588948437e-15,1.70027980072684,0.248,0.184,8.5839476684531e-12
"88","DNAH6","1768",0.000305714977591584,2.95507056641789,0.212,0.164,0.917144932774753
"89","DNAJC27","51277",0.0609478236453073,1.25633030975016,0.182,0.069,1
"90","DNHD1","144132",0.903181714858999,-0.620507162531252,0.23,0.016,1
"91","DRC1","92749",0.00300143331482692,2.30096375056615,0.176,0.089,1
"92","DSCAML1","57453",5.90688085984048e-30,0.791301983114307,0.242,0.102,1.77206425795214e-26
"93","DTX3","196403",0.441200130940878,0.553270825515977,0.285,0.155,1
"94","DUSP1","1843",0.158711460318791,-0.543275794095194,0.376,0.424,1
"95","DYDC1","143241",0.00259682316158474,0.558579909200094,0.236,0.053,1
"96","DYNC2LI1","51626",0.0179048250430595,0.763030461064166,0.291,0.115,1
"97","DZANK1","55184",0.000370195543369522,4.34178894680446,0.242,0.148,1
"98","DZIP1L","199221",1.05250645641011e-10,1.1270785933697,0.133,0.039,3.15751936923033e-07
"99","EFCAB1","79645",0.0030932459199328,1.42478057443149,0.145,0.059,1
"100","EFCAB10","100130771",5.75384410273152e-13,1.69178865506988,0.158,0.151,1.72615323081946e-09
"101","EFCAB12","90288",7.22763384566715e-16,3.04230653178457,0.2,0.079,2.16829015370015e-12
"102","EFCAB7","84455",4.15831341089444e-07,0.664086716720755,0.139,0.099,0.00124749402326833
"103","EFHC2","80258",0.00523699791569692,2.14353125757467,0.182,0.092,1
"104","ELMOD1","55531",4.07625964576777e-19,1.38742402564968,0.261,0.168,1.22287789373033e-15
"105","EML1","2009",0.000105031078081859,1.14950773394549,0.255,0.092,0.315093234245576
"106","ENAH","55740",0.00677113068325392,0.862574080127579,0.23,0.204,1
"107","ENPP3","5169",0.0123595502872098,-0.674514798064756,0.145,0.109,1
"108","EPAS1","2034",0.00451299808089111,-0.880949245661469,0.442,0.523,1
"109","EPHX1","2052",0.00118285516180913,1.67242561682735,0.303,0.296,1
"110","EXPH5","23086",0.301068700812677,-0.560514752599386,0.345,0.418,1
"111","FAM107B","83641",3.97553925688113e-07,1.60689567814975,0.303,0.184,0.00119266177706434
"112","FAM214A","56204",0.00153831445514442,0.568127595269908,0.327,0.243,1
"113","FAM216B","144809",0.0673037963516058,0.907705629809568,0.103,0.02,1
"114","FAM47E","100129583",0.0246851724691248,4.98158514687008,0.152,0.039,1
"115","FAM53B","9679",5.91036689743633e-05,5.56878791493136,0.255,0.178,0.17731100692309
"116","FBXO16","157574",0.00609076373404366,0.918022435803325,0.188,0.109,1
"117","FBXO32","114907",0.429859960853702,-1.14503306816378,0.261,0.355,1
"118","FBXO9","26268",0.00178509666593024,0.853501754601514,0.248,0.197,1
"119","FBXW9","84261",0.115270605057134,5.53687159232048,0.188,0.138,1
"120","FCGBP","8857",0.13471990590019,-0.547407986776399,0.358,0.322,1
"121","FGL1","2267",4.01384598216566e-06,0.799828450297805,0.242,0.234,0.012041537946497
"122","FMO4","2329",1.02603924514498e-05,-0.687690267574159,0.333,0.391,0.0307811773543495
"123","FSIP1","161835",0.214062677572652,0.755921467362362,0.297,0.115,1
"124","FTL","2512",6.57593942064577e-09,0.562862592975233,0.618,0.375,1.97278182619373e-05
"125","GABBR2","9568",1.76135828205525e-06,0.715389315302963,0.236,0.066,0.00528407484616574
"126","GALK2","2585",5.68463823639024e-07,0.707789126302962,0.303,0.207,0.00170539147091707
"127","GAS2L2","246176",6.89224535984221e-05,0.75138059620374,0.109,0.089,0.206767360795266
"128","GAS8","2622",0.314604964456623,0.826006809999491,0.248,0.109,1
"129","GJB2","2706",2.24913448876097e-08,0.583419661013527,0.206,0.145,6.74740346628292e-05
