"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCC4","10257",0.0086701247857059,2.4701704945482,0.25,0.167,1
"2","ABHD12B","145447",0.202682947805471,-0.624741128182585,0.3,0.056,1
"3","ACAT2","39",0.566754445869165,1.1586558790863,0.15,0.028,1
"4","ADAMTSL1","92949",0.713140012206081,0.805174309893638,0.1,0.028,1
"5","ADGB","79747",0.00911541403743996,-1.12797565239992,1,1,1
"6","ADGRF1","266977",3.63498402165172e-07,-1.37410234222936,0.1,0.306,0.00109049520649552
"7","ADM","133",1.57692878656373e-05,1.80144925076054,0.35,0.139,0.0473078635969118
"8","ADRB2","154",0.109861433850011,-0.562852016030111,0.65,0.472,1
"9","AGBL2","79841",0.0205036712034206,-0.65608156235433,1,0.944,1
"10","AGBL3","340351",0.446696522578336,-1.13186661741829,1,0.889,1
"11","AGBL4","84871",0.566754445869165,-0.55190161490323,0.85,0.75,1
"12","AGBL5","60509",4.2428289758925e-08,-1.74277970120465,0.05,0.889,0.000127284869276775
"13","AHNAK","79026",0.000881399212547322,-0.762273704572769,0.15,0.083,1
"14","AK1","203",1.14545176410437e-06,-0.516227824113322,0.05,0.75,0.00343635529231312
"15","AK7","122481",8.69580134270209e-05,-0.778087107250803,1,1,0.260874040281063
"16","AK8","158067",0.725931522785475,-0.812843469290078,1,1,1
"17","AK9","221264",0.0361971531399293,-0.902290098565786,1,1,1
"18","AKNA","80709",0.0954716964772676,-0.823916767871977,1,0.972,1
"19","AKR7A2","8574",8.71414086133176e-09,-1.02267550303115,0,0.5,2.61424225839953e-05
"20","ALAS1","211",0.00240387421157429,1.25334278196237,0.75,0.278,1
"21","ALDH1L1","10840",0.817432055141289,-0.667592302378209,0.15,0.056,1
"22","ALX1","8092",0.179491717732198,-0.83771225084352,1,0.944,1
"23","AMH","268",0.0195904469915042,0.560991781927762,0.1,0,1
"24","AMIGO3","386724",1.70367604059655e-05,-0.705514015512968,0.1,0,0.0511102812178965
"25","ANKDD1B","728780",8.82644598858257e-07,0.830578599278879,0.1,0,0.00264793379657477
"26","ANKFN1","162282",0.00073233444165758,-0.599900428573766,1,1,1
"27","ANKMY1","51281",0.00134508720537076,-1.18445582969795,1,1,1
"28","ANLN","54443",0.0141356273243221,1.00657715897197,0.55,0.222,1
"29","ANO3","63982",0.00911541403743996,-0.827835724251362,0.2,0.083,1
"30","AP3M2","10947",1.75863556687366e-06,-0.887990542684117,0.25,0.944,0.00527590670062098
"31","APOBEC1","339",0.938664612793065,1.43093250567658,0.2,0.222,1
"32","AREG","374",9.85837084411282e-06,1.20584085327895,0.9,0.167,0.0295751125323385
