"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABCB1","5243",0.000392985089750145,0.809054651521135,0.125,0,1
"2","ABCC4","10257",0.00902907487800443,2.68650540674673,0.312,0.167,1
"3","ABHD12B","145447",0.754039724201766,-0.528102172872978,0.469,0.056,1
"4","ACAT2","39",0.0842935326964117,0.786715359623514,0.125,0.028,1
"5","ACSBG1","23205",0.0758241277395134,-0.50487605621572,0.781,0.917,1
"6","ACTB","60",0.316644763478396,-1.23586259367941,0.062,0.194,1
"7","ADAM28","10863",1.6583259806972e-05,0.508435915352864,0.781,0.222,0.049749779420916
"8","ADAMTSL2","9719",0.000201789193074185,0.735086370399185,0.188,0,0.605367579222556
"9","ADGB","79747",0.0257434872981552,-0.85095934499163,0.969,1,1
"10","ADM","133",1.18540625388128e-05,1.38143364251326,0.375,0.139,0.0355621876164385
"11","AGBL3","340351",0.593011495142502,-0.869402931925189,0.969,0.889,1
"12","AGBL4","84871",0.47988178675837,-0.505661392149518,0.781,0.75,1
"13","AGBL5","60509",8.21879339483486e-05,-0.651820039647143,0.312,0.889,0.246563801845046
"14","AHNAK","79026",0.00649799413994335,-0.506601478340483,0.219,0.083,1
"15","AK7","122481",0.0041180469775853,-0.538476968330244,0.969,1,1
"16","AK9","221264",0.0301111322673734,-0.772356798454748,0.969,1,1
"17","AKNA","80709",0.037286090855539,-0.727343233301939,0.969,0.972,1
"18","ALAS1","211",0.0180196204710635,0.903073008844113,0.594,0.278,1
"19","ALDH1L1","10840",0.0198921233338867,-0.551900419142489,0.375,0.056,1
"20","ALX1","8092",0.03405008096786,-0.800998821563698,0.969,0.944,1
"21","AMOTL1","154810",0.0758241277395134,0.534990294487904,0.281,0.056,1
"22","ANKFN1","162282",0.10094451761967,-0.544606323258158,0.875,1,1
"23","ANKMY1","51281",0.00245605587481323,-0.710321402729765,0.812,1,1
"24","ANLN","54443",0.000928633957693233,0.844103077085134,0.656,0.222,1
"25","APOBEC1","339",0.194885741496499,2.4710071548535,0.469,0.222,1
"26","ARHGAP18","93663",0.464738617046124,-0.786577141332548,1,0.972,1
"27","ARHGEF26","26084",0.000594373724788431,0.727733768115443,0.844,0.139,1
"28","ARRDC3","57561",0.00428086539071242,-0.558172896015362,0.375,0.333,1
"29","ASAH1","427",0.00559393561544161,-0.747117150773978,0.375,0.778,1
"30","ASCL3","56676",0.117215051278892,-0.828305855916296,0.125,0.056,1
"31","ATAD5","79915",0.01685808359571,-0.533923280614807,0.25,0.472,1
"32","ATF3","467",0.014730589424916,0.726788305572094,0.75,0.472,1
"33","ATP13A3","79572",0.0265703305237402,-0.500865071852812,0.844,0.972,1
"34","ATP13A4","84239",1.25245009776685e-06,0.609095383030547,0.812,0.111,0.00375735029330055
"35","ATP13A5","344905",0.00288666274304096,0.577629975486077,0.812,0.25,1
"36","ATP6V1B2","526",4.4052940215063e-08,-0.917950483227034,0.188,0.917,0.000132158820645189
"37","B3GNT4","79369",0.000970251521127312,-0.545493945932787,0.844,0.972,1
"38","BAAT","570",0.014237190880269,-0.728990284144854,0.344,0.167,1
"39","BBC3","27113",0.000451675983745043,-0.569539236950124,0.25,0.222,1
"40","BBOF1","80127",0.266156172096905,-0.611658860708578,0.969,0.972,1
"41","BBS9","27241",0.543056115085542,-0.939308765179522,0.906,0.833,1
"42","BCAR3","8412",0.0115716892023975,0.549999658884412,0.781,0.25,1
"43","BCL2","596",0.00105871578514048,1.19839024159054,0.219,0,1
"44","BCL2L11","10018",3.37146941930562e-05,-0.74809214434084,0.188,0.111,0.101144082579169
"45","BCO1","53630",3.55700085751733e-05,0.88665478452392,0.219,0.167,0.10671002572552
"46","BIRC3","330",0.000813497115780912,0.514926823087907,0.844,0.139,1
"47","BRD3OS","266655",0.304915021599009,-0.605346012763071,0.969,1,1
"48","BSCL2","26580",1.0586762874842e-05,-0.839272646519766,0.875,0.944,0.0317602886245261
"49","BTC","685",0.00162394223703763,-0.561595484791512,0.375,0.306,1
"50","CABCOCO1","219621",0.00155692394767684,-0.833240879678458,0.812,0.972,1
