"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EIF4A2",0,-0.496317196851075,0.5,0.878,0
"RPS29",0,-0.362755412803244,0.864,0.945,0
"HSP90B1",0,-0.397503509701342,0.877,0.982,0
"LOC116283634",0,0.87147635349028,0.666,0.246,0
"TRIB1",0,-0.437301006813383,0.683,0.883,0
"LOC107034080",0,-0.335893436419025,0.827,0.947,0
"RBM3",0,0.573270179595934,0.813,0.495,0
"AGR2",0,-0.59536138112077,0.371,0.72,0
"camel229E-3UTR",0,1.0066368981154,0.706,0,0
"ATP6V0E1",5.04021939273175e-291,-0.320260338061282,0.769,0.933,1.43076707901476e-286
"ANXA5",1.42448208655155e-286,-0.37020075513239,0.709,0.917,4.04367729909388e-282
"IFI6",8.19723910622484e-268,0.256217906807007,0.984,0.939,2.32695026508404e-263
"DUSP1",3.76290203090155e-255,-0.364356592759624,0.752,0.922,1.06817499951202e-250
"RACK1",4.26807517226274e-254,0.285054429729084,0.943,0.874,1.21157849915022e-249
"CIRBP",4.53677255159072e-253,0.345950560207737,0.795,0.641,1.28785362422006e-248
"HES1",5.59592894283936e-251,0.364085670805809,0.93,0.832,1.58851634900381e-246
"HSPA5",2.26260642053734e-245,-0.342516808671481,0.749,0.923,6.42286084597935e-241
"KLF2",2.72287627411586e-244,-0.498418554510909,0.234,0.56,7.7294288793327e-240
"LOC102543804",4.82024549740704e-244,0.626920950283064,0.523,0.204,1.36832308934894e-239
"SORBS2",9.72280342418051e-243,-0.439541767347515,0.57,0.837,2.76001220802212e-238
"KEF68-p05",9.27830209974781e-240,-0.373758006675384,0.636,0.882,2.63383161705541e-235
"RPL37",5.45176910982265e-223,-0.301996596276895,0.815,0.928,1.54759369720536e-218
"PDIA6",7.65337190165242e-217,-0.297023741977658,0.745,0.926,2.17256268172207e-212
"TXNIP",7.54736853927267e-207,0.416594270578011,0.549,0.258,2.14247150724333e-202
"LOC116283493",3.46111384630014e-199,-0.279975782596694,0.093,0.373,9.82506387549221e-195
"RPL30",6.08415747216062e-191,-0.310379916239837,0.689,0.869,1.72710978162224e-186
"SRSF6",8.03062796645721e-189,-0.346713561629827,0.375,0.717,2.27965436083821e-184
"LOC116278559",3.45429918525055e-186,0.464400247039096,0.385,0.147,9.80571909717073e-182
"TSPAN13",5.54573006182449e-185,-0.318947603680296,0.617,0.832,1.57426639265012e-180
"LOC116277347",7.98968314231833e-179,0.266899375907792,0.889,0.795,2.2680313536099e-174
"ZFHX4",2.61915992010444e-176,0.313385203987664,0.281,0.062,7.43500926520048e-172
"SEL1L3",1.43730466319701e-175,-0.365899034802437,0.274,0.57,4.08007674741734e-171
"PSMC1",2.28279794536774e-172,0.268713274971421,0.781,0.685,6.48017852751539e-168
"RHOB",1.96646463877438e-170,-0.336388889069627,0.301,0.621,5.58220317008884e-166
"KEF68-t15",3.87826618179567e-170,0.313968905107257,0.309,0.082,1.10092342102634e-165
"LOC116285226",1.37750865311599e-168,0.401846168892044,0.411,0.184,3.91033381360035e-164
"NDUFA1",5.95600447291531e-165,-0.311824950938475,0.502,0.792,1.69073098972647e-160
"SLC25A6",6.24751461188294e-164,0.251550031966665,0.859,0.791,1.77348197287521e-159
"GINM1",4.59496099917952e-158,-0.312332109646039,0.455,0.758,1.30437157883709e-153
"LOC102543689",3.45914309485913e-156,-0.302098441784012,0.715,0.834,9.8194695033766e-152
"RNF213",1.01385665802056e-155,0.344482984562436,0.64,0.476,2.87803489512295e-151
"TPBG",6.41157528655583e-154,-0.322273206943595,0.376,0.682,1.8200538765946e-149
"LHFPL6",5.59490635355039e-151,-0.256754398938927,0.104,0.34,1.58822606658235e-146
"SERPINB1",9.62804859720752e-151,0.310892115253024,0.615,0.473,2.7331141552893e-146
"EGR3",6.49643296385831e-150,0.360908387678278,0.648,0.418,1.84414242545046e-145
"SELENOP",1.97830416729514e-149,-0.279950196075871,0.639,0.865,5.61581203970072e-145
"CDC42EP4",5.38879405534686e-148,0.282862464322549,0.734,0.638,1.52971696849131e-143
"FAM71A",5.63715203410822e-148,-0.334810071117358,0.352,0.636,1.6002183479223e-143
"ENSA",8.2865879114149e-147,0.257309177296347,0.737,0.64,2.35231371041335e-142
"WNT11",7.70872154455513e-145,-0.253674915814012,0.078,0.286,2.18827478485287e-140
