"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mers-3UTR",0,1.65261333421006,0.969,0.001,0
"TBCA",3.94460066409496e-158,-0.334393721113122,0.699,0.894,1.11975379051664e-153
"KEF68-p09",1.58229103595718e-144,-0.375708840635529,0.571,0.864,4.49164956377164e-140
"mers-orf1ab",2.00619843950367e-114,0.260073491608239,0.12,0,5.69499551021907e-110
"AP2B1",1.22587243750035e-90,-0.261178894761654,0.675,0.88,3.47988408833225e-86
"LOC102532726",8.44282354494427e-76,-0.279977494462295,0.382,0.647,2.39666431970333e-71
"SEC14L3",6.63023065940167e-65,-0.400646541984293,0.237,0.462,1.88212357728435e-60
"CETN2",7.09042890488528e-65,-0.355513001297767,0.557,0.78,2.01276005322979e-60
"TPPP3",9.71905300945271e-61,-0.383548631207326,0.237,0.453,2.75894757779334e-56
"LOC102528737",3.11252107354132e-53,-0.348331797060898,0.338,0.554,8.83551357146175e-49
"BBOF1",4.79609601640263e-50,-0.275082161484967,0.187,0.36,1.36146777617621e-45
"C21H1orf189",3.38642723330078e-49,-0.331077786770584,0.204,0.391,9.61305098717094e-45
"RSPH4A",7.60504904004347e-48,-0.328267040008299,0.123,0.271,2.15884527099714e-43
"C16H17orf97",7.22429626262882e-43,-0.32476827209684,0.143,0.293,2.05076098007244e-38
"RSPH1",1.73388497779138e-42,-0.284179198461943,0.24,0.408,4.92197928645639e-38
"MORN5",1.21579328532905e-41,-0.266780122879368,0.165,0.318,3.45127239906356e-37
"MGP",9.78707032627166e-41,-0.283181458459781,0.154,0.304,2.77825565351874e-36
"NME9",1.2669266787176e-40,-0.285929094757186,0.166,0.316,3.59642476287564e-36
"CDHR4",1.20873543055537e-38,-0.264679908974192,0.157,0.302,3.43123726671752e-34
"LOC102531296",7.43902870277824e-38,-0.281193167742356,0.186,0.333,2.11171707785766e-33
"CES1",7.83983193697658e-38,-0.254815768374754,0.31,0.481,2.22549309194954e-33
"WDR66",2.17673143000899e-37,-0.276659641259669,0.154,0.291,6.17908751036652e-33
"PLAT",8.7774329049427e-37,-0.259746018849638,0.192,0.343,2.49164987872609e-32
"SPA17",1.07951652317033e-36,-0.268235781179808,0.258,0.416,3.0644235543236e-32
"ENKUR",2.25791224948628e-35,-0.251672229833109,0.258,0.411,6.40953550261669e-31
"RBP4",2.74039119032786e-34,-0.271934322998803,0.212,0.358,7.77914847198369e-30
"CCDC173",4.07344865024388e-34,-0.259576010327587,0.285,0.441,1.15632986834473e-29
"LRRIQ1",8.25754792637011e-34,-0.317504522665245,0.245,0.39,2.34407012985868e-29
"SLC23A2",1.30324114297693e-32,-0.253085579145102,0.363,0.538,3.69951063256862e-28
"AK7",3.80870083715573e-31,-0.274317408648881,0.174,0.302,1.0811759066434e-26
"DYNLRB2",3.97338053009889e-30,-0.25298543731442,0.284,0.434,1.12792353107917e-25
