"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"camel229E-ORF1ab",0,1.01611358447781,0.606,0,0
"camel229E-S",0,1.2761468452372,0.697,0,0
"camel229E-ORF4",0,0.516329508842332,0.364,0,0
"camel229E-M",0,1.42879579173156,0.773,0,0
"camel229E-N",0,2.19820619115504,0.924,0,0
"camel229E-ORF8",0,2.08451401399949,0.909,0,0
"camel229E-3UTR",0,2.97909199557923,1,0,0
"LOC102543804",1.01640770586884e-30,0.966556657141719,0.727,0.204,2.88527655464989e-26
"JUN",1.33086171870749e-30,-0.54429971781073,0.864,0.995,3.77791716089496e-26
"RPS29",5.22990551269816e-28,-0.781677195492358,0.652,0.945,1.48461327788963e-23
"RPS27",5.48455944239838e-28,-0.700368565304641,0.788,0.962,1.55690188891363e-23
"FOXJ1",5.28069409410709e-26,0.740170998766758,0.879,0.264,1.49903063249418e-21
"LOC107034080",9.01405130511092e-26,-0.733566366203746,0.606,0.947,2.55881874398184e-21
"RPL37",1.65393889785811e-24,-0.747012944332882,0.591,0.928,4.69503634934981e-20
"LOC116283662",1.01964592911172e-23,0.684278005986148,0.682,0.199,2.89446889896944e-19
"BBOF1",1.32687000677601e-23,0.700815334062725,0.894,0.36,3.76658588823507e-19
"CASC1",2.90626636618447e-23,0.665145677874893,0.758,0.244,8.25001833368785e-19
"LOC102533381",3.84585128922084e-23,-0.539109193426949,0.742,0.964,1.09172180547112e-18
"CCN1",5.23797425102072e-23,-0.640364484811618,0.788,0.959,1.48690375063725e-18
"TXNIP",6.6825043374331e-23,0.62976992757127,0.742,0.258,1.89696250626713e-18
"DUSP1",2.60219183311516e-22,-0.772940600356168,0.515,0.922,7.38684195666401e-18
"EIF4A2",1.36773537377594e-21,-0.686835966313981,0.379,0.878,3.88259040553777e-17
"TRIB1",2.4446698800043e-21,-0.742731398259044,0.485,0.883,6.9396843883682e-17
"HSP90B1",4.62340403382223e-21,-0.506458516655465,0.788,0.982,1.31244570308112e-16
"RPL30",4.01651666981373e-20,-0.768823395584982,0.333,0.869,1.14016858706002e-15
"AK7",5.41437367405863e-20,0.743909971904357,0.894,0.302,1.53697825485502e-15
"ATF3",2.2535315236825e-19,-0.733492661485262,0.5,0.879,6.3970999362775e-15
"GABRP",2.73105465851048e-19,-0.594423391557636,0.788,0.949,7.75264485911371e-15
