"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mers-5UTR",0,1.03637447605831,0.489,0,0
"mers-orf1ab",0,1.59717765350407,0.696,0,0
"mers-S",0,1.09641433437176,0.519,0,0
"mers-orf4b",0,0.65700163176595,0.37,0,0
"mers-orf5",0,0.550616881008341,0.341,0,0
"mers-M",0,0.953848367495298,0.459,0,0
"mers-N",0,1.20113447943817,0.57,0,0
"mers-3UTR",0,2.80990056375007,1,0.001,0
"ENO1",2.50869616335955e-45,-0.704430090177492,0.6,0.977,7.12143579892875e-41
"CALR",6.81315692032243e-44,-0.764487411799429,0.526,0.975,1.93405085497193e-39
"SFRP1",7.96278168959095e-44,-0.732906692852053,0.622,0.971,2.26039483822418e-39
"CFL1",7.67913257618175e-43,-0.640610587674715,0.652,0.975,2.17987536440071e-38
"CLU",9.8992750160511e-43,-0.594641526050762,0.785,0.994,2.81010719880643e-38
"NPC2",1.03250000170289e-41,-0.791944124696358,0.444,0.943,2.93095775483398e-37
"PRDX1",2.14126077866169e-41,-0.74507132802823,0.556,0.97,6.07839697238693e-37
"TMBIM6",9.68360560447947e-40,-0.625373517349419,0.711,0.992,2.74888512294359e-35
"APLP2",5.04779155464523e-39,-0.673047244076871,0.593,0.983,1.43291658861714e-34
"RPS29",9.22926376876152e-39,-0.715751481574876,0.578,0.945,2.61991110603833e-34
"CAPNS1",1.72934522254229e-38,-0.617662800788622,0.607,0.96,4.90909228323081e-34
"NCL",1.22470844378965e-35,-0.687963027231197,0.407,0.927,3.47657985938568e-31
"NFE2L1",7.22481993612355e-35,-0.57354627389718,0.667,0.969,2.05090963526739e-30
"EFEMP1",1.78097558911641e-34,-0.753113035823186,0.474,0.911,5.05565540482474e-30
"KEF68-t05",2.95785338521001e-34,-0.600475366497667,0.667,0.979,8.39645840459566e-30
"ATP5F1B",4.10487344564519e-34,-0.630698886553427,0.526,0.958,1.1652504250153e-29
"PDIA3",1.66334583741289e-33,-0.659839347617338,0.452,0.936,4.72173982866398e-29
"ITM2C",8.02365024750304e-33,-0.622167686911638,0.526,0.953,2.27767359575869e-28
"CD81",9.50876292401186e-33,-0.643041288917946,0.459,0.933,2.69925253123925e-28
"S100A11",1.89100210553409e-32,-0.527932195031303,0.807,0.977,5.36798767697961e-28
"GAPDH",2.32450467145484e-32,-0.513207320669138,0.741,0.98,6.59857141085887e-28
"METTL7A",3.66851253442031e-32,-0.701479527639042,0.333,0.89,1.04138065314589e-27
"GPX1",4.97733768760369e-32,-0.680190126448037,0.556,0.914,1.41291684938006e-27
"RHOA",6.33599526941902e-32,-0.576198165053356,0.652,0.967,1.79859897712998e-27
"FAU",1.66810869703678e-31,-0.586181370014358,0.607,0.948,4.73526015827831e-27
"LOC102527515",2.11031850096939e-31,-0.631125121299637,0.444,0.911,5.99056112870181e-27
"GRN",5.8341847446353e-31,-0.720370997850367,0.356,0.841,1.65615002345962e-26
"GABRP",8.17525085712242e-31,-0.597065957852461,0.785,0.949,2.32070846081134e-26
"SUB1",1.30633760268054e-30,-0.633868280809437,0.17,0.735,3.70830055272924e-26
"RPL39",1.49554502598937e-30,-0.552637710110786,0.756,0.968,4.24540366527602e-26
"EIF5A",2.05376037990512e-30,-0.587031974957359,0.474,0.878,5.83000959043668e-26
"RPN1",3.11833604029042e-30,-0.561558612885302,0.563,0.957,8.85202051757241e-26
"B2M",3.98357977403483e-30,-0.644054705649604,0.348,0.892,1.13081879045527e-25
"APP",4.97476290906565e-30,-0.596044295931414,0.652,0.965,1.41218594699647e-25
"PAM",5.1909263863357e-30,-0.610327327586062,0.504,0.928,1.47354827328912e-25
"RPL13",6.22102143091773e-30,-0.641527647379087,0.452,0.913,1.76596135359462e-25
"CSDE1",1.26402697858061e-29,-0.596873832703542,0.422,0.894,3.58819338409678e-25
"TBCA",4.04022323286654e-29,-0.561856552392931,0.548,0.894,1.14689816911382e-24
"HSPB1",1.01303016423169e-28,-0.595020304605949,0.748,0.943,2.8756887272045e-24
"SCNN1A",1.16605197780934e-28,-0.595412981716759,0.533,0.932,3.31007174940737e-24
"LOC107034428",4.12193704058664e-28,-0.608918512441434,0.37,0.866,1.17009426771133e-23
"PGK1",4.93695569354268e-28,-0.629091684739156,0.4,0.889,1.40145361272596e-23
"LOC102536064",1.14813911930286e-27,-0.622353034590153,0.415,0.855,3.25922251796503e-23
"RPL23A",1.39798915569213e-27,-0.571487359138339,0.519,0.896,3.96847181626326e-23
"SPINT2",1.69943574782205e-27,-0.529417733627594,0.681,0.99,4.82418825734245e-23
"BZW1",1.98835030642751e-27,-0.576080644585117,0.43,0.901,5.64433001485578e-23
"CDC42",2.34697396642468e-27,-0.50997241535676,0.622,0.956,6.66235499848975e-23
"ATP5F1A",3.22142976426646e-27,-0.577664523197013,0.422,0.904,9.1446726718232e-23
"AP2M1",3.34002625928489e-27,-0.561871869486621,0.407,0.864,9.48133254223202e-23
"LOC102530766",5.06225795004339e-27,-0.566625790507749,0.452,0.922,1.43702316427882e-22
"LOC102527951",6.35813885597951e-27,-0.594122519486848,0.489,0.928,1.8048848770469e-22
"LOC102526361",1.0715280549523e-26,-0.637130060007845,0.437,0.869,3.0417466895931e-22
"RAC1",1.50093932706758e-26,-0.550458057883729,0.489,0.93,4.26071646774673e-22
"LRP10",1.7943097532691e-26,-0.566315844327321,0.459,0.88,5.093507096605e-22
"RACK1",1.95895868180436e-26,-0.569114803624179,0.459,0.874,5.56089601003804e-22
"MDH1",2.0803168920979e-26,-0.569541629511248,0.393,0.868,5.90539556159831e-22
"CD164",3.2424506786659e-26,-0.56142781774538,0.467,0.907,9.20434474152888e-22
"PGRMC1",4.28443876377839e-26,-0.566550120034462,0.474,0.941,1.21622363187377e-21
"S100A13",4.37685571744577e-26,-0.561572761458869,0.467,0.9,1.24245803251133e-21
"REEP5",4.51433425232562e-26,-0.5598866552637,0.467,0.897,1.28148406420768e-21
"LAMP1",5.52855929587218e-26,-0.54447832454859,0.452,0.881,1.56939212731924e-21
"LOC116285262",5.85692720046267e-26,-0.570116215888024,0.444,0.853,1.66260592439534e-21
"LASP1",1.39406510343586e-25,-0.552939687620405,0.348,0.81,3.95733260912338e-21
"NQO1",1.65327031440139e-25,-0.639358970799355,0.378,0.82,4.69313844149124e-21
"EIF4H",2.17605406353022e-25,-0.560471280149836,0.319,0.81,6.17716467014325e-21
