"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ANGPTL7","10218",5.21035780712539e-29,0.558531694875524,0.196,0.158,1.56310734213762e-25
"2","CES1","1066",0.15042334251379,-0.684483252409113,0.111,0.161,1
"3","ENKUR","219670",0.0407204016314602,-0.614868200362964,0.085,0.104,1
"4","FN1","2335",5.47110821493988e-14,1.814620893412,0.358,0.292,1.64133246448197e-10
"5","GPX3","2878",9.387816207386e-08,0.500919940412397,0.179,0.177,0.00028163448622158
"6","IGFBP5","3488",4.77478262502917e-10,0.715144840118959,0.208,0.077,1.43243478750875e-06
"7","LBH","81606",2.20111157507775e-17,0.63209132462294,0.134,0.118,6.60333472523324e-14
"8","LGI2","55203",1.08906460859934e-33,0.772097011238785,0.319,0.207,3.26719382579803e-30
"9","LOXL4","84171",5.5554763984629e-25,0.645641565238405,0.334,0.236,1.66664291953887e-21
"10","PMEPA1","56937",1.63427531353389e-17,4.36189655978066,0.212,0.178,4.90282594060166e-14
"11","PORCN","64840",1.08939880070518e-17,0.953422371039067,0.182,0.156,3.26819640211554e-14
"12","SFN","2810",1.19287828217486e-09,0.572603180920442,0.149,0.185,3.57863484652459e-06
"13","TGFBI","7045",5.30309727698162e-37,1.39908519562244,0.137,0.114,1.59092918309449e-33
"14","TIMP3","7078",2.7731215727666e-26,3.26001194959354,0.149,0.123,8.3193647182998e-23
"15","TNC","3371",9.94638380906607e-15,0.811347744738525,0.137,0.128,2.98391514271982e-11
"16","TPM1","7168",2.021850391041e-11,2.83244976808739,0.252,0.209,6.065551173123e-08
