"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","AADAC","13",0.229500611209361,-0.53770017041962,0.429,0.07,1
"2","ABL2","27",0.0027561386343595,0.737793770137147,0.714,0.355,1
"3","ACSM3","6296",0.319420350189463,-0.542033508874208,0.214,0.312,1
"4","ACTN1","87",0.0922917975584007,0.525143594502714,0.357,0.201,1
"5","ADAM8","101",0.0216877994333004,1.05457980955895,0.357,0.05,1
"6","ADGB","79747",0.592474780410539,0.84978535539181,0.286,0.05,1
"7","ADRB2","154",0.53103163661389,-0.937654869403596,0.071,0.146,1
"8","AGBL2","79841",0.189913291867692,0.96419225872118,0.571,0.056,1
"9","AGBL3","340351",0.0389201144109953,0.590688288910054,0.429,0.072,1
"10","AHNAK","79026",0.0754061220602527,-0.563615978573244,0,0.326,1
"11","AK8","158067",0.868129066911701,0.660233466947336,0.429,0.049,1
"12","AK9","221264",0.650491326013692,3.25774951001187,0.214,0.067,1
"13","ALDH3A1","218",0.0331452851612328,-1.43002743427507,0,0.106,1
"14","AMOTL1","154810",0.912605856635231,-0.521121973762858,0.071,0.152,1
"15","ANKDD1B","728780",0.719951181329657,-0.526944203582961,0.214,0.052,1
"16","ANKEF1","63926",0.122625136586261,0.58730799349829,0.143,0.021,1
"17","ANKH","56172",0.0768970646581108,0.50070507896996,0.214,0.196,1
"18","ANKRD45","339416",0.161247335793221,0.515783121378006,0.286,0.169,1
"19","ANKUB1","389161",0.00209884603835249,0.547511211248987,0.286,0.02,1
"20","ANLN","54443",0.000881733529083145,0.552117626105879,0.429,0.136,1
"21","ANXA4","307",0.214589311860952,-0.830709487128185,0.214,0.298,1
"22","APLP1","333",0.824065851492548,0.823201534952623,0.143,0.026,1
"23","AQP5","362",0.461276188824748,-0.509333588388397,0.714,0.471,1
"24","AREG","374",0.190293960609939,-0.506555902048237,0.357,0.384,1
"25","ARHGAP18","93663",0.415405609439108,0.584602287842189,0.429,0.162,1
"26","ARMC3","219681",0.0608211659693392,1.61334516615671,0.357,0.06,1
"27","ARMC9","80210",0.00287007824552445,-0.648791331445844,0.143,0.085,1
"28","ARSL","415",0.0388137363649116,0.625735286984969,0.214,0.125,1
"29","ASB2","51676",2.20478601464152e-08,0.921089505280166,0.5,0.005,6.61435804392457e-05
"30","ATP13A3","79572",0.117791726881754,0.537176492780554,0.286,0.196,1
"31","ATP13A4","84239",0.977998117042817,-0.516163308653975,0.357,0.209,1
"32","ATP2C2","9914",0.48488051475086,0.887528756627025,0.357,0.055,1
"33","B9D1","27077",0.405167129260286,0.5951247053869,0.214,0.189,1
"34","BAG1","573",0.519288463441175,-0.517958341310427,0.357,0.415,1
"35","BAG3","9531",0.908143483461703,-0.538441690099189,0.071,0.378,1
"36","BBOF1","80127",0.551901364179257,0.634171276020199,0.357,0.163,1
"37","BCAS1","8537",0.00484784477934127,0.572544135649027,0.357,0.189,1
"38","BCL10","8915",0.452423585859981,-0.510766838605665,0.5,0.552,1
"39","BCL6","604",0.217094670100792,-0.889244607953094,0.286,0.422,1
"40","BIRC3","330",0.251592989939736,-0.718642696046493,0.214,0.335,1
"41","BST1","683",0.0317770468814192,-0.961633001304746,0.071,0.216,1
"42","BTBD6","90135",1.08985633056802e-05,-0.536693120620889,0.143,0.012,0.0326956899170406
"43","BTC","685",0.0214953672372911,0.591460648248338,0.571,0.367,1
"44","BTG3","10950",0.0258637303787289,0.689080592647959,0.5,0.242,1
"45","CABCOCO1","219621",0.333852820567139,0.515126459323433,0.429,0.13,1
"46","CALML4","91860",0.14137769369903,0.986187077050932,0.429,0.074,1
"47","CAMK2D","817",0.718267416674776,-0.655474722602668,0.214,0.51,1
"48","CAMK4","814",0.0994739699793245,0.683952145126831,0.286,0.033,1
"49","CAPN2","824",0.404532272324716,-0.791218167817232,0,0.367,1
"50","CAPS2","84698",0.0118932457620428,-0.816348624268101,0.214,0.049,1
"51","CAPSL","133690",0.302754080471403,-2.54436034266025,0.071,0.146,1
"52","CCDC141","285025",0.324369310814578,-0.696036643573724,0.143,0.331,1
"53","CCDC146","57639",0.0200688124462066,1.11196222307447,0.214,0.049,1
"54","CCDC150","284992",0.88587781712953,0.548405991795299,0.214,0.021,1
"55","CCDC153","283152",0.157245445903155,0.824465924325335,0.429,0.069,1
"56","CCDC157","550631",0.0657832558784312,0.761814602025435,0.214,0.059,1
"57","CCDC17","149483",0.779686586321051,0.625496191306982,0.214,0.118,1
"58","CCDC170","80129",0.988773496954665,0.535709880853332,0.429,0.036,1
"59","CCDC39","339829",0.163617030433346,1.08912551846323,0.286,0.055,1
"60","CCDC40","55036",0.000326037554603692,2.03070910971274,0.429,0.055,0.978112663811077
"61","CCDC74B","91409",0.276118668792887,1.36975050683775,0.357,0.099,1
"62","CCDC91","55297",0.506959869674015,-0.507895203091403,0.214,0.292,1
"63","CCL28","56477",0.901901054954096,-0.523722851578062,0.429,0.198,1
"64","CCN1","3491",0.253459810393529,-0.648297989050799,0.5,0.613,1
"65","CCN2","1490",0.991467738763528,-0.838905081405516,0.357,0.467,1
"66","CCNA1","8900",0.159904913338376,2.83462788988068,0.286,0.071,1
"67","CD36","948",0.44971914530229,0.658191445605429,0.143,0.052,1
"68","CD3E","916",3.51297402805393e-05,0.54865259642629,0.071,0.124,0.105389220841618
"69","CD9","928",0.0676223114586386,-1.36835540460572,0.071,0.286,1
"70","CDA","978",0.0098955226670738,0.682213106454187,0.214,0.123,1
"71","CDHR4","389118",0.797013414427841,4.00736015773096,0.143,0.058,1
"72","CDKL1","8814",0.261979758663123,0.693244371063772,0.357,0.048,1
"73","CDKL2","8999",0.428416314470432,-0.614244557642203,0.143,0.342,1
"74","CDKL3","51265",0.541416290452704,0.514574635655714,0.214,0.05,1
"75","CDKN1A","1026",0.0027561386343595,0.848706554873987,0.643,0.228,1
"76","CEBPD","1052",0.569340448258815,-0.506438809071645,0.5,0.539,1
"77","CENPQ","55166",0.0320467167301918,0.507288799377148,0.357,0.071,1
"78","CEP350","9857",0.301699028398418,-0.629656660932854,0.214,0.455,1
"79","CEP89","84902",0.0548806583088022,0.657184020459719,0.357,0.058,1
"80","CES1","1066",0.779686586321051,0.502210750737133,0.143,0.161,1
"81","CFAP20","29105",0.194131594345152,-0.76589827341666,0.143,0.223,1
"82","CFAP298","56683",0.42188155535692,0.679780390220795,0.071,0.133,1
"83","CFAP44","55779",0.106361611661597,1.18258862130421,0.286,0.071,1
"84","CFAP46","54777",0.623177287670662,0.959534971719951,0.214,0.05,1
"85","CFAP54","144535",0.217934447182299,0.970607942039578,0.214,0.052,1
"86","CFAP61","26074",0.0398887102925166,0.813759302846676,0.429,0.039,1
"87","CFAP65","255101",0.692347843693798,0.890369009262687,0.429,0.064,1
"88","CFAP69","79846",0.0101565428247661,-0.854931198938826,0.214,0.106,1
"89","CFAP70","118491",0.369336447342447,0.67593405746359,0.143,0.069,1
"90","CFAP73","387885",0.763326723570478,0.551225551838413,0.143,0.026,1
"91","CFB","629",0.053612930668176,-1.29499223947781,0.214,0.34,1
"92","CHAC1","79094",0.059744704433128,0.845906704188675,0.286,0.011,1
"93","CKB","1152",0.729236254582854,0.895410140797561,0.286,0.135,1
"94","CLIC6","54102",0.848682258807558,-0.524160516574941,0.286,0.499,1
"95","CLUAP1","23059",0.00893962265325466,-0.663715274747861,0.071,0.146,1
"96","COL5A2","1290",0.00128207721865034,0.736971880888078,0.143,0.021,1
"97","COL8A1","1295",1.04552665311049e-05,0.531161647991447,0.214,0.152,0.0313657995933147
"98","COQ10A","93058",0.00416512304284693,0.844644620283732,0.357,0.079,1
"99","COTL1","23406",0.048783988329147,0.532075946337742,0.571,0.369,1
"100","CRACR2A","84766",2.49723267771004e-05,0.875850279508432,0.5,0.012,0.0749169803313011
"101","CRIP1","1396",0.638380240956892,0.757764673749971,0.214,0.178,1
"102","CST6","1474",0.0965041911349264,-0.820076583995816,0.143,0.297,1
"103","CTSS","1520",0.960946087488482,-0.602154745512901,0.071,0.488,1
"104","CUZD1","50624",0.848682258807558,-0.603036955760207,0.5,0.432,1
"105","CXXC4","80319",0.129878588966944,-1.00867308605025,0,0.184,1
"106","CYTIP","9595",0.0148764071926423,0.821678474390515,0.571,0.09,1
"107","DAB2","1601",0.585489318745985,-0.747908854043686,0,0.323,1
"108","DAW1","164781",0.587038334985575,0.805730354014587,0.286,0.05,1
"109","DCDC1","341019",0.19724236747819,0.660854126754024,0.214,0.034,1
"110","DCDC2B","149069",0.000853670839875935,2.03087444256465,0.643,0.055,1
"111","DHCR24","1718",0.309671433256421,0.860623244918063,0.357,0.269,1
"112","DLGAP5","9787",0.353350437781729,0.636888154172038,0.286,0.001,1
"113","DNAH10","196385",0.00817519124590288,-1.05405446276308,0.214,0.079,1
"114","DNAH11","8701",0.042802482774211,0.992716647247264,0.214,0.142,1
"115","DNAH2","146754",0.0109414465873646,-0.520999243432235,0.143,0.056,1
"116","DNAH3","55567",0.247888173403863,0.648156940876818,0.214,0.038,1
"117","DNAH5","1767",0.487699881406,1.21181904883128,0.214,0.064,1
"118","DNAH7","56171",0.70568299864344,0.910251058720545,0.286,0.08,1
"119","DNAJA4","55466",0.237450089339293,0.655043271984968,0.214,0.158,1
"120","DNAJB1","3337",0.454457913224708,-0.737949433893721,0.214,0.406,1
"121","DNAJC12","56521",0.892993894889054,-0.865377365532357,0.071,0.389,1
"122","DNAL4","10126",0.285151726196532,0.526911031529473,0.571,0.119,1
"123","DNALI1","7802",0.718267433718041,0.590493381036109,0.143,0.042,1
"124","DNER","92737",0.180211886026257,0.721088403662997,0.286,0.064,1
"125","DNMT1","1786",0.0117797887155485,0.745826895971602,0.357,0.258,1
"126","DPCD","25911",0.66024729110476,1.05876275532427,0.357,0.194,1
"127","DPY19L2","283417",0.0243291790052664,0.638902887710525,0.5,0.006,1
"128","DRC7","84229",0.590142047658725,0.704969166150787,0.357,0.06,1
"129","DYDC1","143241",6.15467280819714e-05,0.807438776113847,0.357,0.069,0.184640184245914
"130","DYNC2H1","79659",0.282622730823261,0.701065042893912,0.143,0.15,1
"131","DYNC2LI1","51626",0.433025479028669,0.500700244560717,0.357,0.085,1
"132","DZIP1","22873",0.00121815244395939,1.3873836416621,0.571,0.108,1
"133","EFR3B","22979",0.586263589613766,0.751024218106484,0.214,0.063,1
"134","EML6","400954",0.0425721302274084,0.595556274491714,0.214,0.02,1
"135","EMP3","2014",0.0101565428247661,1.21018123835766,0.357,0.029,1
"136","ENKUR","219670",0.414761260651614,2.31132317973952,0.286,0.104,1
"137","EPHA7","2045",0.0350477969324505,-0.756397024541654,0.071,0.216,1
"138","ERICH2","285141",0.000864095836788237,0.960159471770712,0.571,0.239,1
"139","ERICH3","127254",0.662695416785427,1.03158963818209,0.357,0.058,1
"140","ETV1","2115",0.00847926816655734,0.850251221019471,0.714,0.08,1
"141","F3","2152",0.0122394245599402,0.817268923482882,0.357,0.225,1
"142","FADS1","3992",0.659432055071872,-0.582451902301142,0.214,0.285,1
"143","FAM161A","84140",0.272659091840399,0.723872273018928,0.5,0.119,1
"144","FAM161B","145483",0.361584172528189,0.807258611134948,0.214,0.028,1
"145","FAM180A","389558",0.00126705637679686,0.705817359178661,0.357,0.025,1
"146","FAM184A","79632",0.882323189685829,-0.552556439527831,0,0.114,1
"147","FGF2","2247",0.88587781712953,0.636424044639287,0.214,0.061,1
"148","FGL1","2267",0.20237493762296,-1.00137885723219,0,0.227,1
"149","FHAD1","114827",0.186137417646945,1.06278471671195,0.286,0.054,1
"150","FN1","2335",0.171941099815061,1.25796836249932,0.357,0.292,1
"151","FOXJ1","2302",0.0161733061194465,2.87850209874772,0.286,0.054,1
"152","FTH1","2495",0.161247335793221,0.681498916219651,0.214,0.19,1
"153","FUZ","80199",0.0688144918426018,0.985522163658764,0.429,0.209,1
"154","GAN","8139",0.953771176306175,-0.740622865337665,0.286,0.39,1
"155","GAS2L2","246176",0.066614015106345,0.635039867361846,0.143,0.039,1
"156","GDF15","9518",0.311282456641979,0.710189996535129,0.357,0.092,1
"157","GGT5","2687",0.81793770136812,-0.524052881677569,0.143,0.04,1
"158","GJA1","2697",0.54964619102917,-0.521719128758243,0.286,0.167,1
"159","GPR155","151556",0.299596381505558,1.43952489805182,0.286,0.177,1
"160","GRAMD1B","57476",0.000328867495021295,0.511228900044417,0.214,0.171,0.986602485063885
"161","GRAMD2A","196996",0.516373757238644,0.723925359440772,0.286,0.124,1
"162","GRP","2922",0.462646666505737,1.13037662698976,0.286,0.079,1
"163","HMGA1","3159",0.0325006233084977,0.514466111803957,0.5,0.412,1
"164","HMGCR","3156",0.00488193411629493,0.737317674029111,0.571,0.252,1
"165","HMGN1","3150",0.158570958889238,-0.828617574965431,0.214,0.334,1
"166","HMGN2","3151",0.110823425264583,0.608224034681441,0.5,0.287,1
"167","HMGXB3","22993",0.0733946908860651,0.711795290764412,0.429,0.215,1
"168","HOXB6","3216",0.640794886002991,-0.58381785971587,0,0.114,1
"169","HSP90AA1","3320",0.686543275082793,0.504765407249661,0.214,0.161,1
"170","HSPA5","3309",0.0468825514366522,0.619417744941597,0.571,0.337,1
"171","HSPH1","10808",0.0383906910459971,1.1916593129277,0.214,0.178,1
"172","HYDIN","54768",0.375369508842692,0.50818602787688,0.357,0.058,1
"173","ICAM2","3384",0.533988240502593,1.07006064255061,0.214,0,1
"174","IFT172","26160",0.0291021863341123,0.596434865642395,0.357,0.067,1
"175","IFT22","64792",0.238793591056742,0.547165778085569,0.143,0.048,1
"176","IFT46","56912",0.356864626032879,0.508672237270394,0.286,0.211,1
"177","IFT57","55081",0.304341200060911,0.608525316880766,0.429,0.183,1
"178","IFT80","57560",0.67828307579584,1.02072806154671,0.357,0.086,1
"179","IGFBP5","3488",0.0113719894157719,0.589840301549579,0.143,0.077,1
"180","IKZF2","22807",0.17514301072483,-0.84753555533046,0.214,0.525,1
"181","IKZF3","22806",0.610497769902094,0.836720476777606,0.286,0.017,1
"182","IL10RA","3587",3.81772830609697e-05,0.82140746186021,0.286,0.005,0.114531849182909
"183","IQCA1","79781",0.284644706740635,1.62001569848619,0.214,0.076,1
"184","IQCB1","9657",0.430388166184088,0.839935080009087,0.214,0.076,1
"185","IQCG","84223",0.306998655084275,1.04954828402426,0.429,0.074,1
"186","IQCK","124152",0.059592222121278,0.961750746144479,0.571,0.094,1
"187","IRAK1BP1","134728",0.901009764077894,0.510695529747456,0.286,0.086,1
"188","IRF9","10379",0.885877793256668,-0.595867490082569,0,0.137,1
"189","ITGA2","3673",0.056318461267611,1.06506568020749,0.357,0.22,1
"190","ITGB8","3696",0.0446835131892569,-0.811118622330261,0.214,0.215,1
"191","IVL","3713",0.0260141516184291,0.536976597752345,0.429,0.313,1
"192","JAKMIP2","9832",1.14713605796294e-06,0.634842033560063,0.786,0.038,0.00344140817388882
"193","KATNAL2","83473",0.183898688933985,0.533900941800937,0.286,0.045,1
"194","KCNJ2","3759",0.231250587626569,-0.683539947986485,0.071,0.195,1
"195","KLF6","1316",0.0566097531200077,-0.846796962706654,0.357,0.535,1
"196","KLHDC9","126823",0.938537644771554,0.503027229945959,0.357,0.147,1
"197","KLHL21","9903",0.542161845243415,-0.599862513012034,0.214,0.152,1
"198","KNDC1","85442",0.133919935433971,0.559334887008897,0.143,0.021,1
"199","KRT18","3875",0.340653648018008,-0.97382784420152,0.214,0.407,1
"200","KRT4","3851",0.683234633312922,-0.576703810604483,0.5,0.482,1
"201","KRT7","3855",0.865472252412722,-0.841840768619783,0.143,0.351,1
"202","LAMC2","3918",0.00375524464914645,1.11469936102772,0.214,0.141,1
"203","LCA5L","150082",0.876108332930605,0.84528002027885,0.357,0.034,1
"204","LCN15","389812",0.0819093162079204,0.556745843602984,0.286,0.087,1
"205","LDLRAD1","388633",0.0631820324297875,-0.583021046032737,0.214,0.066,1
"206","LGI2","55203",0.00710195539397789,1.1031480394512,0.429,0.207,1
"207","LRRC45","201255",0.241496964085287,0.526946965363506,0.214,0.131,1
"208","LRRC71","149499",0.464706634678898,0.860314012877003,0.214,0.056,1
"209","LRRC74B","400891",0.0116673102602797,0.781053013948816,0.143,0.043,1
"210","LTBP1","4052",0.0129177505467597,0.737439214166366,0.429,0.244,1
"211","LZTFL1","54585",0.0165761892104877,-1.39118136786858,0.143,0.185,1
"212","MAFF","23764",0.871673799069326,-0.590894669092673,0.143,0.518,1
"213","MANF","7873",0.864586983802416,-0.531811587171655,0.143,0.366,1
"214","MAP1A","4130",0.405167129260286,0.680262357273687,0.429,0.071,1
"215","MAP2","4133",0.968124163178098,-0.507549576201148,0.357,0.412,1
"216","MAP7D2","256714",0.0817117535089088,-0.59640491146413,0,0.256,1
"217","MAP9","79884",0.0614434687297548,0.867838185119869,0.429,0.182,1
"218","MAPK15","225689",0.219198375379392,0.547668867388056,0.143,0.001,1
"219","MDM1","56890",0.663512261753796,0.771908037153034,0.286,0.049,1
"220","METRN","79006",0.770202679423367,0.575890198353293,0.357,0.112,1
"221","MFGE8","4240",0.0288539240161999,0.507047927246552,0.357,0.348,1
"222","MGLL","11343",0.137162978350711,0.716878883021099,0.5,0.077,1
"223","MIDEAS","91748",0.911713172146961,-0.50203936785141,0.357,0.552,1
"224","MLF1","4291",0.0671166047378728,0.919452388203931,0.429,0.207,1
"225","MMP2","4313",0.451070218444242,-0.925013858043362,0.143,0.258,1
"226","MSMO1","6307",0.119119096250878,-1.25750507835919,0.143,0.269,1
"227","MUC21","394263",0.0036751624977863,1.44890276951488,0.143,0.134,1
"228","MXRA5","25878",0.00413560312296628,0.677430965280764,0.286,0.244,1
"229","NEURL1B","54492",0.181312114382879,0.505452219635868,0.286,0.238,1
"230","NEURL4","84461",0.000324629234506638,0.802712881851667,0.429,0.01,0.973887703519913
"231","NPR3","4883",0.174070800232293,0.847367728893943,0.286,0.02,1
"232","NUDC","10726",0.029436060893093,0.730223421804199,0.429,0.28,1
"233","NUDT4","11163",0.113109090294095,0.51248608030171,0.571,0.287,1
"234","NUP62CL","54830",0.012161733627459,0.656317130941216,0.214,0.042,1
"235","NUPR1","26471",0.547395569675792,-0.57524482306355,0.286,0.563,1
"236","OAZ1","4946",0.282118761841361,-0.654154963249705,0.214,0.285,1
"237","ODF3B","440836",0.263899646163053,1.07685555170824,0.286,0.077,1
"238","OLR1","4973",0.00514459519563842,0.758971606702219,0.429,0.028,1
