"","SYMBOL","ENTREZID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1","ABL2","27",0.221742340846957,-0.881359211738871,0.071,0.355,1
"2","ACTN1","87",0.466771695155324,0.611532255870569,0.286,0.201,1
"3","ADIRF","10974",0.0639856237985633,-1.18939680978588,0.143,0.191,1
"4","AGRN","375790",0.0404356026164749,-1.16603153420003,0.071,0.358,1
"5","AHI1","54806",0.0159751110783947,-1.88273905836401,0,0.256,1
"6","AKAP9","10142",0.140769569876067,-1.02336816319756,0.214,0.287,1
"7","ALCAM","214",0.187641054243892,-0.527412161916278,0.357,0.523,1
"8","ALDH3A1","218",0.547395569675792,-0.638707403608459,0,0.106,1
"9","AMIGO2","347902",0.066614015106345,0.611220540189523,0.357,0.387,1
"10","AREG","374",0.433686265338354,-1.26754171745674,0.214,0.384,1
"11","ARHGAP18","93663",0.115692109245038,-1.4775043402399,0.071,0.162,1
"12","ARHGAP39","80728",0.814440864414917,0.504500268552993,0.143,0.191,1
"13","ARHGAP6","395",0.210050423528741,-0.589486798758592,0.429,0.112,1
"14","ARL2BP","23568",0.115952941190175,-1.3898938175368,0.071,0.244,1
"15","ARL3","403",0.0761486169420305,0.577782200369226,0.5,0.31,1
"16","ARL6IP1","23204",0.135386616672366,-0.883663295193988,0.071,0.276,1
"17","ARMC3","219681",0.358629889220902,0.510571665482848,0.143,0.06,1
"18","ASAH1","427",0.389474868713776,-0.56661293220526,0.286,0.374,1
"19","ATP1B1","481",0.0309795761273731,0.644213736306071,0.643,0.417,1
"20","AZGP1","563",0.544401850149876,-0.666482683660764,0.429,0.577,1
"21","BBOF1","80127",0.015876816735038,-3.69408214763589,0.071,0.163,1
"22","BCAM","4059",0.00939134477048766,0.657581112526382,0.643,0.378,1
"23","BHLHE40","8553",0.0770851105175769,-0.786081900673402,0.357,0.573,1
"24","BPIFA1","51297",0.127893740219879,0.815136154281842,0.5,0.39,1
"25","BRD3OS","266655",0.998652775820452,0.600099804385985,0.143,0.061,1
"26","BSCL2","26580",0.255336254687674,0.556437219611971,0.429,0.344,1
"27","BTBD11","121551",6.20618244688746e-08,0.610961484490142,0.5,0.018,0.000186185473406624
"28","C2CD3","26005",0.122352610463172,-1.05587932738104,0.071,0.341,1
"29","CA11","770",0.151384380282882,0.935547681761394,0.357,0.199,1
"30","CACHD1","57685",0.771063437900376,-0.683162009677016,0.143,0.249,1
"31","CAPN2","824",0.436998929288336,-0.662365463247717,0.143,0.367,1
"32","CATSPERE","257044",0.0684721196105618,0.545094360135766,0.214,0.063,1
"33","CAV1","857",0.118321275167796,0.689718202232791,0.286,0.213,1
"34","CBY1","25776",0.016884109551973,-0.775597143080782,0.071,0.202,1
"35","CCDC141","285025",0.567050938370851,-0.599726607537698,0.214,0.331,1
"36","CCDC160","347475",0.419932582943649,-0.591644253224622,0,0.141,1
"37","CCDC181","57821",0.273151493187389,-1.40995490291186,0.143,0.161,1
"38","CCDC30","728621",0.890324324504473,0.621101072466317,0.214,0.031,1
"39","CCDC83","220047",0.986079383164858,0.509505221963858,0.214,0.06,1
"40","CCDC88C","440193",0.458542050432651,-0.559558649664113,0.214,0.427,1
"41","CCDC91","55297",0.265829215903587,-0.906438468571847,0.214,0.292,1
"42","CCDC92","80212",0.403264344922079,-0.581396959283291,0.071,0.195,1
"43","CCNA1","8900",0.589365411202044,1.62402802704884,0.286,0.071,1
"44","CD9","928",0.10442485460584,-0.935900183866693,0.286,0.286,1
"45","CDC14A","8556",0.0615998654806314,-0.612096397194373,0.071,0.128,1
"46","CDKL1","8814",0.457859938332439,0.707981341420582,0.143,0.048,1
"47","CDKN1A","1026",0.0176759720191892,0.691450486904708,0.214,0.228,1
"48","CENPU","79682",0.871673799069326,-0.793638538592268,0.286,0.388,1
"49","CEP192","55125",0.0827034448080756,0.556980642235943,0.286,0.162,1
"50","CEP290","80184",0.156256834808884,-1.02954469977554,0.071,0.237,1
"51","CES1","1066",0.59559165241306,1.16237534317022,0.286,0.161,1
"52","CFAP410","755",0.795276021605037,0.500792374473432,0.143,0.026,1
"53","CKB","1152",0.262938492740975,-0.939467301650405,0.143,0.135,1
"54","CLDN1","9076",0.00932996153120008,0.860566425939678,0.214,0.201,1
"55","CLDN3","1365",0.894774284191224,0.545030487265004,0.143,0.118,1
"56","CLIC3","9022",0.48488051475086,-0.673219787882937,0.214,0.223,1
"57","COQ10B","80219",0.142599995401851,-0.691358939255608,0.214,0.488,1
"58","CPLANE1","65250",0.157907148879029,-0.86225216917931,0,0.213,1
"59","CPT1A","1374",0.150104813288941,-0.63201470544645,0.214,0.302,1
"60","CRIP1","1396",0.888545299537932,1.15012717553425,0.286,0.178,1
"61","CRLF1","9244",0.00332158932018865,0.558169704102553,0.143,0.049,1
"62","CRYAB","1410",7.7616383066193e-05,0.676516957968527,0.357,0.056,0.232849149198579
"63","CRYBG1","202",0.580853696642892,-0.655655151275785,0.286,0.453,1
"64","CRYM","1428",0.86104761951914,0.556650186585382,0.143,0.016,1
"65","CST6","1474",0.341795687737393,0.55192563515517,0.357,0.297,1
"66","CSTB","1476",0.249272980034513,-0.656105912543149,0.286,0.398,1
"67","CTH","1491",0.453779244574303,-0.744061936636289,0.143,0.374,1
"68","CTSZ","1522",0.587038334985575,-0.551192574600944,0.286,0.474,1
"69","CUEDC2","79004",0.412831762929225,-0.529769807813963,0.143,0.293,1
"70","CUL4B","8450",0.309671433256421,-1.53890645636784,0,0.25,1
"71","DCDC2B","149069",0.377191232731262,0.531495911882178,0.214,0.055,1
"72","DGKG","1608",0.892993894889054,0.665054371053202,0.143,0.045,1
"73","DLGAP5","9787",0.458541941587508,0.582777754119698,0.143,0.001,1
"74","DMD","1756",0.092074249363736,-0.769046545992976,0.071,0.164,1
"75","DNAH11","8701",0.0878091598845384,-3.84983596984602,0.071,0.142,1
"76","DNAL4","10126",0.00241152778627052,-1.29453623735624,0,0.119,1
"77","DNMT1","1786",0.457859890976166,-0.614488399467101,0.071,0.258,1
"78","DOCK10","55619",4.70535478012934e-06,0.685834890961964,0.714,0.028,0.014116064340388
"79","DOCK9","23348",0.619202670004375,-0.621656942333488,0.143,0.382,1
"80","DPCD","25911",0.712384938508773,0.565579555318512,0.357,0.194,1
"81","DPY30","84661",0.623973526965362,0.533524304666253,0.357,0.276,1
"82","DTHD1","401124",0.907251358427388,0.504986224124893,0.214,0.052,1
"83","DUSP1","1843",0.155600384761716,-0.921803837896084,0.286,0.502,1
"84","DUSP5","1847",0.1321761760906,0.546818446385292,0.5,0.396,1
"85","DYNC2H1","79659",0.840752516873108,0.559450608471333,0.286,0.15,1
"86","DYRK3","8444",0.638380240956892,-0.726866379130523,0,0.233,1
"87","ECE1","1889",0.423183811514517,-1.0115713824292,0.143,0.296,1
"88","ECM1","1893",0.298025799644888,-0.541397399085051,0.214,0.215,1
"89","EDN1","1906",0.00153395900343816,0.694004840291404,0.429,0.108,1
"90","EEF2K","29904",0.159570631884393,-0.619856699988061,0,0.353,1
"91","EFEMP1","2202",0.433025479028669,-1.04494560240063,0.071,0.352,1
"92","EFHD2","79180",0.214589311860952,0.543899329810129,0.5,0.331,1
"93","EGR3","1960",0.0391336136436853,0.588547345228523,0.643,0.364,1
"94","ELF3","1999",0.599498224262453,-0.597851407486145,0.071,0.194,1
"95","ELOVL6","79071",0.00553378531567072,0.859495148696645,0.571,0.272,1
"96","EMP1","2012",0.0185563223157565,1.0253043412791,0.571,0.382,1
"97","ENDOD1","23052",0.71154596760109,-0.636344431213161,0.143,0.236,1
"98","ENPEP","2028",0.00540119852915107,0.613906938152079,0.5,0.153,1
"99","EPCAM","4072",0.186137417646945,0.51077804765335,0.571,0.499,1
"100","EPDR1","54749",0.146628535978199,-0.699919193535024,0.214,0.393,1
"101","EPHA2","1969",0.775371559736512,-0.544334940281291,0.214,0.315,1
"102","EREG","2069",0.317236754864674,-0.576120401923288,0.286,0.296,1
"103","FAM229B","619208",0.0353410646711267,-0.876624623243454,0.071,0.135,1
"104","FAM3C","10447",0.23345136081165,-0.655266918180659,0.286,0.455,1
"105","FAM71A","149647",0.379628660560014,-0.679659839790626,0.286,0.455,1
"106","FAM83E","54854",0.00148711383745013,0.680442079237887,0.5,0.013,1
"107","FANCI","55215",0.000334596470372034,0.55544549935695,0.357,0.19,1
"108","FASN","2194",0.133628079507182,-0.904964338149399,0.143,0.329,1
"109","FBXO15","201456",0.0368390079015219,-0.978498570858601,0.143,0.081,1
"110","FBXO32","114907",0.0750370968024495,0.54058762767401,0.571,0.396,1
"111","FBXO36","130888",0.864586983802416,1.00490536943178,0.357,0.063,1
"112","FBXO5","26271",0.095828947578224,0.835861062513062,0.571,0.026,1
"113","FDPS","2224",0.60420136590116,-0.612445909777526,0.214,0.34,1
"114","FERMT2","10979",0.508402267088882,-0.645820577883853,0.286,0.491,1
"115","FGL2","10875",0.545149516546146,0.628961796075042,0.429,0.037,1
"116","FJX1","24147",0.5244095590144,-0.549863052003078,0,0.162,1
"117","FLNA","2316",0.090562923390427,0.720000231196818,0.571,0.387,1
"118","FLRT3","23767",0.0027157412058956,0.792186369396115,0.143,0.079,1
"119","FOXE1","2304",0.0144198553682836,0.514248033053388,0.357,0.212,1
"120","FOXJ1","2302",0.18651248924311,3.09026311087917,0.143,0.054,1
"121","FRAS1","80144",0.733469976705656,-0.766145557512791,0.214,0.47,1
"122","FSTL1","11167",0.471609910832328,-1.09372072411209,0,0.31,1
"123","GALNT5","11227",0.000120697453716033,0.833098406808412,0.643,0.042,0.362092361148098
"124","GALP","85569",2.50971806303746e-05,0.591101992069105,0.286,0.013,0.0752915418911238
"125","GCNT1","2650",0.923326573972775,-0.525208650179463,0.357,0.488,1
"126","GCNT2","2651",0.00443953062323384,0.631307693724616,0.571,0.344,1
"127","GJA1","2697",0.0314204680501275,0.681101001504605,0.286,0.167,1
"128","GLDN","342035",0.000434382200363411,0.704086764678631,0.286,0.021,1
"129","GNB4","59345",0.19451845984509,0.757805759481136,0.286,0.023,1
"130","GON7","84520",0.148516973718555,-1.1296623542711,0,0.279,1
"131","GPC3","2719",0.0303712553770222,0.534202741564827,0.429,0.248,1
"132","GPC4","2239",0.000108569829985061,0.680886503609035,0.286,0.121,0.325709489955183
"133","GPR155","151556",0.133045844284636,-0.529377407242255,0.214,0.177,1
"134","GPX1","2876",0.648871080937467,-0.8890401476191,0.143,0.301,1
"135","GRK5","2869",0.474386971424252,-0.609916256337561,0.286,0.425,1
"136","HBEGF","1839",0.0698500572428104,0.582347140713027,0.286,0.293,1
"137","HECTD1","25831",0.0230094067665137,0.848744904390598,0.643,0.366,1
"138","HES1","3280",0.876108332930605,-1.69067961726041,0.214,0.274,1
"139","HGF","3082",0.118321275167796,0.629311443433746,0.286,0.004,1
"140","HIPK1","204851",0.205178616130591,0.749089963742506,0.286,0.266,1
"141","HMGCS1","3157",0.249272980034513,0.623507894333202,0.429,0.237,1
"142","HOPX","84525",0.00204404911307173,0.607524751669695,0.357,0.236,1
"143","HOXB3","3213",0.288717957935033,-0.718448638004098,0.143,0.355,1
"144","HOXB4","3214",0.453779244574303,-0.617798943665226,0.143,0.404,1
"145","HSPA5","3309",0.24881077826466,0.626194582701142,0.5,0.337,1
"146","HSPB1","3315",0.282622730823261,-1.74483496763696,0.357,0.364,1
"147","HSPH1","10808",0.0641473506518595,-1.03434179251686,0.214,0.178,1
"148","ID1","3397",0.751338907931417,-0.674134182503641,0.357,0.417,1
"149","ID2","3398",0.119385971519722,0.506039571631955,0.214,0.331,1
"150","IDI1","3422",0.0415484761281631,0.541849895108314,0.5,0.325,1
"151","IFFO1","25900",0.00806706114088504,0.600366881157604,0.429,0.01,1
"152","IFT27","11020",0.477870893029957,0.515863644641412,0.143,0.076,1
"153","IFT81","28981",0.0029992675693803,-2.26867575176987,0,0.24,1
"154","IFTAP","119710",0.0638242338016676,-0.665442907993084,0.071,0.147,1
"155","IGFBP3","3486",0.049171943966256,0.622609855262616,0.643,0.374,1
"156","IGFBP5","3488",0.000918014410366955,0.510214110120484,0.143,0.077,1
"157","IGFBP7","3490",0.00777627537304738,0.935844449607917,0.357,0.237,1
"158","IL1RL1","9173",0.00545766620392377,1.07209497173185,0.143,0.118,1
"159","IL33","90865",0.0778410448837556,-0.6175861458082,0.357,0.275,1
"160","IQCB1","9657",0.435672118537304,0.586674542494432,0.357,0.076,1
"161","IQCK","124152",0.48488051475086,1.05081623996458,0.286,0.094,1
"162","ITGA2","3673",0.178752640920849,0.651719508316485,0.286,0.22,1
"163","ITGB4","3691",0.374763477393688,-0.533754340783002,0.286,0.432,1
"164","JADE1","79960",0.000165198257720242,-1.33656524057198,0,0.199,0.495594773160727
"165","JMJD8","339123",0.0120844800258594,-1.17498121543311,0.143,0.383,1
"166","JOSD2","126119",0.661878972796579,-0.706904088644141,0,0.248,1
"167","KATNAL1","84056",0.121808978370367,-0.568436204355308,0,0.11,1
"168","KATNB1","10300",0.00103946295096671,-0.860473089327114,0,0.11,1
"169","KCNJ2","3759",0.148516973718555,-0.617426183708033,0.429,0.195,1
"170","KCNN3","3782",0.00176205525678154,-1.70677550819653,0.071,0.277,1
"171","KCTD12","115207",0.069503456637905,0.867837484129883,0.5,0.038,1
"172","KNDC1","85442",0.172294689432585,0.751111478989874,0.143,0.021,1
"173","LAMA3","3909",0.114653391314341,1.28804847379706,0.286,0.198,1
"174","LAMC2","3918",0.654549158638174,-1.08715105350614,0.143,0.141,1
"175","LBH","81606",0.00568890433966085,1.51895236152841,0.357,0.118,1
"176","LCN15","389812",0.831082587147205,0.676877908903562,0.286,0.087,1
"177","LCN2","3934",0.0171445334172478,0.6908391807053,0.643,0.396,1
"178","LGALS3BP","3959",0.00512669494931314,-1.80298475265731,0.071,0.363,1
"179","LGALSL","29094",0.319967718325639,-0.951643615013802,0,0.225,1
"180","LGI2","55203",0.202773744963335,-0.582366176580334,0.214,0.207,1
"181","LGR4","55366",0.0325006233084977,0.650296671005048,0.357,0.29,1
"182","LOXL4","84171",0.199599281190858,0.898751004548592,0.357,0.236,1
"183","LRRC23","10233",0.30913565160277,0.774026008905469,0.143,0.083,1
"184","LRRC71","149499",0.348120626267976,0.779138273174938,0.143,0.056,1
"185","LYN","4067",0.709031153431341,-0.518206999667364,0.214,0.357,1
"186","MAGEH1","28986",0.0264699617794673,0.777277463275594,0.357,0.173,1
"187","MAN2B1","4125",0.615239235526094,-0.933449772567412,0.143,0.303,1
"188","MANSC1","54682",0.424488371556276,-0.623981626569467,0.143,0.345,1
"189","MANSC4","100287284",0.231689559004001,0.750491667904509,0.571,0.038,1
"190","MAP7D3","79649",0.0759624364098142,-0.567335113607511,0.214,0.071,1
"191","MAP9","79884",0.362770145320353,-0.538475962386956,0.143,0.182,1
"192","MB21D2","151963",0.910820582112003,-0.739157688412942,0.071,0.282,1
"193","MED31","51003",0.00023393621614462,0.713360644844869,0.429,0.247,0.70180864843386
"194","MINDY4","84182",0.0582343573368399,0.606063656244811,0.286,0.034,1
"195","MORN2","729967",0.129309064741842,-2.38987206704407,0.071,0.148,1
"196","MTURN","222166",0.884988942087664,-0.622999517938328,0.286,0.401,1
"197","MUC20","200958",0.596372037432862,-0.683565235308777,0.429,0.415,1
"198","MUC21","394263",0.0101565428247661,1.98506569142152,0.286,0.134,1
"199","MYCBPAP","84073",0.670881771706939,0.5238526061707,0.214,0.058,1
"200","MYCL","4610",0.196071578922537,-0.641885363473797,0.214,0.227,1
"201","MYH14","79784",0.414761260651614,-0.70321500807306,0.286,0.355,1
"202","NAMPT","10135",0.84691874038187,-0.526930739265625,0.143,0.267,1
"203","NEB","4703",0.0540327618689652,0.695633478290142,0.214,0.011,1
"204","NECTIN3","25945",0.0148301857764288,0.673482608072856,0.286,0.174,1
"205","NETO2","81831",0.0102893195201741,0.616411151676067,0.286,0.015,1
"206","NOSIP","51070",0.406438628368627,-0.583164984705331,0,0.144,1
"207","NQO1","1728",0.733469976705656,-1.13542790385824,0.214,0.288,1
"208","NR4A3","8013",0.551901364179257,-0.563648825570261,0.214,0.09,1
"209","NSUN7","79730",0.0143748869948472,-0.618384787007918,0.214,0.216,1
"210","NUAK2","81788",0.0533345591811159,-0.585594208594295,0.071,0.112,1
"211","NUDC","10726",0.296981806214007,-0.717069994614285,0.143,0.28,1
"212","OASL","8638",0.0128769470320903,0.572868518004776,0.143,0.006,1
"213","PARM1","25849",0.454457932230946,-0.541574218849841,0.143,0.364,1
"214","PDE4B","5142",2.82780295294283e-05,0.525753805919822,0.786,0.037,0.0848340885882848
"215","PDE4D","5144",0.88587781712953,-0.557305003350795,0.286,0.464,1
"216","PDLIM1","9124",0.0103227767653804,-1.14095920848807,0.214,0.599,1
"217","PDP1","54704",0.274632344356525,-0.59462139667819,0.357,0.526,1
"218","PEBP1","5037",0.0519607492629769,-1.79542433663248,0.143,0.277,1
"219","PGM2L1","283209",0.253459810393529,0.517068426387016,0.214,0.094,1
"220","PHGDH","26227",0.852211560101918,0.546623518344911,0.214,0.04,1
"221","PIK3AP1","118788",0.222594973866438,0.657133991791223,0.357,0.205,1
"222","PITX1","5307",0.0741209825435026,-1.31996179286277,0,0.212,1
"223","PKD1","5310",0.672523780194606,0.542588386207262,0.357,0.163,1
"224","PKD1L3","342372",9.05931052588527e-05,0.550448034917136,0.357,0.052,0.271779315776558
"225","PKIG","11142",0.0112992040525988,-0.93059338842035,0,0.108,1
"226","PLA2G6","8398",0.545897692333919,0.537619806865878,0.143,0.005,1
"227","PLCD1","5333",0.546646313555913,-0.501939735101767,0.143,0.167,1
"228","PLCD4","84812",0.0301137046994709,-0.521889685186791,0.214,0.339,1
"229","PLEKHM3","389072",0.0515544249760323,-0.785230761219047,0,0.14,1
"230","PLEKHS1","79949",0.480668073105441,-0.501351888813489,0.357,0.103,1
"231","PMEPA1","56937",0.214589311860952,4.10390074196411,0.214,0.178,1
"232","PODXL","5420",0.000157908283656269,0.707107023248396,0.429,0.173,0.473724850968806
"233","PON3","5446",0.0617565916447391,0.594403207052394,0.786,0.545,1
