"","expr","CellType","Condition","Status","Species","Sum","n"
"1","downregulated","Basal","ACN4","Bystander","Llama",5,1
"2","downregulated","Basal","ACN4","Infected","Llama",89,1
"3","downregulated","Basal","MERS","Bystander","Camel",83,1
"4","downregulated","Basal","MERS","Bystander","Llama",78,1
"5","downregulated","Basal","MERS","Infected","Camel",183,1
"6","downregulated","Basal","MERS","Infected","Llama",234,1
"7","downregulated","Ciliated","ACN4","Infected","Camel",106,1
"8","downregulated","Ciliated","ACN4","Infected","Llama",60,1
"9","downregulated","Ciliated","MERS","Bystander","Llama",71,1
"10","downregulated","Ciliated","MERS","Infected","Camel",151,1
"11","downregulated","Ciliated","MERS","Infected","Llama",33,1
"12","downregulated","Club","ACN4","Bystander","Llama",91,1
"13","downregulated","Club","ACN4","Infected","Llama",13,1
"14","downregulated","Club","MERS","Bystander","Camel",12,1
"15","downregulated","Club","MERS","Bystander","Llama",48,1
"16","downregulated","Club","MERS","Infected","Camel",59,1
"17","downregulated","Club","MERS","Infected","Llama",68,1
"18","downregulated","Cluster1","ACN4","Infected","Llama",111,1
"19","downregulated","Cluster1","MERS","Bystander","Camel",68,1
"20","downregulated","Cluster1","MERS","Infected","Llama",47,1
"21","downregulated","Cluster2","ACN4","Infected","Camel",359,1
"22","downregulated","Cluster2","MERS","Bystander","Llama",41,1
"23","downregulated","Cluster2","MERS","Infected","Camel",523,1
"24","downregulated","Cluster2","MERS","Infected","Llama",42,1
"25","downregulated","Secretory","ACN4","Bystander","Llama",92,1
"26","downregulated","Secretory","ACN4","Infected","Camel",212,1
"27","downregulated","Secretory","MERS","Infected","Llama",22,1
"28","upregulated","Basal","ACN4","Infected","Llama",143,1
"29","upregulated","Basal","MERS","Bystander","Llama",47,1
"30","upregulated","Basal","MERS","Infected","Camel",16,1
"31","upregulated","Basal","MERS","Infected","Llama",59,1
"32","upregulated","Ciliated","ACN4","Bystander","Llama",65,1
"33","upregulated","Ciliated","ACN4","Infected","Llama",398,1
"34","upregulated","Ciliated","MERS","Bystander","Camel",142,1
"35","upregulated","Ciliated","MERS","Infected","Camel",38,1
"36","upregulated","Ciliated","MERS","Infected","Llama",363,1
"37","upregulated","Club","ACN4","Bystander","Llama",31,1
"38","upregulated","Club","ACN4","Infected","Llama",46,1
"39","upregulated","Club","MERS","Bystander","Llama",54,1
"40","upregulated","Club","MERS","Infected","Llama",66,1
"41","upregulated","Cluster1","ACN4","Bystander","Llama",38,1
"42","upregulated","Cluster1","ACN4","Infected","Llama",66,1
"43","upregulated","Cluster1","MERS","Bystander","Camel",1,1
"44","upregulated","Cluster1","MERS","Bystander","Llama",68,1
"45","upregulated","Cluster1","MERS","Infected","Llama",36,1
"46","upregulated","Cluster2","ACN4","Infected","Camel",39,1
"47","upregulated","Cluster2","MERS","Bystander","Llama",119,1
"48","upregulated","Cluster2","MERS","Infected","Camel",16,1
"49","upregulated","Cluster2","MERS","Infected","Llama",125,1
"50","upregulated","Secretory","ACN4","Infected","Camel",52,1
"51","upregulated","Secretory","ACN4","Infected","Llama",49,1
"52","upregulated","Secretory","MERS","Bystander","Camel",73,1
"53","upregulated","Secretory","MERS","Infected","Camel",46,1
"54","upregulated","Secretory","MERS","Infected","Llama",116,1
