"","Cluster","expr","CellType","Condition","Status","Species","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","downregulated.Basal.ACN4.Bystander.Llama","downregulated","Basal","ACN4","Bystander","Llama","GO:0060541","respiratory system development","4/12","203/18723",6.20403263284258e-06,0.00258087757526251,0.00160651792387292,"AGR2/BASP1/CCN2/EPAS1",4
"2","downregulated.Basal.ACN4.Bystander.Llama","downregulated","Basal","ACN4","Bystander","Llama","GO:0030324","lung development","3/12","177/18723",0.000171630164579381,0.0254224440924526,0.0158246995109903,"AGR2/CCN2/EPAS1",3
"3","downregulated.Basal.ACN4.Bystander.Llama","downregulated","Basal","ACN4","Bystander","Llama","GO:0030323","respiratory tube development","3/12","181/18723",0.000183334933359033,0.0254224440924526,0.0158246995109903,"AGR2/CCN2/EPAS1",3
"4","downregulated.Basal.ACN4.Bystander.Llama","downregulated","Basal","ACN4","Bystander","Llama","GO:0045927","positive regulation of growth","3/12","259/18723",0.000524841914048223,0.0482403692311271,0.0300281650578372,"AGR2/BASP1/SLC44A4",3
"5","downregulated.Basal.ACN4.Bystander.Llama","downregulated","Basal","ACN4","Bystander","Llama","GO:0001894","tissue homeostasis","3/12","268/18723",0.000579812130181816,0.0482403692311271,0.0300281650578372,"CCN2/EPAS1/MUC4",3
"6","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0002181","cytoplasmic translation","27/358","148/18723",5.34764183673897e-19,2.08664984469555e-15,1.85309862384681e-15,"RPL10/RPL13/RPL21/RPL23/RPL26/RPL27A/RPL32/RPL35/RPL35A/RPL36/RPL37/RPL37A/RPL38/RPL39/RPS12/RPS13/RPS14/RPS15A/RPS18/RPS20/RPS23/RPS24/RPS27/RPS27A/RPS28/RPS29/RPS4X",27
"7","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0044782","cilium organization","32/358","368/18723",9.55567088685521e-13,1.86431139002545e-09,1.65564571365933e-09,"AHI1/ARL3/ARL6/B9D1/CEP83/CFAP100/CFAP20/CFAP69/CLUAP1/CPLANE1/DAW1/DNAAF1/DNAH5/DNAL1/DYNC2H1/DYNLL1/DZIP1/GAS8/HSPB11/IFT52/IFT74/ODF2/ODF2L/SLC9A3R1/SPAG17/SPATA6/TMEM231/TOGARAM1/TTC21A/TTC26/WDR19/WDR35",32
"8","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0060271","cilium assembly","28/358","337/18723",7.7946123426453e-11,1.01381924536673e-07,9.00346099368011e-08,"AHI1/ARL3/ARL6/B9D1/CEP83/CFAP100/CFAP20/CFAP69/CLUAP1/CPLANE1/DAW1/DNAAF1/DNAH5/DNAL1/DYNC2H1/DYNLL1/DZIP1/GAS8/IFT52/IFT74/ODF2L/SPAG17/SPATA6/TMEM231/TOGARAM1/TTC26/WDR19/WDR35",28
"9","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0042073","intraciliary transport","9/358","40/18723",5.00955759755493e-08,4.88682343641483e-05,4.33985884503969e-05,"ARL3/DYNC2H1/HSPB11/IFT52/IFT74/TTC21A/TTC26/WDR19/WDR35",9
"10","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0007224","smoothened signaling pathway","15/358","138/18723",6.45907583762408e-08,5.04066278368183e-05,4.47647950683336e-05,"ARL3/B9D1/DYNC2H1/DZIP1/FGFR2/GAS8/GPC3/HHIP/HIPK1/HSPB11/IFT52/RACK1/TMEM231/TTC26/WDR19",15
"11","downregulated.Basal.ACN4.Infected.Llama","downregulated","Basal","ACN4","Infected","Llama","GO:0007018","microtubule-based movement","24/358","382/18723",3.7908300728652e-07,0.000246530315738667,0.000218937063155653,"ARL3/CFAP100/CFAP20/CFAP69/DAW1/DEFB1/DNAAF1/DNAH2/DNAH5/DPCD/DYNC2H1/GAS8/HSPB11/IFT52/IFT74/KATNB1/RHOT2/SLC9A3R1/SPAG17/TAC4/TTC21A/TTC26/WDR19/WDR35",24
