"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",32,"32/326","FOXJ1/CFAP54/CFAP65/SPEF2/ROPN1L/CFAP44/SPA17/SPATA6/CFAP69/IQCG/MORN2/CFAP43/PACRG/RFX2/MNS1/RSPH1/TTC21A/PLAT/IFT81/CETN2/IFTAP/MYCBPAP/TTC26/STRBP/DPCD/SPAG1/DYNLL1/SYNE1/MYCBP/DEFB1/PTGS2/TP63"
"GO:0022414","GO:0022414","reproductive process",58,"58/326","ALPL/FOXJ1/CCDC39/CFAP54/ENKUR/DNAH11/CFAP65/SPEF2/DNAH5/ROPN1L/TPPP3/CFAP45/CFAP44/MAPK15/DRC7/SPA17/BASP1/SPATA6/CFAP69/IQCG/CCDC40/MORN2/CFAP43/PACRG/RFX2/MNS1/RSPH1/TTC21A/PLAT/IFT81/MAP2K6/CETN2/EGR1/IFTAP/MYCBPAP/EPAS1/FOS/TTC26/GAS8/CCN1/MGST1/STRBP/DPCD/SPAG1/KITLG/DYNLL1/SYNE1/MYCBP/ZFP36L1/DEFB1/ITGB4/ADM/HSD17B2/RPL29/PTGS2/TP63/IGFBP2/SCGB1A1"
"GO:0032504","GO:0032504","multicellular organism reproduction",33,"33/326","FOXJ1/CFAP54/CFAP65/SPEF2/ROPN1L/TPPP3/CFAP44/SPA17/SPATA6/CFAP69/IQCG/MORN2/CFAP43/PACRG/RFX2/MNS1/RSPH1/TTC21A/IFT81/MAP2K6/CETN2/EGR1/IFTAP/MYCBPAP/TTC26/STRBP/DPCD/DYNLL1/SYNE1/MYCBP/DEFB1/PTGS2/TP63"
"GO:0001776","GO:0001776","leukocyte homeostasis",3,"3/326","CD74/KITLG/BCL10"
"GO:0002252","GO:0002252","immune effector process",6,"6/326","FOXJ1/CD74/TUBB4B/GRN/IL1R1/BCL10"
"GO:0002253","GO:0002253","activation of immune response",1,"1/326","BCL10"
"GO:0002262","GO:0002262","myeloid cell homeostasis",4,"4/326","EPAS1/KITLG/ZFP36L1/RPS14"
"GO:0002440","GO:0002440","production of molecular mediator of immune response",3,"3/326","CD74/IL1R1/BCL10"
"GO:0002507","GO:0002507","tolerance induction",1,"1/326","FOXJ1"
"GO:0002520","GO:0002520","immune system development",14,"14/326","FOXJ1/CD74/MLF1/JUN/EGR1/EPAS1/FOS/TRIB1/KITLG/ZFP36L1/EGR3/MYC/PTPRZ1/RPS14"
"GO:0002682","GO:0002682","regulation of immune system process",20,"20/326","FOXJ1/CD74/JUN/MAP2K6/FOS/ZDHHC1/SDC4/GRN/TRIB1/KITLG/ZFP36L1/IL1R1/EGR3/BCL10/HSPH1/MYC/PTPRS/IGFBP2/SCGB1A1/IL33"
"GO:0002683","GO:0002683","negative regulation of immune system process",8,"8/326","FOXJ1/CD74/SDC4/GRN/TRIB1/KITLG/MYC/SCGB1A1"
"GO:0002684","GO:0002684","positive regulation of immune system process",14,"14/326","FOXJ1/CD74/JUN/FOS/GRN/TRIB1/KITLG/ZFP36L1/IL1R1/EGR3/BCL10/HSPH1/IGFBP2/IL33"
"GO:0006955","GO:0006955","immune response",14,"14/326","FOXJ1/CD74/MAP2K6/TUBB4B/ZDHHC1/GRN/BPIFA1/IL1R1/APOBEC1/DEFB1/BCL10/PTPRS/NECTIN1/IL1R2"
"GO:0019882","GO:0019882","antigen processing and presentation",1,"1/326","CD74"
"GO:0045058","GO:0045058","T cell selection",1,"1/326","CD74"
"GO:0045321","GO:0045321","leukocyte activation",14,"14/326","FOXJ1/CD74/EGR1/SDC4/GRN/ZFP36L1/EGR3/BCL10/HSPH1/CD44/IGFBP2/NDRG1/SCGB1A1/IL33"
"GO:0050900","GO:0050900","leukocyte migration",5,"5/326","FOXJ1/CD74/KITLG/IL1R1/GCNT1"
"GO:0007611","GO:0007611","learning or memory",9,"9/326","DNAH11/MAP1A/JUN/RCAN1/FOS/ADGRF1/BTG2/PTPRZ1/PTGS2"
"GO:0007622","GO:0007622","rhythmic behavior",1,"1/326","EGR1"
"GO:0007626","GO:0007626","locomotory behavior",2,"2/326","EGR1/RCAN1"
"GO:0007631","GO:0007631","feeding behavior",2,"2/326","FOS/CFAP20"
"GO:0007635","GO:0007635","chemosensory behavior",1,"1/326","CFAP69"
"GO:0007638","GO:0007638","mechanosensory behavior",1,"1/326","STRBP"
"GO:0035176","GO:0035176","social behavior",1,"1/326","PCM1"
"GO:0048520","GO:0048520","positive regulation of behavior",1,"1/326","CFAP20"
"GO:0050795","GO:0050795","regulation of behavior",1,"1/326","CFAP20"
"GO:0006734","GO:0006734","NADH metabolic process",1,"1/326","MDH1"
