"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",4,"4/109","DEFB1/EIF2S2/BTG1/TP63"
"GO:0022414","GO:0022414","reproductive process",11,"11/109","EGR1/DEFB1/CCN1/EIF2S2/BTG1/SFRP1/JUNB/IGFBP2/RPL29/SCGB1A1/TP63"
"GO:0032504","GO:0032504","multicellular organism reproduction",7,"7/109","EGR1/DEFB1/EIF2S2/BTG1/SFRP1/JUNB/TP63"
"GO:0001776","GO:0001776","leukocyte homeostasis",1,"1/109","HMGB1"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",2,"2/109","HMGB1/TFRC"
"GO:0002252","GO:0002252","immune effector process",5,"5/109","RSAD2/HMGB1/CD81/TFRC/IL1R1"
"GO:0002253","GO:0002253","activation of immune response",4,"4/109","PRNP/HMGB1/CD81/RPS3"
"GO:0002262","GO:0002262","myeloid cell homeostasis",2,"2/109","HMGB1/RPS14"
"GO:0002440","GO:0002440","production of molecular mediator of immune response",4,"4/109","RSAD2/CD81/TFRC/IL1R1"
"GO:0002507","GO:0002507","tolerance induction",1,"1/109","HMGB1"
"GO:0002520","GO:0002520","immune system development",13,"13/109","EGR1/EGR3/RSAD2/HMGB1/CD81/MYC/TFRC/SFRP1/PABPC4/JUNB/NME2/RPS14/LMO4"
"GO:0002682","GO:0002682","regulation of immune system process",14,"14/109","EGR3/PRNP/RSAD2/HMGB1/CD81/MYC/TFRC/RPS3/SFRP1/NME2/IL1R1/IGFBP2/SCGB1A1/IL33"
"GO:0002683","GO:0002683","negative regulation of immune system process",6,"6/109","PRNP/HMGB1/MYC/SFRP1/NME2/SCGB1A1"
"GO:0002684","GO:0002684","positive regulation of immune system process",10,"10/109","EGR3/PRNP/RSAD2/HMGB1/CD81/TFRC/RPS3/IL1R1/IGFBP2/IL33"
"GO:0006955","GO:0006955","immune response",10,"10/109","BPIFA1/DEFB1/RPL13A/PRNP/RSAD2/HMGB1/CD81/TFRC/RPS3/IL1R1"
"GO:0019882","GO:0019882","antigen processing and presentation",1,"1/109","PSME1"
"GO:0031294","GO:0031294","lymphocyte costimulation",1,"1/109","CD81"
"GO:0045321","GO:0045321","leukocyte activation",12,"12/109","EGR1/EGR3/PRNP/RSAD2/HMGB1/CD81/TFRC/RPS3/SFRP1/IGFBP2/SCGB1A1/IL33"
"GO:0050900","GO:0050900","leukocyte migration",3,"3/109","HMGB1/CD81/IL1R1"
"GO:0090713","GO:0090713","immunological memory process",1,"1/109","CD81"
"GO:0007611","GO:0007611","learning or memory",2,"2/109","BTG2/PRNP"
"GO:0007622","GO:0007622","rhythmic behavior",1,"1/109","EGR1"
"GO:0007626","GO:0007626","locomotory behavior",1,"1/109","EGR1"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",79,"79/109","EGR1/RBM3/CCN1/RPL13A/CCN2/SULT1E1/BTG2/HPSE/CAPNS1/EGR3/RPL13/P4HB/PRNP/NCL/EIF2S2/HNRNPA1/RPL5/WARS1/EIF5A/SERPINB1/MPST/RACK1/ATP5F1B/HMGB1/RPS5/CBX3/TGM2/RPL35/APLP2/CD81/BTG1/MYC/CIRBP/RPL31/RPL23A/RPL19/TFRC/RPLP0/EIF3K/RPS11/RPS3/RPL18/RPL4/RPL18A/SFRP1/TPI1/PABPC4/JUNB/RPS4X/PSME1/DUSP6/NIBAN1/RPS18/RPL6/DSP/NME2/RPS14/RPL8/NR4A1/MUC1/RPL24/RPS9/RPS8/RPL14/RPL12/RPL17/CRLF1/TFCP2L1/OAT/RPL29/LMO4/RPS25/TIMP3/EEF1B2/NPNT/SCGB1A1/TP63/IL33/DNAJB1"
"GO:0009056","GO:0009056","catabolic process",17,"17/109","SULT1E1/BTG2/HPSE/CAPNS1/RPL5/MPST/RACK1/HMGB1/CD81/CIRBP/TPI1/ALDH2/PABPC4/PSME1/OAT/TIMP3/SCGB1A1"
"GO:0009058","GO:0009058","biosynthetic process",67,"67/109","EGR1/RBM3/CCN1/RPL13A/CCN2/BTG2/EGR3/RPL13/PRNP/NCL/EIF2S2/HNRNPA1/RPL5/WARS1/EIF5A/MPST/RACK1/ATP5F1B/HMGB1/RPS5/CBX3/RPL35/CD81/BTG1/MYC/CIRBP/RPL31/RPL23A/RPL19/TFRC/RPLP0/EIF3K/RPS11/RPS3/RPL18/RPL4/RPL18A/SFRP1/TPI1/PABPC4/JUNB/RPS4X/NIBAN1/RPS18/RPL6/NME2/RPS14/RPL8/NR4A1/MUC1/RPL24/RPS9/RPS8/RPL14/RPL12/RPL17/TFCP2L1/OAT/RPL29/LMO4/RPS25/EEF1B2/NPNT/SCGB1A1/TP63/IL33/DNAJB1"
"GO:0009892","GO:0009892","negative regulation of metabolic process",30,"30/109","EGR1/RPL13A/CCN2/BTG2/PRNP/NCL/HNRNPA1/RPL5/WARS1/SERPINB1/RACK1/HMGB1/CBX3/APLP2/MYC/CIRBP/RPS3/SFRP1/PABPC4/DUSP6/NIBAN1/RPS14/NR4A1/MUC1/TFCP2L1/TIMP3/SCGB1A1/TP63/IL33/DNAJB1"
"GO:0009893","GO:0009893","positive regulation of metabolic process",38,"38/109","EGR1/RBM3/CCN1/CCN2/BTG2/HPSE/EGR3/PRNP/NCL/HNRNPA1/RPL5/WARS1/RSAD2/EIF5A/RACK1/HMGB1/CD81/MYC/CIRBP/TFRC/RPS3/SFRP1/JUNB/RPS4X/PSME1/NIBAN1/NME2/IL1R1/NR4A1/MUC1/RPS9/CRLF1/TFCP2L1/LMO4/NPNT/TP63/IL33/DNAJA4"
"GO:0019222","GO:0019222","regulation of metabolic process",54,"54/109","EGR1/ATP1B1/RBM3/CCN1/RPL13A/CCN2/BTG2/HPSE/CAPNS1/EGR3/PRNP/NCL/HNRNPA1/RPL5/WARS1/RSAD2/EIF5A/SERPINB1/RACK1/HMGB1/CBX3/APLP2/CD81/BTG1/MYC/CIRBP/TFRC/EIF3K/RPS3/SFRP1/PABPC4/JUNB/RPS4X/PSME1/DUSP6/NIBAN1/RPL6/NME2/NPC2/IL1R1/RPS14/NR4A1/MUC1/RPS9/CRLF1/TFCP2L1/LMO4/TIMP3/NPNT/SCGB1A1/TP63/IL33/DNAJB1/DNAJA4"
"GO:0032259","GO:0032259","methylation",3,"3/109","BTG2/BTG1/MYC"
"GO:0032963","GO:0032963","collagen metabolic process",1,"1/109","CCN2"
"GO:0042445","GO:0042445","hormone metabolic process",2,"2/109","EGR1/SULT1E1"
"GO:0044237","GO:0044237","cellular metabolic process",81,"81/109","EGR1/RBM3/CCN1/RPL13A/CCN2/SULT1E1/BTG2/HPSE/CAPNS1/EGR3/RPL13/P4HB/PRNP/NCL/EIF2S2/HNRNPA1/RPL5/WARS1/EIF5A/SERPINB1/MPST/RACK1/ATP5F1B/HMGB1/RPS5/CBX3/TGM2/RPL35/APLP2/CD81/BTG1/MYC/CIRBP/RPL31/RPL23A/RPL19/TFRC/RPLP0/EIF3K/RPS11/RPS3/RPL18/RPL4/RPL18A/SFRP1/TPI1/ALDH2/PABPC4/JUNB/RPS4X/PSME1/DUSP6/NIBAN1/RPS18/RPL6/DSP/NME2/NPC2/RPS14/RPL8/NR4A1/MUC1/RPL24/RPS9/RPS8/RPL14/RPL12/RPL17/CRLF1/TFCP2L1/OAT/RPL29/LMO4/RPS25/TIMP3/EEF1B2/NPNT/SCGB1A1/TP63/IL33/DNAJB1"
"GO:0044238","GO:0044238","primary metabolic process",81,"81/109","EGR1/RBM3/CCN1/RPL13A/CCN2/SULT1E1/BTG2/HPSE/CAPNS1/EGR3/RPL13/P4HB/PRNP/NCL/EIF2S2/HNRNPA1/RPL5/WARS1/EIF5A/SERPINB1/MPST/RACK1/ATP5F1B/HMGB1/RPS5/CBX3/TGM2/RPL35/APLP2/CD81/BTG1/MYC/CIRBP/RPL31/RPL23A/RPL19/TFRC/RPLP0/EIF3K/RPS11/RPS3/RPL18/RPL4/RPL18A/SFRP1/TPI1/ALDH2/PABPC4/JUNB/RPS4X/PSME1/DUSP6/NIBAN1/RPS18/RPL6/DSP/NME2/NPC2/RPS14/RPL8/NR4A1/MUC1/RPL24/RPS9/RPS8/RPL14/RPL12/RPL17/CRLF1/TFCP2L1/OAT/RPL29/LMO4/RPS25/TIMP3/EEF1B2/NPNT/SCGB1A1/TP63/IL33/DNAJB1"
