"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007015","GO:0007015","actin filament organization","13/91","442/18723",2.13645366360226e-07,0.000252860834370098,0.000210160455860974,"HSP90B1/TPM4/SDC4/CD47/SORBS2/CALD1/TMSB10/RHOB/S100A10/ICAM1/CDC42EP3/NOX4/TPM1",13
"GO:0046683","GO:0046683","response to organophosphorus","8/91","131/18723",2.4185636955533e-07,0.000252860834370098,0.000210160455860974,"JUN/DUSP1/HSP90B1/HSPA5/SDC1/FOSB/NOX4/PTGS2",8
"GO:0002181","GO:0002181","cytoplasmic translation","8/91","148/18723",6.15738297877193e-07,0.000321877195215302,0.000267522086788222,"RPS29/RPS27/RPL37/EIF4A2/RPL30/RPS13/RPS23/RPL21",8
"GO:0014074","GO:0014074","response to purine-containing compound","8/91","148/18723",6.15738297877193e-07,0.000321877195215302,0.000267522086788222,"JUN/DUSP1/HSP90B1/HSPA5/SDC1/FOSB/NOX4/PTGS2",8
"GO:0043618","GO:0043618","regulation of transcription from RNA polymerase II promoter in response to stress","5/91","47/18723",3.16928181349101e-06,0.000974197363950451,0.000809685543498299,"JUN/ATF3/HSPA5/VEGFA/KLF2",5
"GO:0007565","GO:0007565","female pregnancy","8/91","193/18723",4.51205877279779e-06,0.000974197363950451,0.000809685543498299,"SPP1/ACSL4/NR2F2/TPPP3/FOSB/MMP7/VEGFA/PTGS2",8
"GO:0036003","GO:0036003","positive regulation of transcription from RNA polymerase II promoter in response to stress","4/91","24/18723",5.15042062044311e-06,0.000974197363950451,0.000809685543498299,"ATF3/HSPA5/VEGFA/KLF2",4
"GO:0051496","GO:0051496","positive regulation of stress fiber assembly","5/91","52/18723",5.26801184244825e-06,0.000974197363950451,0.000809685543498299,"SDC4/CD47/S100A10/NOX4/TPM1",5
"GO:0001657","GO:0001657","ureteric bud development","6/91","91/18723",5.33776961206803e-06,0.000974197363950451,0.000809685543498299,"FOXJ1/SDC4/BASP1/EPCAM/SDC1/VEGFA",6
"GO:0072163","GO:0072163","mesonephric epithelium development","6/91","92/18723",5.68801656203047e-06,0.000974197363950451,0.000809685543498299,"FOXJ1/SDC4/BASP1/EPCAM/SDC1/VEGFA",6
"GO:0072164","GO:0072164","mesonephric tubule development","6/91","92/18723",5.68801656203047e-06,0.000974197363950451,0.000809685543498299,"FOXJ1/SDC4/BASP1/EPCAM/SDC1/VEGFA",6
"GO:0043620","GO:0043620","regulation of DNA-templated transcription in response to stress","5/91","53/18723",5.79456175215266e-06,0.000974197363950451,0.000809685543498299,"JUN/ATF3/HSPA5/VEGFA/KLF2",5
"GO:0051591","GO:0051591","response to cAMP","6/91","93/18723",6.05670288443609e-06,0.000974197363950451,0.000809685543498299,"JUN/DUSP1/HSPA5/SDC1/FOSB/NOX4",6
"GO:0001823","GO:0001823","mesonephros development","6/91","96/18723",7.28080432596743e-06,0.00108744013182842,0.000903805108434002,"FOXJ1/SDC4/BASP1/EPCAM/SDC1/VEGFA",6
"GO:0006979","GO:0006979","response to oxidative stress","11/91","446/18723",1.05688432498042e-05,0.00142821332840775,0.00118703224606771,"JUN/TXNIP/DUSP1/PON2/SRXN1/OXR1/SDC1/RHOB/TPM1/KLF2/PTGS2",11
"GO:0051017","GO:0051017","actin filament bundle assembly","7/91","157/18723",1.14398288931825e-05,0.00142821332840775,0.00118703224606771,"HSP90B1/SDC4/CD47/CALD1/S100A10/NOX4/TPM1",7
"GO:0044706","GO:0044706","multi-multicellular organism process","8/91","220/18723",1.17749127524327e-05,0.00142821332840775,0.00118703224606771,"SPP1/ACSL4/NR2F2/TPPP3/FOSB/MMP7/VEGFA/PTGS2",8
"GO:0060135","GO:0060135","maternal process involved in female pregnancy","5/91","62/18723",1.26245557687999e-05,0.00142821332840775,0.00118703224606771,"SPP1/NR2F2/TPPP3/MMP7/PTGS2",5
"GO:0061572","GO:0061572","actin filament bundle organization","7/91","161/18723",1.34763247263753e-05,0.00142821332840775,0.00118703224606771,"HSP90B1/SDC4/CD47/CALD1/S100A10/NOX4/TPM1",7
"GO:0032233","GO:0032233","positive regulation of actin filament bundle assembly","5/91","63/18723",1.36605770292468e-05,0.00142821332840775,0.00118703224606771,"SDC4/CD47/S100A10/NOX4/TPM1",5
"GO:0034975","GO:0034975","protein folding in endoplasmic reticulum","3/91","11/18723",1.78171602876485e-05,0.00177408010292728,0.00147449281377983,"HSP90B1/HSPA5/PDIA3",3
"GO:0001893","GO:0001893","maternal placenta development","4/91","35/18723",2.43628043506919e-05,0.00231557381351349,0.00192454497526279,"SPP1/NR2F2/TPPP3/PTGS2",4
"GO:0060428","GO:0060428","lung epithelium development","4/91","37/18723",3.0503073725138e-05,0.00277312726779406,0.00230483179497496,"FOXJ1/AGR2/SRSF6/KLF2",4
"GO:0048608","GO:0048608","reproductive structure development","10/91","424/18723",3.99709048177655e-05,0.0033463606934856,0.00278126381481775,"CCN1/HSPA5/SPP1/BASP1/NR2F2/SDC1/TPPP3/ICAM1/VEGFA/PTGS2",10
"GO:0048545","GO:0048545","response to steroid hormone","9/91","339/18723",4.0009094852769e-05,0.0033463606934856,0.00278126381481775,"TXNIP/DUSP1/SPP1/ZFP36/PMEPA1/SDC1/FOSB/ICAM1/PTGS2",9
"GO:0061458","GO:0061458","reproductive system development","10/91","427/18723",4.24163126881046e-05,0.00341125037810872,0.00283519563757331,"CCN1/HSPA5/SPP1/BASP1/NR2F2/SDC1/TPPP3/ICAM1/VEGFA/PTGS2",10
"GO:0072073","GO:0072073","kidney epithelium development","6/91","136/18723",5.28391188061633e-05,0.00409209620087731,0.00340106764713355,"FOXJ1/SDC4/BASP1/EPCAM/SDC1/VEGFA",6
"GO:0060541","GO:0060541","respiratory system development","7/91","203/18723",5.95322407912859e-05,0.00436114823193327,0.00362468510706126,"FOXJ1/DNAAF1/AGR2/BASP1/SRSF6/VEGFA/KLF2",7
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","9/91","358/18723",6.09759782220221e-05,0.00436114823193327,0.00362468510706126,"SDC4/CD47/TMSB10/RHOB/S100A10/ICAM1/CDC42EP3/NOX4/TPM1",9
"GO:0110053","GO:0110053","regulation of actin filament organization","8/91","278/18723",6.25702759244372e-05,0.00436114823193327,0.00362468510706126,"SDC4/CD47/TMSB10/S100A10/ICAM1/CDC42EP3/NOX4/TPM1",8
"GO:1902905","GO:1902905","positive regulation of supramolecular fiber organization","7/91","209/18723",7.1517216465988e-05,0.00482395160098003,0.00400933529322058,"SDC4/CD47/S100A10/ICAM1/CDC42EP3/NOX4/TPM1",7
"GO:0042542","GO:0042542","response to hydrogen peroxide","6/91","146/18723",7.84081062234005e-05,0.00505068232631915,0.00419777820773385,"JUN/TXNIP/DUSP1/SDC1/RHOB/KLF2",6
"GO:0051492","GO:0051492","regulation of stress fiber assembly","5/91","91/18723",8.12191785853261e-05,0.00505068232631915,0.00419777820773385,"SDC4/CD47/S100A10/NOX4/TPM1",5
"GO:0010038","GO:0010038","response to metal ion","9/91","373/18723",8.34852199349583e-05,0.00505068232631915,0.00419777820773385,"JUN/TXNIP/DUSP1/HSPA5/APOBEC1/SDC1/FOSB/ICAM1/PTGS2",9
"GO:0051384","GO:0051384","response to glucocorticoid","6/91","148/18723",8.45403545773172e-05,0.00505068232631915,0.00419777820773385,"DUSP1/ZFP36/SDC1/FOSB/ICAM1/PTGS2",6
"GO:0051592","GO:0051592","response to calcium ion","6/91","149/18723",8.77465735568499e-05,0.00509661348076037,0.0042359530100105,"TXNIP/DUSP1/HSPA5/APOBEC1/SDC1/FOSB",6
"GO:0031667","GO:0031667","response to nutrient levels","10/91","474/18723",0.000101109667045935,0.00571406253494733,0.00474913400548619,"JUN/ATF3/KRT18/HSPA5/SPP1/ACSL4/ZFP36/ICAM1/MMP7/PTGS2",10
"GO:0000302","GO:0000302","response to reactive oxygen species","7/91","222/18723",0.000104315165149644,0.00574007921915543,0.00477075727595742,"JUN/TXNIP/DUSP1/SDC1/RHOB/TPM1/KLF2",7
"GO:0051495","GO:0051495","positive regulation of cytoskeleton organization","7/91","226/18723",0.000116566375766068,0.00624975106991918,0.00519436130606689,"SDC4/CD47/S100A10/ICAM1/CDC42EP3/NOX4/TPM1",7
"GO:0110020","GO:0110020","regulation of actomyosin structure organization","5/91","100/18723",0.000127053370605426,0.0065000607023322,0.00540240137911876,"SDC4/CD47/S100A10/NOX4/TPM1",5
"GO:0007566","GO:0007566","embryo implantation","4/91","53/18723",0.000127452170633965,0.0065000607023322,0.00540240137911876,"SPP1/TPPP3/VEGFA/PTGS2",4
"GO:0032970","GO:0032970","regulation of actin filament-based process","9/91","397/18723",0.000133873770503809,0.00666500128865394,0.00553948859904234,"SDC4/CD47/TMSB10/RHOB/S100A10/ICAM1/CDC42EP3/NOX4/TPM1",9
"GO:0048008","GO:0048008","platelet-derived growth factor receptor signaling pathway","4/91","56/18723",0.000158096690306811,0.00743662262749054,0.00618080694605295,"TXNIP/PLAT/VEGFA/F3",4
"GO:0032231","GO:0032231","regulation of actin filament bundle assembly","5/91","105/18723",0.000159878284218288,0.00743662262749054,0.00618080694605295,"SDC4/CD47/S100A10/NOX4/TPM1",5
"GO:0031960","GO:0031960","response to corticosteroid","6/91","167/18723",0.00016403466823892,0.00743662262749054,0.00618080694605295,"DUSP1/ZFP36/SDC1/FOSB/ICAM1/PTGS2",6
"GO:0030038","GO:0030038","contractile actin filament bundle assembly","5/91","106/18723",0.000167155075797253,0.00743662262749054,0.00618080694605295,"SDC4/CD47/S100A10/NOX4/TPM1",5
"GO:0043149","GO:0043149","stress fiber assembly","5/91","106/18723",0.000167155075797253,0.00743662262749054,0.00618080694605295,"SDC4/CD47/S100A10/NOX4/TPM1",5
"GO:0060487","GO:0060487","lung epithelial cell differentiation","3/91","23/18723",0.000183322223541869,0.00798597436304269,0.00663739015499181,"FOXJ1/AGR2/KLF2",3
"GO:0060479","GO:0060479","lung cell differentiation","3/91","24/18723",0.00020877533824493,0.00883506737093827,0.00734309760095602,"FOXJ1/AGR2/KLF2",3
"GO:0042060","GO:0042060","wound healing","9/91","422/18723",0.000211264164776142,0.00883506737093827,0.00734309760095602,"CCN1/PLAT/SDC4/SRSF6/HBEGF/SDC1/VEGFA/TPM1/F3",9
"GO:0030324","GO:0030324","lung development","6/91","177/18723",0.000224856744928651,0.00921912654207468,0.00766230105009705,"FOXJ1/DNAAF1/AGR2/SRSF6/VEGFA/KLF2",6
"GO:0045428","GO:0045428","regulation of nitric oxide biosynthetic process","4/91","62/18723",0.000234845161989485,0.0094434852638464,0.00784877251912226,"CD47/ICAM1/KLF2/PTGS2",4
"GO:0048660","GO:0048660","regulation of smooth muscle cell proliferation","6/91","180/18723",0.000246196852331744,0.00971316260803164,0.00807290969612134,"JUN/TRIB1/ABCC4/HBEGF/TPM1/PTGS2",6
"GO:0030323","GO:0030323","respiratory tube development","6/91","181/18723",0.000253653854597267,0.00982204092523861,0.00816340183119079,"FOXJ1/DNAAF1/AGR2/SRSF6/VEGFA/KLF2",6
"GO:0080164","GO:0080164","regulation of nitric oxide metabolic process","4/91","64/18723",0.000265512659642937,0.00994381920381705,0.00826461552291875,"CD47/ICAM1/KLF2/PTGS2",4
"GO:0046697","GO:0046697","decidualization","3/91","26/18723",0.000266309839987448,0.00994381920381705,0.00826461552291875,"SPP1/TPPP3/PTGS2",3
"GO:0048659","GO:0048659","smooth muscle cell proliferation","6/91","184/18723",0.000277096895805778,0.0101650808619278,0.00844851292659907,"JUN/TRIB1/ABCC4/HBEGF/TPM1/PTGS2",6
"GO:0051348","GO:0051348","negative regulation of transferase activity","7/91","268/18723",0.000330981023042705,0.0116420511845354,0.00967606861771901,"RPL37/DUSP1/EIF4A2/TRIB1/NR2F2/ZFP36/SPRED1",7
"GO:0051894","GO:0051894","positive regulation of focal adhesion assembly","3/91","28/18723",0.000333199357643689,0.0116420511845354,0.00967606861771901,"SDC4/S100A10/VEGFA",3
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","5/91","123/18723",0.000334061726959409,0.0116420511845354,0.00967606861771901,"CCN1/SDC4/AGR2/S100A10/VEGFA",5
"GO:1901654","GO:1901654","response to ketone","6/91","194/18723",0.000367779761248764,0.0126070078814945,0.010478073957234,"TXNIP/DUSP1/SPP1/FOSB/ICAM1/KLF2",6
"GO:0009410","GO:0009410","response to xenobiotic stimulus","9/91","462/18723",0.000410547116471364,0.013846032589381,0.0115078656926014,"JUN/TXNIP/ABCC4/HSPA5/APOBEC1/FOSB/S100A10/ICAM1/PTGS2",9
"GO:0006809","GO:0006809","nitric oxide biosynthetic process","4/91","76/18723",0.00051286989955476,0.0170223961899842,0.0141478396685866,"CD47/ICAM1/KLF2/PTGS2",4
"GO:0150117","GO:0150117","positive regulation of cell-substrate junction organization","3/91","33/18723",0.000545262922633171,0.0177662732823819,0.0147660989147537,"SDC4/S100A10/VEGFA",3
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","8/91","383/18723",0.000552275353110868,0.0177662732823819,0.0147660989147537,"SDC4/CD47/TMSB10/S100A10/ICAM1/CDC42EP3/NOX4/TPM1",8
"GO:0001822","GO:0001822","kidney development","7/91","293/18723",0.000564196460577174,0.0178747696828314,0.0148562736270002,"FOXJ1/SDC4/BASP1/EPCAM/SDC1/COL4A4/VEGFA",7
"GO:0046209","GO:0046209","nitric oxide metabolic process","4/91","81/18723",0.000652913463284307,0.0203767470407088,0.0169357443500769,"CD47/ICAM1/KLF2/PTGS2",4
"GO:0072001","GO:0072001","renal system development","7/91","302/18723",0.000674641077212692,0.020510261668115,0.0170467124841088,"FOXJ1/SDC4/BASP1/EPCAM/SDC1/COL4A4/VEGFA",7
"GO:2001057","GO:2001057","reactive nitrogen species metabolic process","4/91","82/18723",0.000683867084979923,0.020510261668115,0.0170467124841088,"CD47/ICAM1/KLF2/PTGS2",4
"GO:0001890","GO:0001890","placenta development","5/91","144/18723",0.000686618037670038,0.020510261668115,0.0170467124841088,"CCN1/SPP1/NR2F2/TPPP3/PTGS2",5
"GO:0008406","GO:0008406","gonad development","6/91","221/18723",0.000731084839018071,0.0215309633575604,0.0178950492100643,"HSPA5/BASP1/NR2F2/SDC1/ICAM1/VEGFA",6
"GO:0001666","GO:0001666","response to hypoxia","7/91","307/18723",0.000743032991845938,0.0215789164715258,0.0179349045254041,"HSP90B1/PLAT/PLOD2/ICAM1/NOX4/VEGFA/PTGS2",7
