"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","21/118","356/18723",7.18423869957395e-15,1.8413203787008e-11,1.43155409034668e-11,"ENO1/SFRP1/CLU/TMBIM6/PDIA3/ITM2C/GPX1/EIF5A/HSPB1/RACK1/NFE2L2/PTTG1IP/NONO/ERP29/RPS3/P4HB/MAGED1/TMBIM1/ITGAV/MUC1/PTGS2",21
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","15/118","164/18723",1.19024538417288e-13,1.52529945981754e-10,1.18586026959961e-10,"ENO1/CLU/TMBIM6/GPX1/EIF5A/HSPB1/RACK1/NFE2L2/PTTG1IP/NONO/ERP29/RPS3/P4HB/MUC1/PTGS2",15
"GO:0006979","GO:0006979","response to oxidative stress","20/118","446/18723",5.40407265161311e-12,4.61687940202814e-09,3.58944194017671e-09,"PRDX1/NFE2L1/GPX1/APP/HSPB1/RACK1/NQO1/NFE2L2/NONO/CAT/CHCHD2/RPS3/PRDX3/PON2/PRNP/HMOX2/P4HB/GPX3/EPAS1/PTGS2",20
"GO:0097193","GO:0097193","intrinsic apoptotic signaling pathway","15/118","288/18723",3.88214406465313e-10,2.48748380942649e-07,1.93392071431273e-07,"ENO1/CLU/TMBIM6/GPX1/EIF5A/HSPB1/RACK1/NFE2L2/PTTG1IP/NONO/ERP29/RPS3/P4HB/MUC1/PTGS2",15
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","10/118","98/18723",5.90307999570879e-10,3.02591880580033e-07,2.35253272250037e-07,"ENO1/CLU/TMBIM6/GPX1/HSPB1/NFE2L2/PTTG1IP/NONO/MUC1/PTGS2",10
"GO:0001666","GO:0001666","response to hypoxia","14/118","307/18723",8.53560860066298e-09,3.64612747391654e-06,2.83472054053597e-06,"ENO1/SFRP1/TMBIM6/RHOA/PAM/PGK1/NFE2L2/CAT/CHCHD2/HMOX2/P4HB/EPAS1/STC1/PTGS2",14
"GO:0036293","GO:0036293","response to decreased oxygen levels","14/118","322/18723",1.56070096838803e-08,5.71439511711219e-06,4.44271719271962e-06,"ENO1/SFRP1/TMBIM6/RHOA/PAM/PGK1/NFE2L2/CAT/CHCHD2/HMOX2/P4HB/EPAS1/STC1/PTGS2",14
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","12/118","224/18723",1.7916587894522e-08,5.7400268467075e-06,4.46264485320135e-06,"ENO1/CLU/TMBIM6/GPX1/HSPB1/NFE2L2/PTTG1IP/NONO/TMBIM1/ITGAV/MUC1/PTGS2",12
"GO:0062197","GO:0062197","cellular response to chemical stress","14/118","337/18723",2.76457431255518e-08,7.87289329230992e-06,6.12086453060463e-06,"PRDX1/NFE2L1/GPX1/HSPB1/RACK1/NQO1/NFE2L2/NONO/CHCHD2/RPS3/PRDX3/P4HB/EPAS1/PTGS2",14
"GO:0002181","GO:0002181","cytoplasmic translation","10/118","148/18723",3.29910933439005e-08,7.8747827002033e-06,6.12233347084414e-06,"RPS29/RPL39/RPL13/RPL23A/EIF4H/RPL13A/RPS3/RPL12/RPS10/RPL18A",10
"GO:0034599","GO:0034599","cellular response to oxidative stress","13/118","288/18723",3.3904875325192e-08,7.8747827002033e-06,6.12233347084414e-06,"PRDX1/NFE2L1/GPX1/HSPB1/RACK1/NQO1/NFE2L2/NONO/CHCHD2/RPS3/PRDX3/P4HB/EPAS1",13
"GO:0070482","GO:0070482","response to oxygen levels","14/118","347/18723",3.98221204484116e-08,7.8747827002033e-06,6.12233347084414e-06,"ENO1/SFRP1/TMBIM6/RHOA/PAM/PGK1/NFE2L2/CAT/CHCHD2/HMOX2/P4HB/EPAS1/STC1/PTGS2",14
"GO:0071456","GO:0071456","cellular response to hypoxia","10/118","151/18723",3.99423234891311e-08,7.8747827002033e-06,6.12233347084414e-06,"ENO1/SFRP1/TMBIM6/PGK1/NFE2L2/CHCHD2/P4HB/EPAS1/STC1/PTGS2",10
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","10/118","161/18723",7.33585860644381e-08,1.34298611487968e-05,1.04411882270663e-05,"ENO1/SFRP1/TMBIM6/PGK1/NFE2L2/CHCHD2/P4HB/EPAS1/STC1/PTGS2",10
"GO:0071453","GO:0071453","cellular response to oxygen levels","10/118","177/18723",1.78551753228495e-07,3.05085429016422e-05,2.37191907973011e-05,"ENO1/SFRP1/TMBIM6/PGK1/NFE2L2/CHCHD2/P4HB/EPAS1/STC1/PTGS2",10
"GO:0098869","GO:0098869","cellular oxidant detoxification","8/118","101/18723",2.42981113043761e-07,3.89225370456975e-05,3.02607399336737e-05,"PRDX1/GPX1/NQO1/NFE2L2/CAT/PRDX3/GPX3/PTGS2",8
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","11/118","256/18723",6.63962872972732e-07,0.000100102167260536,7.78254934078875e-05,"CALR/CLU/TMBIM6/PDIA3/RACK1/NFE2L2/ERP29/TMCO1/P4HB/CCND1/AGR2",11
"GO:1990748","GO:1990748","cellular detoxification","8/118","116/18723",7.06224221699418e-07,0.000100558482234201,7.81802603319882e-05,"PRDX1/GPX1/NQO1/NFE2L2/CAT/PRDX3/GPX3/PTGS2",8
"GO:0006457","GO:0006457","protein folding","10/118","212/18723",9.42457555345982e-07,0.000123124838866685,9.57247140376759e-05,"CALR/CLU/PDIA3/GRN/B2M/TBCA/HSPB1/CRTAP/ERP29/P4HB",10
"GO:1902175","GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","5/118","29/18723",9.60786881519198e-07,0.000123124838866685,9.57247140376759e-05,"GPX1/HSPB1/NFE2L2/NONO/P4HB",5
"GO:0097237","GO:0097237","cellular response to toxic substance","8/118","124/18723",1.17369565489251e-06,0.000143246760166167,0.000111368715524387,"PRDX1/GPX1/NQO1/NFE2L2/CAT/PRDX3/GPX3/PTGS2",8
"GO:0043542","GO:0043542","endothelial cell migration","11/118","279/18723",1.54327742263677e-06,0.000178833613105658,0.000139036092411857,"CALR/ATP5F1B/GPX1/RHOA/GRN/HSPB1/ATP5F1A/RAC1/NFE2L2/STC1/PTGS2",11
