"","ID","Description","Count","GeneRatio","geneID"
"GO:0002682","GO:0002682","regulation of immune system process",20,"20/326","FOXJ1/CD74/JUN/MAP2K6/FOS/ZDHHC1/SDC4/GRN/TRIB1/KITLG/ZFP36L1/IL1R1/EGR3/BCL10/HSPH1/MYC/PTPRS/IGFBP2/SCGB1A1/IL33"
"GO:0002520","GO:0002520","immune system development",14,"14/326","FOXJ1/CD74/MLF1/JUN/EGR1/EPAS1/FOS/TRIB1/KITLG/ZFP36L1/EGR3/MYC/PTPRZ1/RPS14"
"GO:0002684","GO:0002684","positive regulation of immune system process",14,"14/326","FOXJ1/CD74/JUN/FOS/GRN/TRIB1/KITLG/ZFP36L1/IL1R1/EGR3/BCL10/HSPH1/IGFBP2/IL33"
"GO:0006955","GO:0006955","immune response",14,"14/326","FOXJ1/CD74/MAP2K6/TUBB4B/ZDHHC1/GRN/BPIFA1/IL1R1/APOBEC1/DEFB1/BCL10/PTPRS/NECTIN1/IL1R2"
"GO:0002683","GO:0002683","negative regulation of immune system process",8,"8/326","FOXJ1/CD74/SDC4/GRN/TRIB1/KITLG/MYC/SCGB1A1"
"GO:0002252","GO:0002252","immune effector process",6,"6/326","FOXJ1/CD74/TUBB4B/GRN/IL1R1/BCL10"
"GO:0002440","GO:0002440","production of molecular mediator of immune response",3,"3/326","CD74/IL1R1/BCL10"
"GO:0002253","GO:0002253","activation of immune response",1,"1/326","BCL10"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",0,"0/326",""
"GO:0090713","GO:0090713","immunological memory process",0,"0/326",""
