"","ID","Description","Count","GeneRatio","geneID"
"GO:0002682","GO:0002682","regulation of immune system process",14,"14/109","EGR3/PRNP/RSAD2/HMGB1/CD81/MYC/TFRC/RPS3/SFRP1/NME2/IL1R1/IGFBP2/SCGB1A1/IL33"
"GO:0002520","GO:0002520","immune system development",13,"13/109","EGR1/EGR3/RSAD2/HMGB1/CD81/MYC/TFRC/SFRP1/PABPC4/JUNB/NME2/RPS14/LMO4"
"GO:0002684","GO:0002684","positive regulation of immune system process",10,"10/109","EGR3/PRNP/RSAD2/HMGB1/CD81/TFRC/RPS3/IL1R1/IGFBP2/IL33"
"GO:0006955","GO:0006955","immune response",10,"10/109","BPIFA1/DEFB1/RPL13A/PRNP/RSAD2/HMGB1/CD81/TFRC/RPS3/IL1R1"
"GO:0002683","GO:0002683","negative regulation of immune system process",6,"6/109","PRNP/HMGB1/MYC/SFRP1/NME2/SCGB1A1"
"GO:0002252","GO:0002252","immune effector process",5,"5/109","RSAD2/HMGB1/CD81/TFRC/IL1R1"
"GO:0002253","GO:0002253","activation of immune response",4,"4/109","PRNP/HMGB1/CD81/RPS3"
"GO:0002440","GO:0002440","production of molecular mediator of immune response",4,"4/109","RSAD2/CD81/TFRC/IL1R1"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",2,"2/109","HMGB1/TFRC"
"GO:0090713","GO:0090713","immunological memory process",1,"1/109","CD81"
