"","ID","Description","Count","GeneRatio","geneID"
"GO:0002682","GO:0002682","regulation of immune system process",9,"9/97","JUN/FOXJ1/DUSP1/TRIB1/SDC4/CD47/ZFP36/ICAM1/VEGFA"
"GO:0006955","GO:0006955","immune response",7,"7/97","FOXJ1/RPL30/CD47/APOBEC1/FCGRT/BPIFA1/ICAM1"
"GO:0002520","GO:0002520","immune system development",6,"6/97","JUN/FOXJ1/TRIB1/ZFP36/VEGFA/KLF2"
"GO:0002684","GO:0002684","positive regulation of immune system process",6,"6/97","JUN/FOXJ1/TRIB1/CD47/ICAM1/VEGFA"
"GO:0002683","GO:0002683","negative regulation of immune system process",5,"5/97","FOXJ1/DUSP1/TRIB1/SDC4/CD47"
"GO:0002252","GO:0002252","immune effector process",3,"3/97","FOXJ1/CD47/ICAM1"
"GO:0002253","GO:0002253","activation of immune response",1,"1/97","CD47"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",0,"0/97",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",0,"0/97",""
"GO:0090713","GO:0090713","immunological memory process",0,"0/97",""
