"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",5,"5/97","FOXJ1/PLAT/NR2F2/CETN2/PTGS2"
"GO:0022414","GO:0022414","reproductive process",17,"17/97","FOXJ1/CCN1/DUSP1/PLAT/HSPA5/SPP1/ACSL4/BASP1/NR2F2/CETN2/SDC1/TPPP3/FOSB/ICAM1/MMP7/VEGFA/PTGS2"
"GO:0032504","GO:0032504","multicellular organism reproduction",9,"9/97","FOXJ1/HSPA5/SPP1/ACSL4/NR2F2/CETN2/TPPP3/MMP7/PTGS2"
"GO:0002252","GO:0002252","immune effector process",3,"3/97","FOXJ1/CD47/ICAM1"
"GO:0002253","GO:0002253","activation of immune response",1,"1/97","CD47"
"GO:0002262","GO:0002262","myeloid cell homeostasis",3,"3/97","ZFP36/VEGFA/KLF2"
"GO:0002507","GO:0002507","tolerance induction",1,"1/97","FOXJ1"
"GO:0002520","GO:0002520","immune system development",6,"6/97","JUN/FOXJ1/TRIB1/ZFP36/VEGFA/KLF2"
"GO:0002682","GO:0002682","regulation of immune system process",9,"9/97","JUN/FOXJ1/DUSP1/TRIB1/SDC4/CD47/ZFP36/ICAM1/VEGFA"
"GO:0002683","GO:0002683","negative regulation of immune system process",5,"5/97","FOXJ1/DUSP1/TRIB1/SDC4/CD47"
"GO:0002684","GO:0002684","positive regulation of immune system process",6,"6/97","JUN/FOXJ1/TRIB1/CD47/ICAM1/VEGFA"
"GO:0006955","GO:0006955","immune response",7,"7/97","FOXJ1/RPL30/CD47/APOBEC1/FCGRT/BPIFA1/ICAM1"
"GO:0019882","GO:0019882","antigen processing and presentation",1,"1/97","ICAM1"
"GO:0045321","GO:0045321","leukocyte activation",4,"4/97","FOXJ1/SDC4/CD47/ICAM1"
"GO:0050900","GO:0050900","leukocyte migration",6,"6/97","FOXJ1/DUSP1/CD47/PPIB/ICAM1/VEGFA"
"GO:0007611","GO:0007611","learning or memory",2,"2/97","JUN/PTGS2"
"GO:0007626","GO:0007626","locomotory behavior",1,"1/97","OXR1"
"GO:0030534","GO:0030534","adult behavior",1,"1/97","OXR1"
"GO:0006739","GO:0006739","NADP metabolic process",1,"1/97","ME1"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",56,"56/97","JUN/RPS29/RPS27/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/HSP90B1/RPL30/AK7/ATF3/RPS13/PLAT/SDC4/RPS23/RAMP1/EFEMP1/HSPA5/PDIA3/SPP1/RPL21/FUCA1/ACSL4/CD47/NME9/PLOD2/AGRN/BASP1/NR2F2/APOBEC1/OXR1/SRSF6/CETN2/BACE2/PPIB/EPCAM/ZFP36/ME1/HBEGF/PMEPA1/FOSB/ECE1/ICAM1/MMP7/NOX4/CUL4B/SPRED1/VEGFA/KLF2/LOXL4/NR4A1/PTGS2/F3"
"GO:0009056","GO:0009056","catabolic process",12,"12/97","TRIB1/HSP90B1/ATP6V0E1/HSPA5/SPP1/PON2/FUCA1/APOBEC1/ZFP36/ECE1/MMP7/CUL4B"
"GO:0009058","GO:0009058","biosynthetic process",41,"41/97","JUN/RPS29/RPS27/FOXJ1/RPL37/CCN1/TXNIP/DUSP1/EIF4A2/TRIB1/RPL30/AK7/ATF3/RPS13/RPS23/RAMP1/EFEMP1/HSPA5/SPP1/RPL21/ACSL4/CD47/NME9/TM7SF2/PLOD2/AGRN/BASP1/NR2F2/BACE2/EPCAM/ZFP36/ME1/HBEGF/FOSB/LSS/ICAM1/NOX4/VEGFA/KLF2/NR4A1/PTGS2"
"GO:0009892","GO:0009892","negative regulation of metabolic process",25,"25/97","JUN/FOXJ1/RPL37/TXNIP/DUSP1/EIF4A2/TRIB1/ATF3/RPS13/PLAT/BASP1/NR2F2/APOBEC1/OXR1/SRSF6/BACE2/ZFP36/HBEGF/PMEPA1/FOSB/SPRED1/VEGFA/KLF2/NR4A1/PTGS2"
"GO:0009893","GO:0009893","positive regulation of metabolic process",25,"25/97","JUN/FOXJ1/CCN1/TRIB1/ATF3/SDC4/RAMP1/HSPA5/AGR2/SPP1/AGRN/NR2F2/APOBEC1/EPCAM/ZFP36/HBEGF/FOSB/ECE1/ICAM1/NOX4/VEGFA/KLF2/NR4A1/PTGS2/F3"
