"","ID","Description","Count","GeneRatio","geneID"
"GO:0019058","GO:0019058","viral life cycle",2,"2/97","PPIB/ICAM1"
"GO:0019080","GO:0019080","viral gene expression",2,"2/97","JUN/ZFP36"
"GO:0019083","GO:0019083","viral transcription",2,"2/97","JUN/ZFP36"
"GO:0019079","GO:0019079","viral genome replication",1,"1/97","PPIB"
"GO:0044794","GO:0044794","positive regulation by host of viral process",1,"1/97","PPIB"
"GO:0048525","GO:0048525","negative regulation of viral process",1,"1/97","ZFP36"
"GO:0050792","GO:0050792","regulation of viral process",1,"1/97","ZFP36"
"GO:0019042","GO:0019042","viral latency",0,"0/97",""
"GO:0019043","GO:0019043","establishment of viral latency",0,"0/97",""
"GO:0019044","GO:0019044","maintenance of viral latency",0,"0/97",""
"GO:0019045","GO:0019045","latent virus replication",0,"0/97",""
"GO:0019046","GO:0019046","release from viral latency",0,"0/97",""
"GO:0019048","GO:0019048","modulation by virus of host process",0,"0/97",""
"GO:0019061","GO:0019061","uncoating of virus",0,"0/97",""
"GO:0019068","GO:0019068","virion assembly",0,"0/97",""
"GO:0019069","GO:0019069","viral capsid assembly",0,"0/97",""
"GO:0019070","GO:0019070","viral genome maturation",0,"0/97",""
"GO:0019072","GO:0019072","viral genome packaging",0,"0/97",""
"GO:0019075","GO:0019075","virus maturation",0,"0/97",""
"GO:0019076","GO:0019076","viral release from host cell",0,"0/97",""
"GO:0019081","GO:0019081","viral translation",0,"0/97",""
"GO:0019082","GO:0019082","viral protein processing",0,"0/97",""
"GO:0039664","GO:0039664","lysis of host organelle involved in viral entry into host cell",0,"0/97",""
"GO:0039665","GO:0039665","permeabilization of host organelle membrane involved in viral entry into host cell",0,"0/97",""
"GO:0039707","GO:0039707","pore formation by virus in membrane of host cell",0,"0/97",""
"GO:0044793","GO:0044793","negative regulation by host of viral process",0,"0/97",""
"GO:0044826","GO:0044826","viral genome integration into host DNA",0,"0/97",""
"GO:0046745","GO:0046745","viral capsid secondary envelopment",0,"0/97",""
"GO:0046755","GO:0046755","viral budding",0,"0/97",""
"GO:0046786","GO:0046786","viral replication complex formation and maintenance",0,"0/97",""
"GO:0046787","GO:0046787","viral DNA repair",0,"0/97",""
"GO:0046794","GO:0046794","transport of virus",0,"0/97",""
"GO:0046807","GO:0046807","viral scaffold assembly and maintenance",0,"0/97",""
"GO:0046815","GO:0046815","genome retention in viral capsid",0,"0/97",""
"GO:0048524","GO:0048524","positive regulation of viral process",0,"0/97",""
"GO:0050690","GO:0050690","regulation of defense response to virus by virus",0,"0/97",""
"GO:0075522","GO:0075522","IRES-dependent viral translational initiation",0,"0/97",""
"GO:0075523","GO:0075523","viral translational frameshifting",0,"0/97",""
"GO:0075525","GO:0075525","viral translational termination-reinitiation",0,"0/97",""
"GO:0075527","GO:0075527","viral RNA editing",0,"0/97",""
"GO:0098003","GO:0098003","viral tail assembly",0,"0/97",""
"GO:0098004","GO:0098004","virus tail fiber assembly",0,"0/97",""
"GO:0098005","GO:0098005","viral head-tail joining",0,"0/97",""
"GO:0098045","GO:0098045","virus baseplate assembly",0,"0/97",""
"GO:0098677","GO:0098677","virion maturation",0,"0/97",""
"GO:0098678","GO:0098678","viral tropism switching",0,"0/97",""
"GO:0099009","GO:0099009","viral genome circularization",0,"0/97",""
"GO:1902735","GO:1902735","negative regulation of receptor-mediated virion attachment to host cell",0,"0/97",""
