"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044782","GO:0044782","cilium organization","62/276","368/18723",9.22821819762518e-48,2.85244224488594e-44,2.58487248672428e-44,"CEP126/KIF19/TEKT1/CFAP46/FOXJ1/DNAI2/CCDC39/SPAG17/SPEF1/CFAP54/DZIP1L/CFAP65/SPEF2/DNAH5/CFAP126/LCA5L/CFAP53/DNAAF1/CFAP44/MAPK15/DRC1/DNAJB13/CDKL1/DAW1/SPATA6/CFAP69/IQCG/CCDC40/HYDIN/RPGRIP1L/ZMYND10/CFAP43/IFT57/IQUB/RFX2/DNAH7/MNS1/DNAL1/RSPH1/TTC21A/RFX3/CCDC103/CDC14A/TMEM216/IFT81/BBOF1/IFT88/FAM161A/DYNC2H1/SLC9A3R1/IFT46/CFAP298/TTC26/GAS8/CFAP20/IFT74/CFAP410/PCM1/SPAG1/CCDC66/DYNLL1/WDPCP",62
"GO:0060271","GO:0060271","cilium assembly","57/276","337/18723",6.38826912579667e-44,9.87306993391875e-41,8.94693902302365e-41,"CEP126/TEKT1/CFAP46/FOXJ1/DNAI2/CCDC39/SPAG17/SPEF1/CFAP54/DZIP1L/CFAP65/SPEF2/DNAH5/CFAP53/DNAAF1/CFAP44/MAPK15/DRC1/DNAJB13/CDKL1/DAW1/SPATA6/CFAP69/IQCG/CCDC40/HYDIN/RPGRIP1L/ZMYND10/CFAP43/IFT57/IQUB/RFX2/DNAH7/MNS1/DNAL1/RSPH1/RFX3/CCDC103/CDC14A/TMEM216/IFT81/BBOF1/IFT88/FAM161A/DYNC2H1/IFT46/CFAP298/TTC26/GAS8/CFAP20/IFT74/CFAP410/PCM1/SPAG1/CCDC66/DYNLL1/WDPCP",57
"GO:0007018","GO:0007018","microtubule-based movement","58/276","382/18723",6.01396948944293e-42,6.1963932306227e-39,5.61514835487987e-39,"KIF19/TEKT1/CFAP46/DNAH2/DNAI2/CCDC39/SPAG17/SPEF1/CFAP54/ENKUR/DNAH11/CFAP65/SPEF2/DNAH5/ROPN1L/LCA5L/CFAP53/CFAP45/DNAAF1/CFAP44/DRC7/DYNLRB2/SPA17/DRC1/DNAH9/DAW1/CFAP69/DNAH6/IQCG/CCDC40/HYDIN/ZMYND10/CFAP43/IFT57/DNAH7/DNAH12/MNS1/DNAH10/MAP1A/TTC21A/RFX3/CCDC103/KIF9/IFT81/CFAP91/IFT88/DYNC2H1/SLC9A3R1/IFT46/CFAP298/TTC26/GAS8/CFAP20/IFT74/PCM1/DPCD/DEFB1/HSPB1",58
"GO:0003341","GO:0003341","cilium movement","40/276","175/18723",2.81323677214776e-36,2.17392871567718e-33,1.97000606596979e-33,"TEKT1/CFAP46/DNAI2/CCDC39/SPAG17/SPEF1/CFAP54/ENKUR/DNAH11/CFAP65/SPEF2/DNAH5/ROPN1L/CFAP53/CFAP45/DNAAF1/CFAP44/DRC7/SPA17/DRC1/DNAH9/DAW1/CFAP69/IQCG/CCDC40/HYDIN/ZMYND10/CFAP43/DNAH7/MNS1/TTC21A/RFX3/CCDC103/CFAP91/SLC9A3R1/CFAP298/GAS8/CFAP20/DPCD/DEFB1",40
"GO:0035082","GO:0035082","axoneme assembly","28/276","82/18723",4.3559200903431e-31,2.6928297998501e-28,2.44023228640063e-28,"CFAP46/FOXJ1/DNAI2/CCDC39/SPAG17/SPEF1/CFAP65/SPEF2/DNAH5/DNAAF1/CFAP44/DRC1/DNAJB13/DAW1/CFAP69/IQCG/CCDC40/HYDIN/ZMYND10/CFAP43/DNAH7/MNS1/DNAL1/RSPH1/CCDC103/TTC26/GAS8/SPAG1",28
"GO:0001578","GO:0001578","microtubule bundle formation","30/276","113/18723",1.6667382131845e-29,8.58647969492213e-27,7.78103576365604e-27,"CFAP46/FOXJ1/DNAI2/CCDC39/SPAG17/SPEF1/CFAP65/SPEF2/DNAH5/TPPP3/DNAAF1/CFAP44/DRC1/DNAJB13/DAW1/CFAP69/IQCG/CCDC40/HYDIN/ZMYND10/CFAP43/DNAH7/MNS1/DNAL1/RSPH1/CCDC103/TTC26/GAS8/SPAG1/CCDC66",30
"GO:0001539","GO:0001539","cilium or flagellum-dependent cell motility","29/276","138/18723",2.28565680278537e-25,8.83120647176198e-23,8.00280625291036e-23,"TEKT1/CFAP46/DNAH2/CCDC39/CFAP54/ENKUR/DNAH11/CFAP65/SPEF2/DNAH5/ROPN1L/CFAP45/CFAP44/DRC7/DRC1/CFAP69/DNAH6/IQCG/CCDC40/CFAP43/EFHC1/DNAH7/MNS1/TTC21A/RFX3/GAS8/CFAP20/DPCD/DEFB1",29
"GO:0060285","GO:0060285","cilium-dependent cell motility","29/276","138/18723",2.28565680278537e-25,8.83120647176198e-23,8.00280625291036e-23,"TEKT1/CFAP46/DNAH2/CCDC39/CFAP54/ENKUR/DNAH11/CFAP65/SPEF2/DNAH5/ROPN1L/CFAP45/CFAP44/DRC7/DRC1/CFAP69/DNAH6/IQCG/CCDC40/CFAP43/EFHC1/DNAH7/MNS1/TTC21A/RFX3/GAS8/CFAP20/DPCD/DEFB1",29
"GO:0003351","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","17/276","35/18723",1.59862872239095e-22,5.49040153434492e-20,4.97538132196762e-20,"CCDC39/SPAG17/DNAH11/SPEF2/DNAH5/ROPN1L/CFAP53/CFAP45/DNAAF1/SPA17/DAW1/CCDC40/CFAP43/RFX3/CCDC103/SLC9A3R1/DPCD",17
"GO:0006858","GO:0006858","extracellular transport","17/276","38/18723",9.74720034798821e-22,3.01285962756316e-19,2.73024211852596e-19,"CCDC39/SPAG17/DNAH11/SPEF2/DNAH5/ROPN1L/CFAP53/CFAP45/DNAAF1/SPA17/DAW1/CCDC40/CFAP43/RFX3/CCDC103/SLC9A3R1/DPCD",17
