"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","29/105","148/18723",2.39818616276849e-37,5.36714063227589e-34,4.71054250497475e-34,"RPL13A/RPL13/EIF2S2/RPL5/RPS5/RPL35/RPL31/RPL23A/RPL19/RPLP0/EIF3K/RPS11/RPS3/RPL18/RPL4/RPL18A/RPS4X/RPS18/RPL6/RPS14/RPL8/RPL24/RPS9/RPS8/RPL14/RPL12/RPL17/RPL29/RPS25",29
"GO:0042255","GO:0042255","ribosome assembly","7/105","61/18723",4.84856873044749e-08,5.42554840937074e-05,4.76180486895527e-05,"RPL5/RPS5/RPL23A/RPLP0/RPL6/RPS14/RPL24",7
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","7/105","72/18723",1.55664865444856e-07,0.000116125989621862,0.000101919522428105,"RPL5/RPL35/RPL23A/RPLP0/RPL6/RPL24/RPL14",7
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","14/105","463/18723",3.09445807004244e-07,0.000137557820078774,0.000120729454055309,"RPL13A/EIF2S2/RPL5/RPS5/RPL35/RPL23A/RPLP0/EIF3K/RPL6/RPS14/RPL24/RPS8/RPL14/RPS25",14
"GO:0006417","GO:0006417","regulation of translation","14/105","468/18723",3.52226994570201e-07,0.000137557820078774,0.000120729454055309,"RBM3/RPL13A/BTG2/NCL/RPL5/EIF5A/RACK1/CIRBP/EIF3K/RPS3/RPS4X/NIBAN1/RPS14/RPS9",14
"GO:0000027","GO:0000027","ribosomal large subunit assembly","5/105","27/18723",3.68787721390815e-07,0.000137557820078774,0.000120729454055309,"RPL5/RPL23A/RPLP0/RPL6/RPL24",5
"GO:0022618","GO:0022618","ribonucleoprotein complex assembly","10/105","220/18723",4.45918674509703e-07,0.000142566570507531,0.00012512545062182,"RPL13A/EIF2S2/RPL5/RPS5/RPL23A/RPLP0/EIF3K/RPL6/RPS14/RPL24",10
"GO:0071826","GO:0071826","ribonucleoprotein complex subunit organization","10/105","227/18723",5.94324438217573e-07,0.000166262261591366,0.000145922289699209,"RPL13A/EIF2S2/RPL5/RPS5/RPL23A/RPLP0/EIF3K/RPL6/RPS14/RPL24",10
"GO:0052548","GO:0052548","regulation of endopeptidase activity","13/105","432/18723",8.93310804592386e-07,0.000211106691051739,0.000185280600866631,"CCN1/CCN2/PRNP/SERPINB1/RACK1/HMGB1/APLP2/MYC/RPS3/PSME1/NR4A1/TIMP3/TP63",13
"GO:0042254","GO:0042254","ribosome biogenesis","11/105","299/18723",9.43282801839764e-07,0.000211106691051739,0.000185280600866631,"RPL5/RPS5/RPL35/RPL23A/RPLP0/RPL6/RPS14/RPL24/RPS8/RPL14/RPS25",11
